,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11649981906877702,0.05159776843526125,0.017698593604642907,0.4549481429023309,0.33895430692358675,0.020301369065401184,0.9466646521115056,0.8046573596391652
CID003353-1,0.13957946851802933,0.6954376256388723,0.0007696526474181711,0.09163000031137906,0.07074372000126894,0.001839532883032181,0.905988455988456,0.762269633709165
CID003354-1,0.212859423004165,0.5808231018157924,0.018405701214708085,0.17480467895905494,0.004065721594803704,0.009041373411475826,0.9227290904057339,0.8754441487329667
CID003355-1,0.18173081123470022,0.27592461072980545,0.10583274078699802,0.058251677621097495,0.3483743468807586,0.029885812746640112,0.8391856160761503,0.707368923006047
CID003356-1,0.01020848823033986,0.1992874054539949,0.03713115393980827,0.25950797192324665,0.4878130190591377,0.006051961393472592,0.9148346805670974,0.8224206226722003
CID003357-1,0.18616815307421034,0.2680528011129418,0.09646467836623972,0.18810431955827667,0.25796658995684973,0.0032434579314817905,0.8674926342826924,0.7294629315634589
CID003358-1,0.15233639630424817,0.4135932959927109,0.0670572814358646,0.15040655238530595,0.21650536073082968,0.00010111315104066342,0.9247592974253283,0.8057016871357164
CID003359-1,0.17283263830947718,0.3906653901515279,0.06181251656584573,0.29501319710669055,0.06890009761253381,0.010776160253924829,0.8797443734370659,0.8248815817864781
CID003360-1,0.3077886351117267,0.1689564843976816,0.04776788341480638,0.19999450359232784,0.23933862718393165,0.036153866299525814,0.9115309808280077,0.8218243064534377
CID003361-1,0.26186123219363666,0.295613232200727,0.10950552312384078,0.17319937144228142,0.15883482120172332,0.0009858198377908087,0.908337740172748,0.7767823368093159
CID003362-1,0.27610378044820444,0.39731117988627485,0.010355781321082952,0.2709517484835564,0.00020961641726938797,0.04506789344361199,0.8772361939331086,0.7963992626742483
CID003363-1,0.13608142352081698,0.33808358335387567,0.05802111923327989,0.1566146677470257,0.28995088380196754,0.02124832234303419,0.9087406512049557,0.8125914437388849
CID003364-1,0.06915429120481624,0.24283093697623412,0.0035884574254948605,0.1569904253730289,0.5103281924859688,0.017107696534456977,0.8983050847457628,0.8051217201940911
CID003365-1,0.1984041050417015,0.39687123643102645,0.016901946485049203,0.17146574014011995,0.19312084290896908,0.023236128993133813,0.8668429402432575,0.8464313103151552
CID003366-1,0.21169886420491688,0.004900927747862978,0.38923014061882605,0.2895470285867626,0.10004569025965354,0.00457734858197789,0.9343074225599065,0.8449119242055818
CID003367-2,0.3108840327037449,0.036497710230860674,0.0426308599178257,0.2981675525570588,0.3085456937910334,0.0032741507994766216,0.9476467477525119,0.8519240569140722
CID003368-1,0.23078677172252865,0.24291787695102346,7.839795185029404e-06,0.1458548062084765,0.36887622602183057,0.011556479300955776,0.9281307446299515,0.8144289921991712
CID003369-1,0.1877806247384604,0.27655360559800946,0.013055218162916927,0.2451325236900655,0.24887672527883842,0.02860130253170929,0.8554053033164614,0.7443240565972553
CID003370-1,0.25299010104472247,0.2803933452945092,0.005236904439210488,0.05456957254661942,0.3794819941354934,0.027328082539445075,0.9438177271464295,0.8337165747028384
CID003371-2,0.17190550020365403,0.21774607917608355,0.0641359280752146,0.17424035748999464,0.37101432789068506,0.0009578071643681552,0.91531268264173,0.7559530462572343
CID003372-1,0.3074673425040338,0.20838152811309324,0.028886400310165927,0.15718253191188042,0.2796803053334023,0.01840189182742439,0.9121474053339076,0.7683175527220754
CID003373-1,0.03344106728426154,0.41112135737118943,0.11504109120633414,0.23049727807066975,0.1952996257316092,0.014599580335935967,0.7877510843151128,0.635086230025654
CID003374-1,0.028524283603693516,0.8614773018268183,0.010679362615579805,0.010888956256260579,0.07449842106160544,0.013931674636042425,0.9240344540150041,0.7787735694222361
CID003375-1,0.06389833665940498,0.7520889854033633,0.003829542421119339,0.1713081038978492,0.001398909204979451,0.007476122413283737,0.9266049401704143,0.8210872382153087
CID003376-1,0.23338327953638044,0.4774601324156284,0.022997012494389853,0.21089672820660735,0.053379077720318184,0.0018837696266757792,0.922739291380222,0.8841878724533265
CID003377-1,0.02814241866661355,0.1576256285189171,0.3943759162212023,0.014117111392734718,0.38030905905872986,0.025429866141802336,0.8759655459849957,0.7245859561824083
CID003378-1,0.018707853816940876,0.8182838421358709,0.01998059548721725,0.014889114271568516,0.10391558961076075,0.02422300467764166,0.9238397718434016,0.7552736834121119
CID003379-1,0.02140642843600452,0.8176379767828732,0.07209133450482363,0.01635850883670086,0.06270233389308218,0.009803417546515564,0.9471633629528367,0.7607954983113084
CID003380-1,0.19669163248550467,0.3561250969998388,0.007467875287829447,0.11721192481845767,0.3218376017204442,0.0006658686879252248,0.9377604890247291,0.8536594479950134
CID003381-1,0.11815050410070513,0.2347587820490315,0.14839319730372777,0.19608227357667157,0.30182378523606984,0.0007914577337941384,0.8524841983329556,0.6405556652593966
CID003382-1,0.24316965337177565,0.27513008351818813,0.044855521553482144,0.08176494144283092,0.3524675228588122,0.002612277254911034,0.8768099519024956,0.7838691970356397
CID003383-1,0.28059056654561115,0.30262563854548286,0.053888873143071864,0.17426126160892239,0.18462026312835011,0.00401339702856158,0.8995240613432046,0.819072294671373
CID003384-1,0.10651763582223017,0.42891656836855124,0.030834250550589783,0.19745225257632712,0.1920419950389105,0.044237297643391196,0.922209234365868,0.822390874436229
CID003385-1,0.11948431969009567,0.6402259833814015,0.027482839824897836,0.19220090759573283,0.01033550882638637,0.010270440681485853,0.9271454498314752,0.8326939521258516
CID003386-1,0.029703868510276565,0.0022887133775408614,0.22768370802875817,0.30159376677172306,0.25371523660373735,0.18501470670796394,0.8565751022793687,0.8077813374724435
CID003665-1,0.02460520299090145,0.8241196013616651,0.019310701862271372,0.020732717235027582,0.08574251705125706,0.02548925949887748,0.8188260179799048,0.6901095083594037
CID003666-1,0.0033407019236780604,0.7827461061458542,0.0013343984625590437,0.20501360498250798,0.001448612241932889,0.006116576243467817,0.934541203974284,0.8334655249108273
CID003667-1,0.0370398840992447,0.060033150298970384,0.2440249745874701,0.34863198625120034,0.2758929556258421,0.034377049137272374,0.9076150185087255,0.7892736662029763
CID003669-1,0.0648562443249811,0.04642375558898813,0.17730927172785824,0.29859706526991636,0.3019512852219113,0.11086237786634486,0.8943039733259237,0.7464900332888437
CID003670-1,0.16343762420158123,0.03513029476469433,0.11972988769372461,0.3153641365960956,0.3638507350637878,0.0024873216801165605,0.8825229230341761,0.7854412329298627
CID003671-1,0.1871025271171384,0.0046345892806119605,0.4181521362575383,0.33819455067460913,0.04247187824971968,0.009444318420382432,0.9159766601833841,0.8122140655648913
CID003672-1,0.3005414191923681,0.09725002028041438,0.005994975853599539,0.3041015314727764,0.2838072723527398,0.008304780848101802,0.9235854045478583,0.7747698197276232
CID003673-1,0.3833610561741396,0.4008196595914671,0.06065438781951865,0.13157222168815097,0.019985153879248013,0.0036075208474759,0.9177683765203597,0.8030976949825909
CID003674-1,0.3651398174257929,0.19642999473208664,0.001092776192656293,0.1430922540242117,0.25092664684372845,0.04331851078152413,0.916496688574954,0.7820285104356612
CID003675-1,0.5224322622857556,0.3393229790505666,0.028942268307038138,0.07215786151850487,0.030349208224454777,0.006795420613680107,0.8820915926179085,0.7621435315732582
CID003676-2,0.11240715075787486,0.401885756100598,0.050123305413291123,0.28902032676246836,0.1330398397880139,0.013523621177753896,0.9189645186472263,0.8414450136520361
CID003677-1,0.2682456019945366,0.2601821235750962,0.0021447751473044666,0.06507410042434084,0.3973557637995751,0.006997635059146858,0.8506710986880209,0.7202507912214997
CID003678-1,0.11414345414661255,0.5115381015516031,0.12521019309319198,0.009845491282289771,0.22231699589521295,0.01694576403108967,0.9310929281122151,0.8232538445736277
CID003679-1,0.19937933739380262,0.26791909219579,0.03789529404573156,0.056676182546206724,0.43265182368608984,0.005478270132379343,0.932814585379366,0.7694838738189227
CID003680-1,0.02772958330238807,0.4097921898954074,0.02765026717551354,0.16612991858320292,0.3603649094097642,0.008333131633723935,0.8392886913031398,0.7364686323525933
CID003681-1,0.22802291557543697,0.5818773929192889,0.013520240053477912,0.13970838268329352,0.024996542092618385,0.011874526675884305,0.9122157588577472,0.8130815679188916
CID003682-1,0.06800843589463777,0.7847368089898276,0.10025924958969581,0.03089830988831932,0.01005722494299415,0.006039970694525352,0.9228675136116151,0.7848348858491617
CID003683-1,0.05671457839418401,0.6904001095177426,0.03801917080351002,0.2081979987681054,0.00015262889487396364,0.006515513621584057,0.8992894275431419,0.8331458361865623
CID004696-1,0.23519434129714772,0.20322774251580672,0.10973429450400797,0.2017315736410558,0.22634792293535336,0.02376412510662853,0.8941854901664527,0.7542850640491495
