,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.08362020185350813,0.026194865296197283,0.015135695525897384,0.4458007995996242,0.4193156987466294,0.009932738978143583,0.9453551912568307,0.8000940942701822
CID003353-1,0.07451350618248206,0.6605223022798667,0.09301093929173337,0.0958744996218414,0.04823235894418428,0.027846393679892122,0.9001443001443001,0.7549730461954928
CID003354-1,0.28226019225083954,0.4977567503809275,0.042810368537943934,0.17578086532258622,0.0005091622347724872,0.0008826612729303061,0.9230366975299147,0.8787898560594812
CID003355-1,0.21988903145068583,0.2652500180160622,0.11166379205111014,0.03276363899235555,0.34771387529087533,0.022719644198910958,0.8321523003701745,0.7025806654840968
CID003356-1,0.11755855654280851,0.21787847769214017,0.010389472754471983,0.23139216520716774,0.41332664710258415,0.009454680700827627,0.9102515675757347,0.8173307947340895
CID003357-1,0.1280058448726447,0.2966228694532902,0.06292156511941112,0.22595671491319294,0.2831962874195575,0.0032967182219035625,0.8607942383722395,0.727607268626938
CID003358-1,0.04631452652240163,0.4179228767888933,0.041588346558803925,0.1855809488410921,0.2885624774714416,0.020030823817367503,0.9297425328370605,0.8028769614142568
CID003359-1,0.2063920444512631,0.3915202333874094,0.1036429967086005,0.2772536239146896,0.01064592777937537,0.010545173758662056,0.8818560711308697,0.8175358289994948
CID003360-1,0.3202507515938,0.16769676676039588,0.04609327306297236,0.1982510721595961,0.23404275450057394,0.03366538192266172,0.9144206724090025,0.8188812270761535
CID003361-1,0.30897066113144966,0.25202191000555446,0.018183488282956687,0.16684999074650428,0.21288481730297196,0.04108913253056292,0.9133237641963184,0.7659052289320412
CID003362-1,0.15521833950924027,0.3836777338216926,0.024123714460116928,0.30590595916629326,0.12851209395333119,0.002562159089325702,0.8806066891366346,0.8151512130095598
CID003363-1,0.12227249878529706,0.3264870402608201,0.033276727933673415,0.148285340908742,0.3439586847553736,0.025719707356093868,0.909697564906449,0.8072365807048383
CID003364-1,0.03868861071200047,0.3096516041929542,0.08391885242871795,0.21934180650382903,0.3471173184872927,0.0012818076752056707,0.894637399277577,0.8128295011235404
CID003365-1,0.31106690151965793,0.403936606027543,0.04882849801463701,0.14469633006693597,0.08973470682798704,0.0017369575432390307,0.8676361713379164,0.8453639390181203
CID003366-1,0.10063781665630253,0.004528036453125376,0.3988468790606879,0.2953143283966899,0.19804493871254994,0.002628000720644357,0.9300993571011105,0.8425403426055121
CID003367-2,0.28074416471549435,0.03954550015258814,0.09888340889133998,0.3013910341326109,0.27707893093272334,0.002356961175243266,0.9455314648334215,0.850465320265218
CID003368-1,0.25505241947726087,0.25131056722630013,0.05454418059216381,0.14932488757187753,0.26641293705841906,0.02335500807397858,0.9240009065498226,0.81290069790816
CID003369-1,0.36590298613268024,0.28043252030507976,0.032034540575668374,0.18785289577726028,0.13248024256510693,0.0012968146442046621,0.848001813099645,0.7358754197774929
CID003370-1,0.06102729656220722,0.342991249638328,0.021188499773797144,0.003982833547389941,0.5505840663853488,0.020226054092928828,0.9436510141706028,0.8328872214938836
CID003371-2,0.2516022042183715,0.21236547154430502,0.03122135686891081,0.15711244505276273,0.34768048296365195,1.803935199791432e-05,0.9140853302162478,0.7526147176454364
CID003372-1,0.31617746498859706,0.20632293391173923,0.01825139582884161,0.15386778098223586,0.29118216120843454,0.014198263080151739,0.9103017625888216,0.7655830465184774
CID003373-1,0.11312743463497263,0.3732905829847143,0.09983123692798641,0.2108252231876544,0.1914983183715264,0.011427203893145749,0.7881202128641299,0.6241431504884212
CID003374-1,0.09409896702040216,0.857407416301357,0.011345918599799772,0.001554208746683546,0.018389894652223352,0.01720359467953419,0.9199777716032231,0.7788455479903258
CID003375-1,0.01625846722764916,0.7507269843861293,0.0036111471453873934,0.18732663731275026,0.03952248634747418,0.0025542775806096847,0.9266049401704143,0.8262516327209862
CID003376-1,0.3071563329034915,0.473902778717703,0.004527129830061282,0.2021502257373056,0.006104433601309773,0.00615909921012891,0.9193548387096774,0.8804285999918035
CID003377-1,0.030777233696746883,0.196086921264409,0.325371117536934,0.05914819121749509,0.31540984665628585,0.07320668962812905,0.8694637399277576,0.715042379739609
CID003378-1,0.04797808551944855,0.8310342721321434,0.0628465907362996,0.019624087240889248,0.030842346215889535,0.007674618155329651,0.9202100077780658,0.7640602410629748
CID003379-1,0.04453175101268269,0.7758069623191995,0.03120594950104001,0.018421937596471833,0.059393284550214066,0.07064011502039191,0.9492139439507861,0.7229998006178171
CID003380-1,0.023237182255391363,0.40105104676461795,0.04220266213638531,0.14559766870808888,0.3871814226489239,0.0007300174865926552,0.9392053348152264,0.8570818671519527
CID003381-1,0.20301331522853827,0.22524785994162333,0.028942371772226833,0.18927868979094298,0.352481968006727,0.0010357952599416142,0.8502178237767873,0.6463127196799051
CID003382-1,0.31584559729056905,0.2580573615543805,0.01887718236685471,0.059773558372440604,0.3451222245545586,0.0023240758611966037,0.8710181058145098,0.7720693866535705
CID003383-1,0.2507678439568852,0.31282821971926394,0.05422099162602112,0.19146897185023007,0.18436760665899968,0.006346366188600097,0.9009518773135906,0.8183127909207591
CID003384-1,0.04508095536965707,0.42167755794094136,0.062339866530922584,0.22675870858805064,0.20973489948789126,0.03440801208253707,0.9213325540619521,0.8278852383770803
CID003385-1,0.10406766272551794,0.6854984785321397,0.015158034302841605,0.1745084281076879,0.01230700194356328,0.008460394388249533,0.9278584392014518,0.8253684304292921
CID003386-1,0.08975598775767397,0.0025889512165840163,0.22516947490729938,0.30519601297149124,0.19571343316650056,0.18157613998045075,0.8466393921683226,0.8005437005809966
CID003665-1,0.006820806084671522,0.732297482535668,0.033494942240892694,0.0014835262996174407,0.21777684877007758,0.008126394069072812,0.806081438392385,0.6984648538100183
CID003666-1,0.0009611269037659876,0.7899911444601624,0.0004996377317410082,0.2050405827449528,0.00011603903699149441,0.0033914691223863,0.934541203974284,0.8346464924469653
CID003667-1,0.23217133959220976,0.04341340233071263,0.19530143439648406,0.31304783486943544,0.1841978393566804,0.031868149454477704,0.9053410893707032,0.7822444809286073
CID003669-1,0.19068276870624365,0.024839016210917098,0.39013259551630447,0.3287373212819796,0.06024954414964066,0.005358754134914539,0.8939149763823284,0.7809715384218634
CID003670-1,0.2975252022576278,0.03155239356213244,0.07686150605782471,0.29301053024835744,0.2938361078859166,0.007214259988141024,0.8769658238399555,0.7782227518856613
CID003671-1,0.2145552962592759,0.001250110567360068,0.26159696760745227,0.3314888555285103,0.1349554662562348,0.05615330378116664,0.9106418449569325,0.8021999819473071
CID003672-1,0.27177903352177574,0.10190597038243039,0.0016112474164819816,0.31308777630860873,0.31052519137858886,0.0010907809921142683,0.9209413008989952,0.7743067542687551
CID003673-1,0.40732421793643264,0.46088637701546986,0.0018215428308457756,0.11040673577927161,0.018123939047283114,0.0014371873906969775,0.9199894235854046,0.8071835666610409
CID003674-1,0.23789468676592646,0.2241458627738298,0.18285168211701644,0.17181820178784746,0.18289556008028326,0.0003940064750965983,0.9118632117045654,0.7953459985041822
CID003675-1,0.36042644561978804,0.3397442728781845,0.007204504977682285,0.22254343475907246,0.0651423562752735,0.0049389854899992034,0.8747778537252221,0.7799034723762357
CID003676-2,0.33645140068779317,0.3915800975956935,0.0024246282406989203,0.23719948297044577,0.0050955320418923965,0.02724885846347627,0.9270227392913802,0.8332129878878104
CID003677-1,0.2983829657166244,0.24141199451413686,0.14067818562982026,0.030966516200058403,0.28325816338542026,0.0053021745539397905,0.8359144821334139,0.6988635849417993
CID003678-1,0.07179922942236415,0.5194857283599627,0.1046143933482323,0.010106155069062515,0.27398498766058893,0.020009506139789492,0.9302746931618936,0.8210381014427529
CID003679-1,0.25413187711840274,0.26343064751208195,0.006401276931727241,0.05237252888613267,0.42323843787961435,0.0004252316720410479,0.9310518496134573,0.7682381071911236
CID003680-1,0.19308315987082478,0.3735668181453346,0.026678929354335343,0.12680674073632572,0.27436106677589545,0.0055032851172841105,0.8250625173659349,0.7201590156981902
CID003681-1,0.23754167985369837,0.5773505232993528,0.0215562873185118,0.12604855824451566,0.036611004350570894,0.0008919469333505568,0.9137266752285261,0.8159014598529973
CID003682-1,0.09694400980879882,0.7657287905351584,0.0037638526455629315,0.05393936833285076,0.0402376532793414,0.03938632539828764,0.9212470832253046,0.7738005567512624
CID003683-1,0.09509024484618393,0.6860264712995027,0.0015830141230581836,0.19765438316166975,0.012407523446104475,0.007238363123480991,0.90919437694177,0.8402959971847223
CID004696-1,0.3353657980182054,0.18170717160712915,0.03463910855268359,0.1738380476461598,0.22764241838658555,0.04680745578923658,0.8960489536904132,0.7408797025046356
CID004697-1,0.18327736684369975,0.09111419579682171,0.16437818827326642,0.3424677874303983,0.21091588591254132,0.007846575743272492,0.9144317695348897,0.8218430407670615
CID004698-1,0.2521466426458891,0.18156860935089816,0.00044659392999078746,0.1788780278073048,0.32908528603341025,0.057874840232506886,0.9064239127697616,0.7014187957738661
CID004699-1,0.2384357002002943,0.2809545073014532,0.013755436975413926,0.25362881406789317,0.19666312444605863,0.016562417008886752,0.9277030976037405,0.8201105505622571
CID004700-1,0.14145502130800947,0.36467077005360105,0.00021815707822109805,0.28908896172977155,0.2043556525620884,0.00021143726830842648,0.8924378635642517,0.826622067023459
CID004701-1,0.08899158030571949,0.21149559479349445,0.020499613776816566,0.4672334810794049,0.1969091083556085,0.014870621688956137,0.930622009569378,0.8519420706360903
CID004702-1,0.004532166947309677,0.505952514528666,0.017729461032994512,0.45097940197821595,0.007902030901640416,0.01290442461117352,0.8302746931618936,0.8552519874712787
CID004703-1,0.29100009531683985,0.09514202426413254,0.027399435775995226,0.3275315293506647,0.24348574071756932,0.01544117457479838,0.9415779003298834,0.8366777514297407
CID004704-1,0.17719629072068313,0.017432266195775026,0.005812844841765599,0.5902332201330628,0.19953710560180354,0.009788272506909956,0.8663670015864621,0.7798053827120948
CID004705-1,0.3013499128132545,0.3127599794566504,0.044197286389219805,0.12849461043890797,0.19964131352481174,0.013556897377155515,0.9457279562542721,0.7620754508095235
CID004706-1,0.2930846504541048,0.2959813284844055,0.017991213335887764,0.16618003833781142,0.20225067682255551,0.02451209256523497,0.9348291405404044,0.7811751046701905
CID004707-1,0.39537789675040763,0.28736061658451556,0.015790956757367566,0.15113744121461986,0.13766941228154625,0.012663676411543142,0.9014170602945263,0.7683827691344163
CID004708-1,0.21758071433481613,0.30419079962605716,0.023896273214669767,0.11284898151599285,0.32252122683931717,0.018962004469146938,0.8367879966657404,0.7232073211416745
CID004709-1,0.2981116019342492,0.0588260149693669,0.021141350130689334,0.3052608486190293,0.3021426061456101,0.014517578201055188,0.928397673188789,0.8124932776777661
CID004710-1,0.19705554030891093,0.24590522880516485,0.010028086093954358,0.255770425284404,0.2718367504249534,0.019403969082612348,0.8985671476417113,0.8327989417666019
CID004711-1,0.3112027483690746,0.21522093974556286,0.05278404471268088,0.20460911654263628,0.178403095192135,0.037780055437910444,0.8490090906801642,0.7837906401357152
CID004712-1,0.07334983461433944,0.28497411452108734,0.07533028661952922,0.08956187099967836,0.43355359653064646,0.043230296714719174,0.8306187202538339,0.6942024495201189
CID004713-1,0.3275931072522133,0.2821051031232388,0.01168053687536143,0.24925544458505006,0.11372775382227031,0.01563805434186614,0.9293692692414559,0.8083906322789006
CID004714-1,0.13053295361110792,0.41333350823681003,0.0008739298132521077,0.2769029763781413,0.14022987382890312,0.0381267581317855,0.8852207196998313,0.8460407731749259
CID004715-1,0.002855940102120413,0.786152488282911,0.007704530146050118,0.19454135075592904,0.003580765410161397,0.005164925302828129,0.8705627705627705,0.7252422459827903
CID004716-1,0.09189210178671159,0.4762876779619252,0.01724288134942661,0.4045563376528564,0.009900612504395369,0.00012038874468478981,0.8690639873083025,0.7808413207583956
CID004717-1,0.04160072047781984,0.40552378080526774,0.017791636292649404,0.18647011369624264,0.3381858451320834,0.010427903595936977,0.9177673874926943,0.8049691929745344
CID004718-1,0.010096928976669112,0.9211338172583665,0.008854821152768262,0.03151417684344871,0.02586396529403666,0.0025362904747107534,0.9383588281047446,0.7683520133215944
CID004719-1,0.04060495949583269,0.49265831562321927,0.10004186104735986,0.3037955530716868,0.05324489942569232,0.009654411336209085,0.9037405026300409,0.810147618317682
CID004720-2,0.3776695794329138,0.18955376438809896,0.0018512217530360026,0.4058744158356239,0.021719186098759155,0.003331832491568066,0.9306489385812496,0.8004788359580685
CID004721-1,0.09290016812119996,0.2669136198352892,0.13911917659395673,0.10009972627351324,0.35669935320737967,0.04426795596866119,0.8919694794893102,0.7531151601378302
CID004722-1,0.13953065606036383,0.6176684464276451,0.026227897206225308,0.16998436448360169,0.0449679665838547,0.001620669238309453,0.9151619551508813,0.8056877113841127
