,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.07865455398787234,0.08815134838939931,0.101778192394654,0.45338220498234305,0.27640996863566913,0.0016237316100621544,0.9469147005444645,0.8024354218202918
CID003353-1,0.02623670666699515,0.8133133143660687,0.02977597357590562,0.004048415968608557,0.10124640763823949,0.02537918178418247,0.9085067873303168,0.7534913947005772
CID003354-1,0.26110208326495893,0.497557171499658,0.06929200671976068,0.15591678866770506,0.011395451189059932,0.004736498658857367,0.9205641318848867,0.8865555782382688
CID003355-1,0.23366633554906063,0.26742532402361807,0.1529544148759908,0.02971482271923037,0.31587495021080475,0.0003641526212954237,0.8328092959671908,0.7037356763376642
CID003356-1,0.060515878679330753,0.20552987565869624,0.0031063496538350716,0.2356685760354064,0.4932091712563846,0.001970148716346885,0.9019315530204822,0.8365151351670378
CID003357-1,0.1479028141224346,0.2865115353118769,0.1107522851488885,0.22291275941683486,0.22357710943584466,0.008343496564120466,0.8587632875291678,0.7258906666846585
CID003358-1,0.051059873164022336,0.41262678807576586,0.017883103066768803,0.15430366721958633,0.3523434558111091,0.011783112662747586,0.9207385905499114,0.7832999933805672
CID003359-1,0.0766715200683933,0.3946687744535552,0.053463485479361465,0.3322309042874048,0.1295773917038232,0.01338792400746205,0.8562049062049062,0.8316814834485619
CID003360-1,0.1003639060277642,0.16525686262475073,0.007015872560019928,0.21385442038617344,0.48146692624068654,0.03204201216060514,0.9048530416951469,0.7967900176096898
CID003361-1,0.2570636157012199,0.28544374340577167,0.029886515226413866,0.1800425526909023,0.21025401661749735,0.03730955635819493,0.9104226082447497,0.7499081667181802
CID003362-1,0.28788425251864075,0.3879718918828716,0.004383329080750076,0.26541369842953094,0.017471913266830445,0.03687491482137613,0.8547008547008547,0.7970847992313403
CID003363-1,0.16480161838124888,0.32907844131383235,0.03748729293118628,0.15313225365006783,0.28988649466899924,0.025613899054665396,0.9023204563131968,0.8177802543320989
CID003364-1,0.11593780344663093,0.25800268079130073,0.03199618821525077,0.152953209918101,0.4363438259285836,0.004766291700133059,0.8896787423103212,0.7892746249127551
CID003365-1,0.3670557333821748,0.3986872763870135,0.005950470806456879,0.13273937591061594,0.09459697952304659,0.000970163990692305,0.8444292549555708,0.8411950748529207
CID003366-1,0.18887079081611466,5.065110276200415e-05,0.18102435230811534,0.3228804831873857,0.2104351397231167,0.09673858286250558,0.9246031746031746,0.8035061482399176
CID003367-2,0.3011272839118563,0.006352213068660731,0.011044059392526407,0.289816682366233,0.3912104661832095,0.00044929507751422946,0.9454545454545454,0.820105832767843
CID003368-1,0.26217918146296293,0.23653366676314955,0.05695356150574216,0.13119717906064093,0.2996295044659804,0.01350690674152405,0.9183303085299455,0.800764679140588
CID003369-1,0.26108894523520715,0.2818686350905812,0.06774073091744592,0.24705493903101217,0.138499634666588,0.0037471150591655926,0.8329660357791029,0.7372843227044531
CID003370-1,0.2817829413907795,0.27067273003058695,0.0007702695198941451,0.02558715037036717,0.4176908891841443,0.0034960195042278083,0.9348484848484849,0.8146316402183937
