,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13044187689472603,0.05516730184333299,0.0029578509917634827,0.45372717578122157,0.3298900071197947,0.027815787369161175,0.9467150159905316,0.8011750294108178
CID003353-1,0.013180291343651597,0.7482170495615315,0.0776265122234049,0.08106942350109986,0.06165558452356607,0.018251138846746135,0.906060606060606,0.7559327305937922
CID003354-1,0.274900491444303,0.5162036993244201,0.04740967456871004,0.12337103200261638,0.03788941082744515,0.00022569183250529837,0.9227290904057339,0.873582267262895
CID003355-1,0.15754165466710005,0.28616660934303834,0.011902392392583314,0.07278610853144735,0.47024082338246737,0.0013624116833635394,0.8424114225277631,0.7090044201345711
CID003356-1,0.030513125737773622,0.19796644359924165,0.03864277518213969,0.25885187949568267,0.4721710077986266,0.0018547681865357536,0.9141295862607338,0.8236638008786065
CID003357-1,0.278798595187914,0.23467606798033078,0.0055092996710892446,0.13185734972576282,0.34140206280563384,0.007756624629269383,0.870917378056458,0.7306854178301998
CID003358-1,0.015152745707848001,0.4269292553101122,0.04930023331818669,0.1671502124293875,0.33997915667227496,0.0014883965621905828,0.928635147190009,0.8100692460083212
CID003359-1,0.14244549302520806,0.3915849452060288,0.029370541510509093,0.3005085469850924,0.12359606492148871,0.012494408351672924,0.880077799388719,0.8276867717368334
CID003360-1,0.30725478981728405,0.15787826772638355,0.0026221400064142613,0.18665209700007387,0.29944156557378343,0.04615113987606079,0.9113086968602389,0.8166647581271941
CID003361-1,0.3162942893078755,0.27254945605682235,0.187778587531908,0.19344168486008162,0.019251995669326782,0.010683986573985749,0.9075822819873586,0.7779016760502684
CID003362-1,0.1553641558644522,0.3855286652566205,0.030597625111564726,0.30841647285838014,0.1105245407262805,0.009568540182701906,0.8734119782214156,0.8145971671158404
CID003363-1,0.18947946538840776,0.3344290467513927,0.06899862130469897,0.14301086586278824,0.24931831717750558,0.014763683515206787,0.907229734834177,0.8137257196306444
