,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.14309683928809308,0.039609598971500286,0.019841452253912914,0.4534428789730415,0.34201433496120337,0.001994895552248775,0.9482046850998463,0.8109686848898543
CID003353-1,0.0061488542012905515,0.7217792027188089,0.024180180431802114,0.03994381079993762,0.18763066646960386,0.02031728537855692,0.9091592617908407,0.7674715574365523
CID003354-1,0.22081917473439208,0.5829898888845955,0.007237011084826843,0.15599762957311977,0.027136373988590767,0.00581992173447508,0.9186440677966102,0.8748628638184576
CID003355-1,0.1885631051145078,0.23211731929435,0.004409270567607607,0.00085077582079318,0.5730120613434823,0.0010474678592591513,0.8436201556243862,0.7143510180457489
CID003356-1,0.07230045165279164,0.20352204455896286,6.30041090250087e-05,0.23137468342247947,0.492011721046143,0.0007280952105980052,0.9172427035330261,0.8227167618596081
CID003357-1,0.2648785001629278,0.23888773610849767,0.0008333684250532183,0.13855296242167991,0.3448876968862042,0.011959735995637308,0.8710637480798771,0.7310335643953445
CID003358-1,0.03613563375271705,0.4235574828177492,0.002281007195244884,0.1372461317164819,0.3980586185705746,0.002721125947232372,0.9275862068965517,0.8129555462615078
CID003359-1,0.26874828558171215,0.38875623616662125,0.015637360059074994,0.2641917628300279,0.020278508911652025,0.04238784645091171,0.8657852987837124,0.8085931599592414
CID003360-1,0.031820851769695464,0.20401767080853345,0.13898237215666578,0.2587525117322377,0.3533977894533963,0.013028804079471323,0.9087255420412481,0.8312107552632737
CID003361-1,0.2607003369298136,0.2790713421454408,0.029140686740304938,0.17312987849076905,0.21183163463416269,0.04612612105950892,0.9097542242703532,0.7684223548928373
CID003362-1,0.24149505699944557,0.3880917425428411,0.04831121701041282,0.272837651927083,0.02156253599659855,0.027701795523619,0.8769571503276016,0.8031959890198032
CID003363-1,0.13317561918619075,0.32896126908373735,0.03582946107315943,0.15026535048171255,0.3242440102104174,0.02752428996478267,0.9098502304147464,0.811976656396958
CID003364-1,0.07911901387559725,0.23071319356994807,0.030247796246194416,0.1360417628803269,0.5229403517323744,0.0009378816955589682,0.8946060285563193,0.8056285602698331
CID003365-1,0.15630222562208573,0.3847251524659736,0.08462638179710631,0.20012574548365883,0.16107742119905236,0.013143073432123065,0.8540958424617864,0.8471093648363432
CID003366-1,0.17298775801375327,0.001883799206729154,0.39904335492264176,0.3137721579390442,0.10947083281969901,0.0028420970981325676,0.9365379272020005,0.8476016992609611
CID003367-2,0.31417102975846134,0.005302951655568675,0.006605172117129827,0.27133017327396686,0.4019980495780851,0.0005926236167881871,0.9497368487320893,0.8468713383691244
CID003368-1,0.09074017298255384,0.24101416057895408,0.08212251257847715,0.1744788500458987,0.41158655178837633,5.7752025739781195e-05,0.9175307219662059,0.8205664302535063
CID003369-1,0.17379860336903027,0.28547669485315524,0.03710626222702578,0.2562112359827259,0.2220529016216794,0.025354301946383443,0.8533026113671275,0.7471699246115178
CID003370-1,0.21606925147549377,0.28573289919367695,0.06054475499757723,0.0530073378248003,0.3694007003872113,0.015245056121240216,0.9346906398730831,0.8368318056353876
CID003371-2,0.2323560609259923,0.21257478882895842,0.00901731212895537,0.17022778868044725,0.37535030820345694,0.00047374123218973306,0.9114754098360656,0.7578015009199561
CID003372-1,0.29955967528665806,0.21210588605503045,0.048465562349332185,0.1668536817042789,0.26626383624600386,0.006751358358696516,0.913968439509059,0.7730197438368396
CID003373-1,0.03077014530343621,0.40966820089348827,0.04780333716536165,0.2488379817539175,0.24242787819775746,0.0204924566860389,0.7841613091759205,0.643258133134784
CID003374-1,0.059275199627996565,0.8979462865582373,0.0038731193528935793,0.01450744703682153,0.017145644916117354,0.007252302507933664,0.9271285034373347,0.7791628609459361
CID003375-1,0.03747229407330188,0.7514755444234376,0.020097444531058814,0.18355533066881288,0.004020081741003965,0.0033793045623849312,0.9252483927527763,0.8258218457737778
CID003376-1,0.1891247110815304,0.48145681344762287,0.12065981710786765,0.20187700401588374,0.005384694291112518,0.0014969600559828035,0.9215330764775503,0.884795703039385
CID003377-1,0.02065065697775562,0.15689141311859223,0.3778496552252281,0.023924343064606342,0.3870007581260167,0.03368317348780098,0.8679005817028027,0.7219731699954756
CID003378-1,0.0296223664635936,0.811061007501697,0.017400441320528138,0.02955066289877155,0.08783355079202224,0.024531971023387493,0.925251468824018,0.7584698778092848
CID003379-1,0.035461289420678985,0.8283457858459783,0.05586663311282411,0.017334496329305026,0.061963401020416475,0.0010283942707970692,0.9489240342234898,0.7645691508488686
