,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.07249811854653275,0.0012294268843614608,0.0007554416505541804,0.4624539253470757,0.45596062189630177,0.007102465675174195,0.9472926267281105,0.7961212238406037
CID003353-1,0.047509221075050505,0.6591840779688967,0.02362992625740945,0.10607980304036027,0.15623675540757037,0.007360216250712711,0.9041011619958988,0.7659820304731991
CID003354-1,0.26334941475797635,0.5788322911709661,0.003500574277002795,0.1254336809880148,0.026310580995483494,0.002573457810556461,0.9247223845704267,0.8734793190610087
CID003355-1,0.2560667025361105,0.2500592402828753,0.003802302259793197,0.028147582632610937,0.40659327570451265,0.055330896584097185,0.8379794011734785,0.7056744536992595
CID003356-1,0.07825515136500172,0.2034051712410742,0.004437478738478685,0.2309254728761649,0.48096275316223414,0.002013972617046572,0.9162826420890937,0.820037632382
CID003357-1,0.17788416589690664,0.27801026705286935,0.08736701194498335,0.20155041889184103,0.2445099796824848,0.010678156530914848,0.8660234254992318,0.7262051945615465
CID003358-1,0.03825695167683485,0.4132507073017124,0.042124985262761955,0.17436053677733837,0.3193745831868521,0.012632235794500459,0.9302746931618936,0.8059678640980543
CID003359-1,0.1519847822115734,0.39228826220205293,0.045095085319027735,0.2981305751696958,0.10291438399880762,0.009586911098842472,0.8808566895822317,0.8270203459684248
CID003360-1,0.20860559125568753,0.17470443741243652,0.12542235569382648,0.2393071796472554,0.23556206465947732,0.016398371331316726,0.9125330512956108,0.8298044125686589
CID003361-1,0.2579871654262818,0.28020277130458504,0.002470084648864946,0.18535896376970568,0.23038925940725846,0.04359175544330409,0.9142185099846389,0.767828194993348
CID003362-1,0.14411965456065237,0.3881442891146643,0.06215047413712974,0.3107742136493122,0.09031281070799542,0.004498557830245964,0.8759112861053862,0.8141117199680079
CID003363-1,0.2102196703056028,0.32784784371764397,0.028676902546786683,0.13677878259976906,0.27029297288771253,0.02618382794248495,0.9094662058371735,0.8086289337254229
CID003364-1,0.17866132670386706,0.25877933394874963,0.031122778476607247,0.13716160801788774,0.3924170169518913,0.0018579359009970597,0.9004759386567954,0.8079427930712114
CID003365-1,0.14763963785261766,0.40291872023390146,0.03872401167567887,0.21072214206029752,0.17239294205974667,0.027602546117757826,0.8636146155976933,0.8472697542979258
CID003366-1,0.21114926042862922,0.0006614832218497338,0.39507345269547256,0.33752736784256226,0.05098412425395827,0.004604311557528068,0.9344818005001388,0.8460708014884099
CID003367-2,0.29633158624067707,0.04315542441255094,0.048386897169065794,0.3040571352057265,0.3047828428711066,0.00328611410087307,0.9483266601193624,0.8522590323462833
CID003368-1,0.32110988485865677,0.2291199380964332,0.030937202108217356,0.11139962263826682,0.28756441646698117,0.019868935831444744,0.9282354070660522,0.8108341815799088
CID003369-1,0.3057296075176172,0.27185965646512517,0.03303897122696892,0.23363044119002957,0.15390232673701135,0.0018389968632477858,0.8516225038402456,0.7430358878679656
CID003370-1,0.21091621835535113,0.3194178455508938,0.08249764404809198,0.08613795493022304,0.290760025384433,0.010270311731007049,0.9412480169222635,0.8428469404512339
CID003371-2,0.20894520275690587,0.19873953563662813,0.017787006120040572,0.14567737841074246,0.4255510220370011,0.0032998550386818446,0.9166990830786329,0.7544205481016127
CID003372-1,0.287437679108843,0.194022693463111,0.05111950006170906,0.17609753889071977,0.2715813909833086,0.01974119749230859,0.9113383985973115,0.7691957417845513
CID003373-1,0.12849178199567268,0.37133287407040866,0.1450302531544421,0.2070890776977758,0.146205993554633,0.0018500195270677799,0.7888369374634716,0.6258503525298558
CID003374-1,0.00035714733232729875,0.863281169215414,0.09520427788663179,0.02606639899348999,0.008876766813220839,0.0062142397589160965,0.9218402961396086,0.776504637621005
CID003375-1,0.004549132369624547,0.7545900579076386,0.0006137175983573996,0.21136128350415337,0.025695655539544265,0.0031901530806819098,0.9247808299240211,0.8277494175494127
