,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.10954892271707528,0.08120801353234083,0.010756153196884088,0.4452422691834927,0.3254289139870676,0.0278157273831395,0.9459545214172396,0.8046021507501114
CID003353-1,0.002703986450796874,0.7368220513362607,0.005629407540516299,0.01834343194430616,0.20468358363006472,0.03181753909805533,0.9072994091862017,0.7659300999142667
CID003354-1,0.25735754155228946,0.5724120237371738,0.016339063398188844,0.1271795733489663,0.024585511935302444,0.002126286028079119,0.9246175784288306,0.872793134990292
CID003355-1,0.276864349106979,0.2774447957372377,0.09192827669947289,0.032969118707719375,0.3130599613585614,0.007733498390029681,0.8346762989719366,0.7020124617570899
CID003356-1,0.011959688457738647,0.20448070183039022,0.007810164779747457,0.24508506263429003,0.5224917288656041,0.008172653432229523,0.9126916975145425,0.8182780633220161
CID003357-1,0.21442170853591117,0.28323960796809716,0.08770191040866837,0.19459831421791593,0.21948189183317507,0.0005565670362322842,0.8630883130618721,0.7280950863516436
CID003358-1,0.021361208860029183,0.42559399135926096,0.010787435828432236,0.14815451196395177,0.3873823916681909,0.006720460320134962,0.9316178376976925,0.8090343306951859
CID003359-1,0.2919048525325558,0.3856073172397949,0.019272852551120195,0.2595016349705869,0.011258600294817964,0.03245474241112416,0.8842197545295148,0.8116778999450106
CID003360-1,0.21206748452822635,0.17877595849621458,0.09020762584104082,0.2184418475704167,0.27763325173127296,0.022873831832828605,0.9095265926358853,0.823870915377879
CID003361-1,0.26061763395316595,0.28323583829131427,0.007623544092199463,0.1817733650117797,0.22665950070965926,0.040090117941881304,0.909518773135907,0.7663343952972619
CID003362-1,0.19150086684557255,0.38876560478993805,0.09262148237627396,0.2789451226321002,0.02770493837405166,0.02046198498206361,0.8799043062200957,0.8023907952381685
CID003363-1,0.2963814902026255,0.30835672062076835,0.005761985657995876,0.08994006743089367,0.29866630225678137,0.0008934338309353464,0.9042305658381808,0.808645367787773
CID003364-1,0.0001670327177284581,0.23689922598539087,0.007623010761437968,0.16402564034210942,0.5850525088106675,0.006232581382665817,0.8975452951490356,0.8041513552259274
CID003365-1,0.16325334685073375,0.386071049808476,0.01195866756088714,0.1978962608472668,0.22237335913721948,0.018447315795416832,0.8697415948874687,0.8488550945220341
CID003366-1,0.22599505112698384,0.00030989974059810144,0.40237534840173383,0.3366074674259767,0.03336037434724523,0.0013518589574623239,0.9338029468762497,0.8428708965300267
CID003367-2,0.30711605992265884,0.037174883304242,0.03741603722544844,0.29260981238103084,0.3228087498646785,0.002874457301941409,0.9455959988885801,0.8498040418219193
CID003368-1,0.1797401591675353,0.27875210191104716,0.06435975846746357,0.19717482304479073,0.27183842098441124,0.008134736424752008,0.9225277630883132,0.8207654468087336
CID003369-1,0.19337714391734437,0.27718170387057184,0.001093683141634935,0.24537282056965998,0.2558115534435332,0.027163095057255664,0.8525647805393971,0.742001580787745
CID003370-1,0.23824240313564163,0.2852676529125957,0.05710868937432694,0.05264379814786655,0.3639040339548881,0.0028334224746811012,0.9437171244886031,0.8384064532784611
CID003371-2,0.22672583707497113,0.21506758080065802,0.00948548914354508,0.16400071344497774,0.37918091193488007,0.005539467600967969,0.9158386908240794,0.7537818994438102
CID003372-1,0.23079969134814585,0.2227273442054991,0.040809892670754286,0.18748012989365884,0.31623983815512174,0.0019431037268201896,0.9091910811511537,0.7719235819696213
CID003373-1,0.001572598627326192,0.41765360959857606,0.0073387120655491285,0.24413846374788606,0.3167944941614991,0.012502121799163348,0.7930386310604095,0.6431023521918937
CID003374-1,0.05453366668482022,0.8936124643696193,0.007898646414837257,0.034550043158027975,0.0046456115450683325,0.004759567827626985,0.9225014611338399,0.7819802800101534
CID003375-1,0.01336226324204004,0.7515997891804925,0.01653235150319372,0.18618470260241338,0.03101284358679888,0.0013080498850614767,0.9237101374124967,0.8277289169235512
CID003376-1,0.22255320071927365,0.48251794793588787,0.022118880407409364,0.20956513327630427,0.057372727117192386,0.005872110543932496,0.9252014448457905,0.881908261557064
CID003377-1,0.2066402198415415,0.20657546320958278,0.10784400416574172,0.12397236487219689,0.23825572690852106,0.11671222100241604,0.8652834599649327,0.6954876147672039
CID003378-1,0.060501355900551536,0.8331507999859433,0.01489581750777358,0.03470315170543968,0.0475047415088495,0.009244133391442352,0.9211893369788107,0.7627426696441226
CID003379-1,0.07095720809333803,0.7811935812761037,0.019674449101584356,0.03982579081491262,0.0720725038651349,0.01627646684892636,0.944949494949495,0.7652951044172746
CID003380-1,0.03018642229653434,0.40139697661215146,0.051292158038336075,0.1512324537292534,0.36446543652587676,0.001426552797847821,0.9389246054938631,0.8566134826859153
CID003381-1,0.24431486424142507,0.22393048992494388,0.041178607636515145,0.16961622093903594,0.31485813906740073,0.00610167819067919,0.8502379693283976,0.6451859232005474
CID003382-1,0.24160660950953064,0.2946486687604481,0.04695958766859975,0.09411837902575308,0.30954551507585043,0.013121239959817968,0.8725013220518244,0.7787719778569825
CID003383-1,0.34032185403138093,0.30360586967976977,0.05875964392044742,0.1610509437310958,0.1346851748592184,0.0015765137780876395,0.899472075576549,0.8162620421810057
CID003384-1,0.3315885648098673,0.40935796626664545,0.0242351461411391,0.16918618452942868,0.026018712944019962,0.03961342530889939,0.9206988833861393,0.8154557039867569
CID003385-1,0.11180653322785679,0.6436065368628731,0.0011930562620178452,0.17807649737332654,0.05387013615281797,0.011447240121107793,0.9276828434723172,0.832304937955514
CID003386-1,0.06573010961616345,0.003803083108001334,0.29393456034274945,0.27386677153889466,0.1801511840232453,0.18251429137094582,0.8509335876218893,0.804018357313918
CID003665-1,0.0038520523094808822,0.7287338787450756,0.03562480084729568,0.03087969411514212,0.18583873863486416,0.015070835348141633,0.8193387051958877,0.7147842480047173
CID003666-1,0.0026212150821878304,0.7880691151413287,0.0013473069387337365,0.20121419122913367,0.004168031137601687,0.0025801404710143667,0.9340808918848845,0.8341554483979345
CID003667-1,0.2929675960714448,0.02021380565071337,0.1514840504843291,0.27855088947220213,0.1985177201872096,0.05826593813410104,0.9043067518755208,0.774753574175349
CID003669-1,0.035056236992176186,0.0015791193694305653,0.1831190516920955,0.33337535730125595,0.3030918973014196,0.1437783373436222,0.8932787843366453,0.702650653924807
CID003670-1,0.10345354373053091,0.05425363571925687,0.1526863048648546,0.33112035394794614,0.3573617812927033,0.0011243804447081576,0.8787258912916424,0.780546758800445
CID003671-1,0.08300655661521841,0.000842786548995021,0.28949442288386956,0.35432484855611024,0.21096190777824433,0.06136947761756244,0.9109292811221508,0.8013444256375927
CID003672-1,0.2832800497522646,0.10119107958616316,0.00760262770726656,0.30129103467301266,0.2994354317777205,0.007199776503572512,0.9206446235065295,0.7724496960635548
CID003673-1,0.35333672525003135,0.411185389790258,0.02367576264572323,0.16426742599463354,0.008860847045891834,0.038673849273462055,0.9173103639899972,0.7963729159285275
CID003674-1,0.2302191864755078,0.21853947399316184,0.006484414588881842,0.18077777168256154,0.36227004917694416,0.0017091040829428097,0.9143310417768377,0.7902998112300621
CID003675-1,0.2943403099483707,0.34301072002797356,0.09052081685096137,0.23815244451470033,0.03166999053722017,0.002305718120773923,0.8669552669552669,0.7818679842208622
CID003676-2,0.23342358514933192,0.3897745143753639,0.005197085031183797,0.26477993344440043,0.08283739101871995,0.023987490980999986,0.9230037017451084,0.8378354817981665
