,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.10656817678292801,0.0813946588787729,0.010156436360563577,0.4460377643042353,0.3293731093302852,0.026469854343215027,0.9476766513056835,0.8043073175971499
CID003353-1,0.025304913882136133,0.8380584876583591,0.07986326900187361,0.005822886109337105,0.04837280211141859,0.0025776412368754254,0.9079972658920028,0.7560021972299552
CID003354-1,0.2519951988729669,0.5165523761985502,0.04297016819109329,0.16416378209403445,0.00996628860185383,0.0143521860415013,0.9233781414377557,0.8740505472028937
CID003355-1,0.01714679268069186,0.24373674340020782,0.001636990708228645,0.09409669312028876,0.6335486214088485,0.009834158681734406,0.8414545088262698,0.7085450703024562
CID003356-1,0.21387790744011992,0.20853839548633407,0.007510927964044388,0.21382516609780944,0.35289085646339935,0.0033567465482929244,0.9110023041474654,0.819315319864048
CID003357-1,0.23964947010360338,0.23520791535928268,0.021819018793501777,0.15121362696587073,0.3376820630755296,0.014427905702211719,0.869047619047619,0.7262004024238012
CID003358-1,0.04337896577152727,0.413453496357566,0.0029328120285720626,0.17880304675990066,0.35073616819882575,0.01069551088360827,0.9310344827586207,0.809513319715899
CID003359-1,0.2264981237391645,0.3853830330125261,0.058793623777186374,0.29471335470761806,0.024991674706808905,0.0096201900566961,0.8798519301956637,0.8238272727308115
CID003360-1,0.2665804292884733,0.16888800399089313,0.042445381173094286,0.20568120517283686,0.28285639084372705,0.033548589530975365,0.9149127445795876,0.8217682872700315
CID003361-1,0.2568772542471593,0.2850423544806913,0.05514602809440717,0.1778993059400049,0.18704533605748358,0.03798972118025372,0.9144105222734253,0.7695168767945665
CID003362-1,0.153753052741775,0.3941699429820209,0.023866704431612616,0.2924276151644825,0.10787586120640877,0.0279068234737003,0.87584976468055,0.806603249832109
CID003363-1,0.3483291157697599,0.30117830996387873,0.012200728041755336,0.08761478620208135,0.24646696594817913,0.004210094074345594,0.9068260368663593,0.8087111584006106
CID003364-1,0.20111875829392495,0.25401913107244256,0.03484520391146977,0.1271825242811871,0.376601097756805,0.006233284684170627,0.8992596509783183,0.8049043578109932
CID003365-1,0.2656685493959025,0.3906939271891392,0.09830977980521899,0.1705037326330789,0.06542876599177878,0.009395244984881677,0.8633124323235376,0.8438898571886807
CID003366-1,0.24351501460221453,0.009450480100495146,0.27684242145699495,0.30773188170373533,0.1107936538968003,0.05166654823975981,0.9299805501528202,0.8396307046562764
CID003367-2,0.33882914153390775,0.02532922734479019,0.0710981602997267,0.27818138851586527,0.28376652735204944,0.0027955549536606535,0.9478230213291028,0.8503766523071147
CID003368-1,0.2505681316494212,0.2556417189966968,0.008034187372395482,0.1641114062691569,0.29815553016443064,0.023489025547898917,0.9256912442396312,0.813296986941974
CID003369-1,0.24133738553482,0.27362167233665774,0.03403303658960476,0.23708075788870014,0.1927332384935725,0.021193909156644763,0.8515264976958524,0.7399635685959939
CID003370-1,0.21644237157096485,0.31564334936742333,0.053882827113464093,0.08784225002738837,0.3070462611898851,0.0191429407308743,0.9416181914331042,0.8403772780096788
CID003371-2,0.2117633600236011,0.21856740612159078,0.10777793372691391,0.18127965670311055,0.26412975693517915,0.016481886489604497,0.9113086968602389,0.7490052587642277
CID003372-1,0.34943307918379507,0.09193215312012283,0.0011257808898913315,0.03820005246574554,0.5180096740245069,0.0012992603159383508,0.9130917592051433,0.7500803063908867
CID003373-1,0.16939038536061102,0.3540833301999709,0.08567661458745354,0.18510644615628505,0.19531935574826279,0.010423867947416666,0.7872589129164231,0.6271944583918175
CID003374-1,0.10278895513014061,0.8320891899042996,0.001918844997214263,0.028388655868553315,0.009530722428748467,0.025283631671043725,0.9228450555261766,0.7815935177440018
CID003375-1,0.06204001239444725,0.754000706086747,0.004431262572163628,0.17396978532399882,0.0009448952916042332,0.004613338331039164,0.9282291057860901,0.823641058298673
CID003376-1,0.19543220598173874,0.48715691018345153,0.047572884001644576,0.20246577158588844,0.05777817144449054,0.009594056802786183,0.9183601520989148,0.8813383529565182
CID003377-1,0.006807505814481847,0.19996873734690415,0.3385827036479157,0.07327221785394099,0.31132714860904404,0.07004168672771321,0.8747223691168694,0.7218274260688187
CID003378-1,0.09445481020675316,0.8387253613601299,0.0025466821671006916,0.00649649182066632,0.039080628194294226,0.01869602625105579,0.9199606262881049,0.7550586363492853
CID003379-1,0.016968712997611227,0.8245296630922181,0.09080168090940775,0.02237812100228373,0.044493717647207054,0.0008281043512720877,0.9489888514389421,0.7664052950388615
CID003380-1,0.028311970784400363,0.4012102276754104,0.006586658701833131,0.13677618335880673,0.4230393516558215,0.004075607823727815,0.9404547858276046,0.8575434154420665
CID003381-1,0.19215141267633584,0.22383023655718662,0.05318411196816917,0.18912887373755913,0.3395774792527317,0.0021278858080175794,0.8547427035330262,0.6490134378643906
CID003382-1,0.27158040807873096,0.27164614390190533,0.04801447398411931,0.07936781312612934,0.3288053805340772,0.000585780375037863,0.8725998463901689,0.7764184826619804
CID003383-1,0.2786219288132815,0.30497512592793874,0.02412680684561675,0.17834237756117802,0.21348299264386117,0.0004507682081237858,0.9010853415930095,0.8193554803666026
CID003384-1,0.08736200561559544,0.4526059077177253,0.06409359254437794,0.18307029698225677,0.20931559674580738,0.0035526003942371884,0.9201444845790496,0.8381780767584502
CID003385-1,0.13247480296638428,0.6367210125729067,0.04286456411749229,0.18173971584079954,0.000886635009857424,0.005313269492559765,0.925251468824018,0.8336844038490617
CID003386-1,0.2040232391717326,0.012439510180629327,0.20612774920859753,0.22644228356261156,0.15803096425143642,0.19293625362499256,0.8493470408446789,0.7930739234654072
CID003665-1,0.019659402808706046,0.6605867419988438,0.029466665998258167,0.012865422215943454,0.2662369956814,0.011184771296848499,0.8058472463549142,0.7116108899315507
CID003666-1,0.00377294939302759,0.7855474420417856,0.0009508838697476732,0.20744256587400792,0.000552094018229124,0.0017340648032020329,0.9349503214494448,0.8364966391271853
CID003667-1,0.32579530550885477,0.020618447823685132,0.20119984116949963,0.29107453063749833,0.1047859133235263,0.05652596153693585,0.9082873762937221,0.7805047488868805
CID003669-1,0.08559311545849863,0.0037890562864726636,0.42717251445290566,0.29311698569201045,0.18839225423484704,0.0019360738752655512,0.89613960867266,0.7856745630535139
CID003670-1,0.12348515364899511,0.06108417096643862,0.09662114653707901,0.3300637792044973,0.3636698570951503,0.025075892547839738,0.881121099947118,0.7822162394628451
CID003671-1,0.09599063882525227,0.0031056509129919426,0.39036850668796186,0.3541672659792826,0.1295668485174315,0.026801089077079798,0.9142781597038605,0.813663299540857
CID003672-1,0.2937944072628115,0.09820314038550133,0.000800891428345384,0.29699057366067483,0.3001376886965085,0.010073298566158503,0.9233965400015108,0.7725649009184701
CID003673-1,0.40747642371821857,0.4591854522275586,0.014858020319700497,0.11032314170493579,0.007197874348697608,0.000959087680888936,0.9196696129535896,0.8070319532356093
CID003674-1,0.3253214945461275,0.20925952773355908,0.0418047239176805,0.16210899232438641,0.22468696778952746,0.0368182936887191,0.9153225806451613,0.7867987153002319
CID003675-1,0.32401248136914945,0.3398450846918318,0.004600455877539103,0.2155453459864172,0.10393984643665027,0.012056785638412306,0.8728934404977962,0.7774913059626107
CID003676-2,0.3035937854090506,0.3947779013687509,0.021319891668518758,0.24371172048910317,0.004180770332332214,0.032415930732244407,0.9261712749615975,0.8319757531668552
CID003677-1,0.2881669437275095,0.24810681791465977,0.0016671521469477297,0.05518288869701547,0.4025531082119316,0.004323089301935931,0.8462941628264208,0.7120669803296092
CID003678-1,0.1374979605452967,0.5396645188196761,0.09068276910409764,0.019408891438446037,0.21108487164522852,0.0016609884472549349,0.9317588218949707,0.8273776069464234
CID003679-1,0.16060000265830032,0.32091152946233154,0.07039989831703825,0.12279027210497863,0.32495997602087673,0.0003383214364745314,0.9274673579109063,0.7736380090575089
CID003680-1,0.04482580916213845,0.39874257194978946,0.05700166667410209,0.18451723934287798,0.3084828368567504,0.006429876014341644,0.828609201480698,0.7233213834384439
CID003681-1,0.2147826096375054,0.7088948744725734,0.018158172949600284,0.004202560948312205,0.050072619141499665,0.0038891628505090415,0.9106182795698924,0.7895976772812126
CID003682-1,0.15630270438450872,0.6711724094414324,0.08000489550252639,0.04068986450803972,0.008038356421415958,0.043791769742076804,0.9205758405364668,0.7861513228712423
CID003683-1,0.08793965533301187,0.6798392671488401,0.023070507040358137,0.16352721449051477,0.04459061938653369,0.0010327366007414555,0.8995908825248393,0.8323178787877678
CID004696-1,0.28532183019874663,0.20819665163164625,0.0032582569286613594,0.15746079990978445,0.29808583638426805,0.04767662494689317,0.9001056067588326,0.7391484891065871
CID004697-1,0.326639933674387,0.05520390345637842,0.06403171932618099,0.3016432455559446,0.23159247423611745,0.02088872375099158,0.9178667434715821,0.8157896305195675
CID004698-1,0.32437212288988887,0.1609639843009126,0.028842524244001008,0.18932550529179842,0.25824271671508764,0.038253146558311496,0.9080741167434715,0.712640769126013
CID004699-1,0.30879004710186164,0.28086312130626534,0.011256134612287883,0.2444075337112581,0.15349905635135883,0.0011841069169682258,0.9293136982495136,0.8261430810591809
CID004700-1,0.3402532334603146,0.34877534445686886,0.019537378681128436,0.2366928012070862,0.04908728433336137,0.0056539578612405505,0.8884440079574928,0.8144286473023343
CID004701-1,0.11951185193167511,0.2004956367368851,0.0359321197697851,0.4560458099607288,0.186434355938341,0.0015802256625848715,0.9284417941405236,0.8542844507419108
CID004702-1,0.01897505970831095,0.5091968496711116,0.0016383171513364523,0.4522537482552312,0.0029961761023059924,0.014939849111703785,0.8216171158655181,0.854937842084013
CID004703-1,0.2951562659963079,0.0753779498251231,0.030109645277502272,0.3249153882746257,0.2722431817725324,0.0021975688539086933,0.9440284178187404,0.8395114950992592
CID004704-1,0.2939063318498938,0.055165956275348094,0.0006071354270292175,0.45758799106538417,0.17562589601590772,0.017106689366436903,0.8514265568734104,0.7839435664148272
CID004705-1,0.2832669392538258,0.3069480824219679,0.04232657733283366,0.1180439931743039,0.24332502548720164,0.0060893823298670754,0.9449701840808918,0.7645402491324964
CID004706-1,0.18822354153263587,0.30697621292764876,0.027502708189333404,0.18379741533205432,0.2580225731811108,0.03547754883721682,0.9348598310291859,0.7815412272622154
CID004707-1,0.38363689964353265,0.2921785781063074,0.04799159443850324,0.15141020324329557,0.11969724128069525,0.0050854832876659145,0.9010576414595451,0.773213603303422
CID004708-1,0.12160332115389341,0.2828904638509029,0.020670067453697254,0.10819189061451938,0.46649599055772534,0.00014826636926174844,0.8445795875198306,0.7310123993106674
CID004709-1,0.2859452034355474,0.04524497864464922,0.026494453336038455,0.3110481284906348,0.32649422926249255,0.004773006830637669,0.9307496663393015,0.8167657677890806
CID004710-1,0.22414866831271146,0.24551741185964715,0.0028774828923384807,0.25179453563349985,0.24836519559922107,0.027296705702581994,0.8988095238095238,0.8317549521373959
CID004711-1,0.3157938258057857,0.26308556313181886,0.024552672604581043,0.2321323746766103,0.15243589112222355,0.011999672658980646,0.8515745007680491,0.7956924398949237
CID004712-1,0.07711498843089228,0.2736706668999406,0.029609705172236163,0.07974990681175945,0.5116681636025835,0.02818656908258805,0.8366699403188034,0.7009824537548971
CID004713-1,0.32983326511926964,0.27319981926451425,0.0014527039831899182,0.23918986491570635,0.14563300732952406,0.010691339387795798,0.9305658381808567,0.8095948447274572
CID004714-1,0.15048859339195883,0.4096599292316013,0.06625571859063514,0.27088942001079563,0.07864281908245965,0.02406351969254934,0.8835925499231951,0.8507394196255335
CID004715-1,0.001573773775889524,0.815388680080135,0.00109545351732403,0.17843371878652187,0.0031134452622171988,0.0003949285779124141,0.8758031442241968,0.7237963868334865
CID004716-1,0.11162296929255361,0.4826101965606061,0.00030377044175954136,0.3894662579122264,0.00229915163441166,0.01369765415844266,0.8686510035002896,0.7767828632958733
CID004717-1,0.01836209094151661,0.404235440778636,0.043795693045970134,0.20368221006564408,0.32364549689465183,0.006279068273581344,0.9182550708530146,0.8062372044470674
CID004718-1,0.001703679792813556,0.9136113612234137,9.652377661313992e-05,0.004936769052216295,0.07243256263539834,0.007219103519544966,0.9424159463533176,0.7646821429600436
CID004719-1,0.11297628534720773,0.5044147877524443,0.007341052137408583,0.3175698884141618,0.051220367129680845,0.006477619219096784,0.9031953320366768,0.8161599711962505
CID004720-2,0.4229966025877667,0.17213065979640152,0.0010338589592202073,0.39287967894806464,0.01085127830330083,0.00010792140524608961,0.9247311827956989,0.7984047128581115
CID004721-1,0.09836248657593893,0.2720973994311168,0.2785965893807584,0.10127784950099172,0.24966380323060802,1.8718805860818093e-06,0.8935771889400921,0.7762337123953241
CID004722-1,0.18693424125358965,0.6247635893203672,0.000479207137695525,0.11918706528966572,0.06693810617808045,0.0016977908206013933,0.9171829339567503,0.8013238645661808
CID004723-1,0.007431262540216729,0.7400266072759748,0.025502022098360763,0.21110907814301838,0.006970508185610075,0.008960521756819259,0.9373473344917026,0.8069377889563227
CID004724-1,0.02596139056316044,0.5525850739738909,0.004605118560457501,0.4103369944394919,0.0012416982734227554,0.005269724189576512,0.8915809947207556,0.8214334548200027
CID004725-1,0.29900329022973826,0.24052520997778076,0.006193187544980983,0.07406475306786499,0.3798725097820172,0.00034104939761783867,0.9290514592933947,0.8254018744456373
CID004726-1,0.3220056901507839,0.2728431972116449,0.03382889728814503,0.14728739468112448,0.19747527531454967,0.026559545353752042,0.932555683563748,0.8300335210601089
CID004727-1,0.17942931963064154,0.3787634867464912,0.010880114383922624,0.31752693211182476,0.1026068393923277,0.010793307734792175,0.8743521946060285,0.8192370260367353
CID004728-1,0.33377718183450655,0.348244484628398,0.002792740301358337,0.07197948264660542,0.2402084435187532,0.0029976670703784876,0.9357860542418978,0.8296532720491389
CID004729-1,0.3812866668734326,0.30643455966446703,0.012599877754135949,0.2706576697632772,0.026674000944395877,0.0023472250002913196,0.9099194220616836,0.8076569486819495
CID004730-1,0.3626035927143419,0.32710133866657265,0.006014368137728381,0.19280652068101256,0.10038546342218418,0.011088716378160298,0.886409307244844,0.8211488269583281
CID004731-1,0.03290874707488907,0.21573674284543218,0.11239503773256186,0.18852583325198896,0.4455353994771325,0.00489823961799544,0.8620306716023268,0.7413168899578894
CID004732-1,0.003370218316380499,0.7558626385371265,0.002711099773243116,0.22301429751877755,0.0055265960315280145,0.009515149822944245,0.9348918760958503,0.8235056273043754
CID004733-1,0.20707485249599572,0.35456706606279026,2.1112758939580815e-05,0.339850058605835,0.07452442039834585,0.02396248967809358,0.8995908825248393,0.8221381214925693
CID004734-1,0.3398965181766732,0.20109392941789797,0.0032853926523012072,0.43163823982876887,0.02092988406236281,0.0031560358619959535,0.8900052882072979,0.809712021571803
CID004735-1,0.27270695018939045,0.26135499345811714,0.02066561820668273,0.22987906600192795,0.18370751299085433,0.03168585915302738,0.871020624008461,0.7301529929661136
CID004736-1,0.01156264424415598,0.7381358592137099,0.03669168910620059,0.194733199098277,0.017245299883815096,0.001631308453841382,0.9221507890122734,0.7647286128592845
CID004737-1,0.12147636513544785,0.4035588873912986,0.06746243304627264,0.3102892228628856,0.07281185489755707,0.02440123666653822,0.9095859961100305,0.8153515034175951
CID004738-1,0.046095552168129,0.7647510740404049,0.0027140508275666606,0.17431593394863876,0.005100201456865081,0.007023187558395635,0.9334338183272325,0.7662262951880038
CID004739-1,0.3540535170510035,0.09426760315012205,0.005800591488618213,0.3341462280557609,0.2116390530029718,9.300725152345183e-05,0.9274673579109063,0.8158844187414073
CID004740-1,0.4207724479858291,0.2985495456511161,0.002608694171223468,0.19675958277903904,0.08033552773893891,0.0009742016738533151,0.8838105310871044,0.8481632269453044
CID004741-1,0.08241971754558444,0.1331362159238023,0.010520591963752678,0.7111558077005313,0.01733866546090387,0.045429001405425426,0.8326282390269699,0.7534688500719358
CID004742-1,0.21291463585360915,0.1239926476768532,0.014971949736508549,0.364910131150613,0.2790774421905125,0.004133193391903601,0.9324620382261842,0.833520316363053
CID004743-1,0.2945386952648776,0.3035818813447629,0.004512812600821394,0.27723868582970723,0.07842446901350306,0.041703455946327975,0.8265996827075621,0.8004791985545993
CID004744-1,0.18629619166231676,0.2976900218461538,0.04481460934713194,0.21287425967467788,0.233145561590726,0.02517935587899355,0.9174032383974214,0.8468906664293516
CID004745-1,0.3565241315691322,0.26897413060096764,0.08720831690351646,0.25108244566049737,0.03032755809162714,0.005883417174259148,0.9203629032258064,0.796393196733157
CID004746-1,0.0728532660195124,0.493003453579471,0.019513762661778802,0.392215696033047,0.011465436399993765,0.010948385306197,0.9049180327868852,0.8498857018066092
CID004747-1,0.2900007821565422,0.2039502425125714,0.18380388913342155,0.10563898995920831,0.2120536507140227,0.004552445524233801,0.9103522953337867,0.8351988192420119
CID004748-1,0.315260904849165,0.3315453693209669,0.006138126355970679,0.18768297890488017,0.14811564429876875,0.011256976270248402,0.8980433632998414,0.8084970156400688
CID004749-1,0.014037275252546862,0.6402494510443163,0.005207177035842269,0.260383057734629,0.02857992084270851,0.05154311808995704,0.8948175568482285,0.8441990518847907
CID004750-1,0.34491598846299665,0.430922256181884,0.007606819173870455,0.15533512242394745,0.060659212552862066,0.0005606012044393657,0.9056739631336406,0.8215016620416609
CID004751-1,0.2683375200381477,0.2502139658431809,0.0009477788668181091,0.052884115816560405,0.4273442645736126,0.00027235486168033737,0.8570673113243182,0.728543532800298
CID004752-1,0.242007359067078,0.2280872623847662,0.012055918625621193,0.10258946601428603,0.402527768567291,0.012732225340957604,0.925914733952809,0.7956280255391129
CID004753-1,0.20537183443764548,0.29998047967347496,0.005208675402848727,0.14135344210112932,0.3239599105279768,0.024125657856924703,0.9048626325199568,0.8116419744339693
CID004754-1,0.23380152784841088,0.4021092569097307,0.01165300559451813,0.2694668299952132,0.03913382923442394,0.0438355504177031,0.8265996827075621,0.7757269971477878
CID004755-1,0.016347693326583944,0.41136380791896165,0.07768894563348062,0.23577691076381477,0.24299462605226294,0.01582801630489605,0.7788830230619616,0.6270184996821422
CID004756-1,0.4112367622833806,0.25713620251251434,0.016061851675458868,0.026368492789192118,0.2891192814979474,7.740924150668564e-05,0.9308275729646697,0.835998020342453
CID004757-1,0.24203809211712038,0.3260321505292437,0.02105234001846297,0.1436636423196904,0.251872043436966,0.015341731578516296,0.9079348291405404,0.819923386810011
CID004758-1,0.0011002602375145712,0.2947149995703717,0.0006417487421463148,0.6974589590622883,0.0008403268282099111,0.00524370555946925,0.852726574500768,0.8035442888012143
CID005704-1,0.017407993956023517,0.013517640278494234,0.0069114113792896345,0.777694968189679,0.14185454382683257,0.04261344236968112,0.9279292891138476,0.7901882402307898
CID005705-1,0.006634520105310488,0.004461691249893999,0.02558992647183362,0.6677147413209252,0.2773797447795562,0.018219376072480458,0.924812447902195,0.8398313115025927
CID005706-1,0.3461762173100378,0.26058645555436344,0.01745129272663905,0.22644939775720155,0.14499943505919446,0.004337201592563716,0.8820564516129032,0.8540306506294876
CID005707-1,0.11829201969435386,0.0046383487402718955,0.18159179353160443,0.3460486647994791,0.2667433873511625,0.08268578588312825,0.9214701216287677,0.7970863899456769
CID005708-1,0.15469380670935243,0.020406735755735574,0.341291364726875,0.2995849381995372,0.14361826852022322,0.04040488608827661,0.9226864093072449,0.8355092561454218
