,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11357262161816713,0.021490225880276267,0.021767035575868926,0.4375523117286684,0.4006649927510944,0.004952812445924928,0.9482046850998463,0.8070802268824337
CID003353-1,0.14120616727146398,0.7991270594314573,0.00412447187555844,0.03629395872822267,0.0013527610874857609,0.017895581605811832,0.9077238550922762,0.7539046080513292
CID003354-1,0.18783512497664287,0.5460805645411609,0.03423080677155549,0.18914107726198787,0.034327319889926884,0.00838510655872598,0.9164231443600233,0.8787443688201311
CID003355-1,0.30271535431413626,0.24747056436016637,0.0422743025419339,0.009600231555271163,0.3586379695622082,0.03930157766628406,0.8368713958349072,0.7082314701488127
CID003356-1,0.0485396774969058,0.19151676647241272,0.01076980674692947,0.25100293556007996,0.49703381628529864,0.0011369974383734203,0.9175787250384024,0.8234989497082469
CID003357-1,0.2590364930277787,0.2332845842846526,0.017782223646508836,0.14876765315306006,0.33140388868631176,0.009725157201688093,0.8702476958525345,0.7309144939512082
CID003358-1,0.017606944273291722,0.4175175301315669,0.06777951212020059,0.18078798557009643,0.30064066978520254,0.01566735811964186,0.9259497369959089,0.8058688983202197
CID003359-1,0.016425253270616908,0.40140068164829384,0.08732766325908535,0.3386015993172774,0.13366583102448987,0.02257897148023661,0.8641988365943946,0.8251678255978874
CID003360-1,0.2685591394041261,0.16676268318106774,0.03093298472056619,0.1985936149510751,0.2952646874200326,0.03988689032313232,0.9106821787414067,0.8208278076308677
CID003361-1,0.2931363463267262,0.2793293412032793,0.013294780172115212,0.15594272769926093,0.21333149557417908,0.04496530902443933,0.9094662058371735,0.7665761702008449
CID003362-1,0.09891647251723744,0.38465121870201713,0.09504690999442562,0.3070710962760145,0.11034229769922843,0.003972004811076934,0.8737580362361193,0.8134370269021126
CID003363-1,0.24639157382731713,0.30236421185481566,0.01174664978051389,0.09971253218984152,0.3192464746916719,0.02053855765583983,0.9099462365591398,0.8097411519515821
CID003364-1,0.04127095510036367,0.2999495061604145,0.107391685415515,0.2046892627782138,0.34450357905379514,0.0021950114916978953,0.8885245901639344,0.8122727031297869
CID003365-1,0.17128533534481413,0.3802493030064628,0.01115328384952467,0.16188839369799196,0.24318496567646372,0.03223871842474274,0.8540958424617864,0.8403000782209618
CID003366-1,0.15259157883751098,0.02579097744650976,0.42309240409904997,0.3373167654006388,0.06091658123848532,0.0002916929778051718,0.9363712142261739,0.8468205757775202
CID003367-2,0.35700899671909725,0.006243164734260434,0.006316064219393582,0.26315706390700455,0.36155606685493935,0.005718643565304824,0.9487799350305961,0.8456529126311546
CID003368-1,0.08855591330789614,0.23903468550256834,0.0012706056565922785,0.17970608182154985,0.48874392223965357,0.0026887914717398263,0.9190668202764977,0.8149181318388302
CID003369-1,0.3122060346110128,0.2971702576539796,0.09158347449835222,0.20799257334923688,0.0899804508349001,0.001067209052518433,0.849174347158218,0.7467242873247935
CID003370-1,0.23017480802982768,0.2740702433304278,0.013176915532129501,0.05394393503512917,0.4118310531347376,0.016803044937748247,0.9355367530407191,0.8346279460336361
CID003371-2,0.26035134108555974,0.20257510898287143,0.09582232464927974,0.15143493585368645,0.26558983178214385,0.024226457646458817,0.9061405946096137,0.7447761856788115
CID003372-1,0.3387109535800203,0.1896621957576124,0.020963211833896267,0.133572828956424,0.31328565919471435,0.0038051506773326966,0.9146113383985974,0.768938977117735
CID003373-1,0.1724607594106872,0.36947731486525487,0.007080561500013392,0.19700539783079174,0.20925260305368698,0.04472336333956587,0.7796610169491525,0.634906624210221
CID003374-1,0.029152123073854938,0.8592935994733691,0.016791653559870712,0.0010562837130651756,0.07687213283915835,0.016834207340681633,0.9261766261237441,0.7769372931458157
CID003375-1,0.019787812408743694,0.7405292121289676,0.02329674662563,0.19040305011381597,0.018899698022789145,0.007083480700053614,0.9246054938632379,0.8264991047453188
CID003376-1,0.21908653594017324,0.47449457376507254,0.032779594064352116,0.21788336688814702,0.055486558005346895,0.00026937133690821223,0.9224396263000177,0.8855070359289378
CID003377-1,0.019930039675730423,0.13688814692323562,0.3281612690126217,0.005102449547488285,0.4624610247058523,0.04745707013507161,0.8678476996298256,0.7134922092760386
CID003378-1,0.035252922632787426,0.8124402769427864,0.02281012110082322,0.004283880792384655,0.09690093706580732,0.028311861465410957,0.925620597373035,0.75470077272523
CID003379-1,0.018698048647198397,0.792859716174887,0.11849138312018656,0.024495551367381393,0.013161780677935055,0.03229352001241158,0.9491833030852995,0.7531842867068159
CID003380-1,0.0363909682010066,0.39899702722535546,0.013408471242513376,0.13766434580007453,0.41199784238675347,0.0015413451442965525,0.9391856160761503,0.8592296927420504
