,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11929436641083074,0.030743999406210826,0.009171147729737447,0.4789259773528847,0.35942548454894363,0.0024390245513926266,0.9469592808038075,0.8056300710098638
CID003353-1,0.08304091778399354,0.7613311798728698,0.02639137458315777,0.033359419435528684,0.057425386455887496,0.0384517218685627,0.9074518772631981,0.7576359181550798
CID003354-1,0.23121442267406928,0.5806538614071729,0.0330668497855289,0.144230539058379,0.004393876809777743,0.006440450265072174,0.9227378791807103,0.873283258645116
CID003355-1,0.05554423509195646,0.2890459136314456,0.047691511798896476,0.09389235631081068,0.4862767553210675,0.027549227845823237,0.8388441233676021,0.704051168592404
CID003356-1,0.05595386057830834,0.2136040157384884,0.0016926195301654766,0.25462281818619226,0.4599904702085007,0.01413621575834497,0.9123215230037016,0.8189368537592695
CID003357-1,0.22633304249770755,0.28357246730776015,0.004890518581783692,0.17230011967546555,0.28183984943763685,0.031064002499646196,0.8644103648863035,0.7280424216057437
CID003358-1,0.02195375394904556,0.42300221373592295,0.02672087245575463,0.15812779360260956,0.36188856885370474,0.008306797402962609,0.92941405237231,0.808489854996267
CID003359-1,0.22463065777660163,0.3910637250557787,0.011388901794771197,0.271230749384655,0.0840723191764365,0.017613646811757006,0.8774400935125658,0.8235490413385661
CID003360-1,0.30539754698326127,0.1799162259554324,0.0057960820749267455,0.17581003892698355,0.293380747191996,0.03969935886739999,0.9091759205143192,0.8150013736050682
CID003361-1,0.23100000016581645,0.2870575876522196,0.046335655051994044,0.18721273301690328,0.21776088629736604,0.030633137815700567,0.9092014806980433,0.771061876567223
CID003362-1,0.2199967665477782,0.3870394618015728,0.06428486642213936,0.2741327192699708,0.02549048861671274,0.029055697341826156,0.868421052631579,0.802325188122023
CID003363-1,0.16700168308912222,0.3261106609577989,0.035314217021237465,0.14103955134445278,0.30766875543894323,0.022865132148445457,0.9092543627710207,0.8095238900021811
