,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13365962057838832,0.031229688773709154,0.014683597784993709,0.4240527025188413,0.38540113148822575,0.010973258855841762,0.9498600387584976,0.7810554273777294
CID003353-1,0.029886719551124395,0.820071289110388,0.03376082793302296,0.027268875950498095,0.0696269098797716,0.019385377575194953,0.914112524545377,0.7563818554680796
CID003354-1,0.2115173506004636,0.4992527484199773,0.022851248019208296,0.1680729139739023,0.09676569914931771,0.0015400398371308128,0.9238816738816739,0.8936993507835419
CID003355-1,0.28239107545581715,0.2547228976466255,0.07584942077699057,0.008955941621847926,0.37576351283102016,0.0023171516676987235,0.8389940368161783,0.7103428898456173
CID003356-1,0.16831798634702494,0.20556015146209475,0.013541351356901727,0.23226926905641954,0.36476254664889785,0.01554869512866111,0.8993509489679782,0.8367153742053265
CID003357-1,0.2833216319573445,0.23835499090221846,0.03377710665767788,0.13676480048114886,0.3067656717917491,0.001015798209861235,0.8684056722753699,0.7303805452400157
CID003358-1,0.001701878024909098,0.43756835888624535,0.016990426791323492,0.14171863812497157,0.3937544776356607,0.008266220536889819,0.9242995997712979,0.7897232435837009
CID003359-1,0.2992123673874188,0.39108623582646884,0.002896949234110285,0.266110100221184,0.013628874215329004,0.0270654731154891,0.8673957621326043,0.8165463975383314
CID003360-1,0.042041151184427666,0.18632990750466671,0.1372959259863788,0.26701676411170994,0.3632396862304827,0.004076564982334143,0.9027741768213637,0.812827999771108
CID003361-1,0.28158125838798836,0.2771836788984969,0.037751760801764477,0.15363086957591257,0.21400779059455968,0.035844641741277966,0.9112861053862008,0.7485193758989036
CID003362-1,0.13575392959726573,0.401332975466756,0.0649876033609088,0.3014935080806726,0.06503002612396376,0.03140195737043309,0.8579759862778731,0.8032449172368841
CID003363-1,0.1919065463567125,0.33198057504827344,0.001231336260479742,0.1456374405996023,0.3007072343135262,0.02853686742140585,0.9035959272816758,0.8153902820378198
CID003364-1,0.19736705546133784,0.25282362013593274,0.007061845560555751,0.12981756395668173,0.40725516813032087,0.005674746755171081,0.8943479388125486,0.7891341029692688
CID003365-1,0.24299094278067299,0.40271343863447945,0.014774564089548428,0.1653614105480308,0.1736363096461514,0.0005233343011169407,0.8458646616541353,0.8497258270800649
CID003366-1,0.17850481889320163,0.0025330129155614316,0.4069790809980282,0.34146891271165386,0.06983480868213657,0.0006793657994183496,0.9317156527682843,0.82789251179289
CID003367-2,0.3082010301258841,0.026641946671574847,0.03214191719259325,0.3111556851902785,0.31811233107772013,0.003747089741949151,0.9451646357272491,0.8226216440643658
CID003368-1,0.2561858952498746,0.23723110366823302,0.03831757719427201,0.1332477302955846,0.31273104484788133,0.02228664874415445,0.9229136546802423,0.7977381981710198
CID003369-1,0.14380153434861773,0.2884266815823653,0.06757588899993075,0.2629460933442516,0.22256775068218915,0.014682051042645465,0.8423205881448215,0.7391501173754409
CID003370-1,0.19629110875952122,0.32119123747645145,0.056678983982700486,0.09515374610552844,0.31666546038485427,0.014019463290944082,0.9326725905673274,0.8214373441721167
CID003371-2,0.21787058210937574,0.21718366530841773,0.001686899159773862,0.16670762112076856,0.3948230096501721,0.0017282226514919877,0.9149008885850991,0.7202373130257228
CID003372-1,0.2643315714711059,0.20147104858533035,0.0929577057185666,0.16754323783100997,0.2658216530554876,0.007874783338499525,0.8914141414141413,0.7551848903824662
CID003373-1,0.00659399869001807,0.3991521294261077,0.03954527081457289,0.24852026725867102,0.29672081849357634,0.00946751531705397,0.7747474747474749,0.6081012639014335
CID003374-1,0.05805052764888891,0.902982832484005,0.0018737019721955979,0.011991949069557833,0.02160080655533014,0.003500182270022501,0.9489405331510594,0.8019216541932688
CID003375-1,0.007894492770831206,0.7487269483070476,0.006379244543326121,0.18942983851202286,0.04627754104598823,0.0012919348207840633,0.9233085572708215,0.8296249743240282
CID003376-1,0.11609029645278413,0.5256955810194734,0.05802154885879105,0.2175574615122039,0.07363750821018986,0.008997603946557558,0.9109411459683691,0.8877115483924164
CID003377-1,0.03466228640563732,0.1542538705960203,0.32125320702612076,0.01712537450245801,0.4217758236079869,0.050929437861776686,0.8679673321234119,0.687977752534779
CID003378-1,0.0535427558601572,0.839936852348366,0.0447256465405853,0.036572318583985304,0.017143379739833202,0.008079046927072932,0.9250927269795194,0.7656353135699778
CID003379-1,0.021495135964446677,0.8345498341961656,0.024727828832883204,0.010371795277195256,0.0748777640512764,0.03397764167803284,0.9494578673269017,0.7355827330214809
CID003380-1,0.054078646307241476,0.42010552691451447,0.11622099251931645,0.07551638069393905,0.33345311118945686,0.0006253423755316447,0.9273410799726589,0.842463485568395
CID003381-1,0.027959188413078435,0.22418540100109322,0.06301510931970485,0.19696114340393753,0.4843958994114117,0.003483258450774352,0.8656987295825771,0.6339702805955597
CID003382-1,0.28141292477356417,0.24142782272587715,0.016456914667791873,0.04930400696981154,0.4110162215786743,0.00038210928428099734,0.8599772370728106,0.7514427413445529
CID003383-1,0.3061273143139029,0.3025612896212044,0.04046030598892695,0.1685636028550229,0.1729635476318016,0.00932393958914128,0.8844957220637801,0.8033231463528941
CID003384-1,0.13802008806844135,0.4508348819915775,0.023099374739331272,0.16084395792070447,0.2184963606113971,0.008705336668548285,0.9129870129870129,0.8158684823989815
CID003385-1,0.04199174394412527,0.6484443031886056,0.023575743506402007,0.21044151420183474,0.07405966487967697,0.001487030279355434,0.9245310245310245,0.8501827985863273
CID003386-1,0.17091990660430903,0.003759354093032328,0.3207707685434573,0.25813356862331105,0.060379806835862464,0.18603659530002783,0.8451811346548188,0.7848529997724936
CID003665-1,0.008318829860993106,0.6570930634295457,0.025972971952090605,0.037753280052642425,0.255511934710125,0.015349919994603216,0.8078817733990147,0.7285239323584741
CID003666-1,0.0018984136290604448,0.7874623647627856,0.004272108856281596,0.19955930961175855,0.004246913607839968,0.0025608895322738216,0.9432818753573471,0.862212373067826
CID003667-1,0.01457649499821784,0.006079451916097551,0.27045994947191415,0.39039040673733616,0.28241272685067376,0.03608097002576053,0.8935701322271195,0.7616683353558836
CID003669-1,0.07523749786587644,0.03945485638718099,0.2011236981386103,0.3082819277401682,0.28740015540587155,0.08850186446229252,0.8745138708841067,0.7207913201277777
CID003670-1,0.2703141456102465,0.00938130916203961,0.032207429449362675,0.3092451009214114,0.3696081069110999,0.009243907945839888,0.8626794258373206,0.7701297265707573
CID003671-1,0.16323113306077025,0.0011300944414683594,0.38805808393130514,0.33755095791620787,0.0890714154856333,0.020958315164615098,0.9188488462535649,0.7931862879587163
CID003672-1,0.29839028902857845,0.08173288542272968,0.007034979217575641,0.3115553731773632,0.2997655332387278,0.0015209399150253025,0.9198211044853513,0.757379336079732
CID003673-1,0.4069999770162692,0.4695161458916006,0.002253308039081556,0.08677219855848742,0.03403799329315598,0.0004203772014052229,0.9193673839771842,0.8027956894301479
CID003674-1,0.24647031952466364,0.2072877206921861,0.12393455649611711,0.15678764436430498,0.2498770194755817,0.01564273944714638,0.915715647974407,0.7762503302675905
CID003675-1,0.5287577021257776,0.3234200410764223,0.023463788488695625,0.12213705201231051,0.0007541940823763465,0.0014672222144176713,0.855886621702382,0.7556721176349421
CID003676-2,0.28636622842798914,0.3931371678079244,0.02112209459399609,0.25801027180686836,0.013902760035377442,0.027461477327844527,0.9254975545233629,0.8544636918183385
CID003677-1,0.2604547675136867,0.25315596259567325,0.014228910181577485,0.06683529070354176,0.40177959847922196,0.0035454705262988853,0.8514872804454151,0.7094364970094912
CID003678-1,0.14171161303660434,0.5203812811666988,0.11960730041797124,0.01835544371252212,0.1731836084711271,0.026760753195076425,0.9309637730690362,0.8170888372277558
CID003679-1,0.31248509205222436,0.26973202592837336,0.00931200052470592,0.056285889499667334,0.34941759761860874,0.0027673943764203127,0.9297425328370605,0.7694579664727649
CID003680-1,0.0918578634238399,0.4911133308964566,0.012573316073435132,0.006933419921685424,0.34886238968152977,0.048659680003053124,0.8274777853725221,0.7115200809464007
CID003681-1,0.2455285229900471,0.5810483192668195,0.005531661189821656,0.11800693993242298,0.04723076439729183,0.0026537922235968527,0.9153465194253899,0.8186817637895913
CID003682-1,0.09381433753329313,0.7651526903454011,0.002150647382572403,0.04795667778953625,0.05133692610106502,0.0395887208481322,0.9179164650862763,0.777768419599509
CID003683-1,0.0014551874023043204,0.7430698461861099,0.0008189951571496192,0.25271103665296124,0.00155979986091677,0.00038513474055814945,0.9056984943777397,0.846152763246739
CID004696-1,0.2165637058830127,0.2154876198871579,0.007627698133799228,0.17204410354088326,0.3337356690317099,0.05454120352343696,0.8923990279614875,0.7095754710315059
CID004697-1,0.284076916214027,0.06301131777735004,0.03360532294971421,0.30998609392687776,0.2959747654732082,0.013345583658822786,0.9121474053339076,0.78836605875402
CID004698-1,0.26412953659740807,0.18592622380298754,0.040983966639431386,0.18055491836687262,0.28629084713712727,0.042114507456173116,0.9025500630594604,0.6777179909849084
CID004699-1,0.32189952736901595,0.2726059239466667,0.02865935474914822,0.23656897332691018,0.1300358416963054,0.01023037891195352,0.9227272727272727,0.7948194597738881
CID004700-1,0.07090562785921765,0.37981678094064986,0.007855342167113026,0.31157599462487284,0.18604465811901086,0.04380159628913577,0.874708322530464,0.8225275563515211
CID004701-1,0.2128803913046726,0.07791965627849605,0.013647398717325208,0.4627796744023723,0.22494022483743167,0.007832654459702184,0.9222412807318467,0.8048738777562204
CID004702-1,0.031141238430731574,0.5067579151134339,0.00040415867496232914,0.4428489979165308,0.0001800193740895339,0.018667670490251823,0.7938672438672439,0.8661090828496605
CID004703-1,0.39607028765393304,0.05242631877268393,0.008434836437527009,0.2887392761267051,0.25431763624947934,1.1644759671652973e-05,0.9405703036082317,0.8155887749202055
CID004704-1,0.19649093945501142,0.06853459961761975,0.007618964461244442,0.47620022475050455,0.226235238963942,0.024920032751677937,0.8191599688877365,0.7573498390753879
CID004705-1,0.257144323442184,0.31576317107090707,0.07448778281369801,0.14962190100337944,0.20170893351124086,0.001273888158590661,0.9375907111756168,0.7567665874263464
CID004706-1,0.2883900660237875,0.30632974129019813,0.015055089584407393,0.16572423172510922,0.2236727755356192,0.0008280958408785575,0.9342335968501031,0.779313270627563
