,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.09747907080034743,0.07083208526939491,0.08518929946427863,0.4593500405631875,0.28512523352337776,0.0020242703794136362,0.947244623655914,0.8196077031128329
CID003353-1,0.05231561179728156,0.7420829063632608,0.001255081108318228,0.03832238988968898,0.11725908757112752,0.04876492327032296,0.9086124401913875,0.7567324916545172
CID003354-1,0.153911904611744,0.5644494261609583,0.006589339065869894,0.1484673023992439,0.12510334267408146,0.0014786850881023952,0.9172998246639393,0.8778852414062847
CID003355-1,0.10690473189588869,0.27166890020019613,0.05364263360901059,0.05957264056823168,0.5079740631142443,0.00023703061242860937,0.8436705195034122,0.7118825589704794
CID003356-1,0.08465245340957699,0.202403271456106,0.001124670335915522,0.22995873576490672,0.48144375427309033,0.0004171147604044258,0.9172427035330261,0.8227595061334178
CID003357-1,0.21770212263971933,0.26388294920005184,0.06403461242651917,0.1790019023995323,0.2633131194814423,0.012065293852735108,0.8663594470046082,0.7302434757762405
CID003358-1,0.05399637655829046,0.4176747536708053,0.015838919921285072,0.14871678702278548,0.35506978003485035,0.008703382791983327,0.9285797779076562,0.8104373978295247
CID003359-1,0.21707890156141604,0.39390006446603026,0.028134349660540434,0.28575682205847835,0.05543782206124167,0.019692040192293203,0.8651507139079853,0.8216812851259268
CID003360-1,0.262533566919085,0.17866637695510226,0.08776393045002188,0.20712145921867384,0.2453591768469173,0.018555489610199646,0.9102591221575886,0.8273903484110309
CID003361-1,0.29832171924087325,0.25203135072640204,0.02219352766995127,0.16740438882429354,0.21931827874495355,0.04073073479352638,0.9093221966205837,0.7699296724019229
CID003362-1,0.2107115617568244,0.4382996729684241,0.011615520107374083,0.3232220988503281,0.011841043158690659,0.00431010315835866,0.8773262788766187,0.8185683157269249
CID003363-1,0.1458444558992766,0.33198266969674983,0.03364040431370375,0.15247918467127902,0.3070661422171835,0.028987143201807383,0.9099462365591398,0.8116435114317481
CID003364-1,0.06054664610450452,0.25831939120371916,0.046634778553998835,0.16671233016818346,0.4637170235712076,0.004069830398386406,0.8926493918561608,0.8096260854282266
CID003365-1,0.23130174056562006,0.3741545014398085,0.006443915263749252,0.13716430878849983,0.2264697353105223,0.024465798631800036,0.853239656518345,0.8393081967137986
CID003366-1,0.18664980513159815,0.0006626269804935258,0.39334800346950466,0.33935987450186006,0.07395528451901204,0.0060244053975315875,0.9371492081133648,0.8479388913138508
CID003367-2,0.30377828507308624,0.025686314598341545,0.022253885958743076,0.28861998608542716,0.3545149442557975,0.005146584028604492,0.9485784795144923,0.8489531700489713
CID003368-1,0.22332252431364974,0.2409527846912204,0.029574903618175333,0.14305985372902053,0.36036787330632286,0.0027220603416111956,0.9188268049155145,0.815699478954052
CID003369-1,0.05063661331356807,0.32099642061536077,0.06268010111414524,0.2498711949146529,0.3059862605575644,0.009829409484708554,0.8521985407066052,0.746739935364885
CID003370-1,0.01115617608293345,0.3531926909717534,0.04977929821459826,0.0034609186253311344,0.5655545357243973,0.01685638038098648,0.9381279746166049,0.8360606155503407
CID003371-2,0.22357539365284032,0.22562104297362137,0.04947840436153003,0.18146193558914042,0.3162996814469462,0.0035635419759216403,0.9095859961100305,0.7557235760580747
CID003372-1,0.32219665780225587,0.1937027852226138,0.011210225889752297,0.1576324715295472,0.2976127225152557,0.017645137040575166,0.9154880187025132,0.766179146020031
CID003373-1,0.03842207028781649,0.4136461453719493,0.11197820503867661,0.23296639880172954,0.18454215077448038,0.01844502972534765,0.7835184102863822,0.6357579219936762
CID003374-1,0.07157014433928748,0.8918017660359575,0.0175624955341784,0.0019349712771394964,0.014404882242546881,0.0027257405708901936,0.9268112109994712,0.7797928077028868
CID003375-1,0.04682208740788483,0.7485667482287217,0.010139994354159751,0.17901250748827321,0.007403953744219921,0.008054708776740565,0.9255990648743424,0.8230052120745764
CID003376-1,0.3014848401367196,0.47939820544172496,0.004258774244578169,0.19282751237333698,0.021265754101430643,0.0007649137022096483,0.9219863513887839,0.8812076116703025
CID003377-1,0.014996569193301683,0.152984981016305,0.3306667665370619,0.025011930099011693,0.4209063703483823,0.0554333828059374,0.8682178741406664,0.7151559658586909
CID003378-1,0.06186198164777646,0.8200140996543046,0.005988280701443441,0.016011111813106344,0.07038626529629367,0.025738260887075454,0.9255590759481989,0.754931788684925
CID003379-1,0.008098272737136756,0.7918124707757451,0.11468892045521328,0.04577710461371472,0.010931221028687125,0.028692010389502972,0.9486647653616801,0.7575443509252343
CID003380-1,0.22600122533367054,0.3678842077309159,0.00047527555140119466,0.07741936510529501,0.32631498873317366,0.0019049375455437317,0.9386567953463777,0.8535191667811252
CID003381-1,0.06771311680541622,0.1946792298259367,0.025652355553800882,0.164438021713775,0.5421324405441759,0.005384835556895348,0.8668874807987711,0.6534768003180088
CID003382-1,0.36194918429486017,0.25670117825982663,0.007141318367507612,0.04365414623865007,0.3295696916521056,0.0009844811870501511,0.868279569892473,0.7804735661758317
CID003383-1,0.15140227870577747,0.32469445981831374,0.07751464028204276,0.2137773680530209,0.20955643246333736,0.023054820677507793,0.8863287250384025,0.8178787457824254
CID003384-1,0.16927879494420592,0.4224572028959268,0.0020396472985972046,0.21083996162636767,0.16677551451839215,0.02860887871651023,0.9178660739094193,0.833032736241982
CID003385-1,0.11546261237656015,0.6789897449710366,0.003300417604448285,0.18661485449066814,0.013872691799297546,0.0017596787579893438,0.925251468824018,0.8318978137384466
CID003386-1,0.21066533013728772,0.0033895580243904723,0.143747229310121,0.21162029148793945,0.23843704838585192,0.19214054265440944,0.8575715476521255,0.797709178181993
CID003665-1,0.007409081222353707,0.7332982602733025,0.025815273188176065,0.010125083940459327,0.21544272962685523,0.007909571748853157,0.8217118682480924,0.7165612280282677
CID003666-1,0.0015939200592142199,0.788974813632965,0.006622016357935685,0.19976781135082633,0.0018979598093088364,0.0011434787897499279,0.9365867913500877,0.8348442314843799
CID003667-1,0.17685338036020662,0.03779404877833884,0.40290088056881235,0.32846196462493404,0.05086880597764192,0.0031209196900663094,0.9116113923094357,0.7959637774742765
CID003669-1,0.036839231021071735,0.00823598683930436,0.41366206705693714,0.3216955630392803,0.2152864033583285,0.004280748685077997,0.8977260708619778,0.789845384936308
CID003670-1,0.16201400664166077,0.04027870537883438,0.14844369882489644,0.324370671705926,0.32476733054458123,0.0001255869041010685,0.8869381279746167,0.7893786272450432
CID003671-1,0.2180122322665538,0.0005534914118926098,0.09143272776085672,0.3005568680812478,0.24219731839851077,0.14724736208093825,0.913379164463247,0.7561234468367308
CID003672-1,0.33838852372962513,0.03953183024096324,0.017945897631375326,0.2631628004612704,0.33939296295083493,0.001577984985931006,0.9250585480093677,0.7670329416613821
CID003673-1,0.4041969908943667,0.4611330757744865,0.02611366380875633,0.10432599049244656,0.003244325282419696,0.0009859537475242297,0.9201228878648234,0.8059533723889152
CID003674-1,0.41830376959499116,0.15939780890762514,0.018068250176047403,0.09859752184003992,0.2742165820470484,0.03141606743424794,0.9146505376344086,0.7806341223459518
CID003675-1,0.4659802954539468,0.3615237828773758,0.02356971840179402,0.09833251784129156,0.04849143740204284,0.0021022480235488653,0.8829401088929218,0.7694723691281103
CID003676-2,0.30872810556412233,0.3934274815106113,0.020720913199776796,0.24042530994120345,0.005231012961933224,0.03146717682235292,0.9278993855606757,0.8328792369053573
CID003677-1,0.2513114660667405,0.26660490377491586,0.02292578753449571,0.07329673120174524,0.3817912774741512,0.0040698339479515126,0.8507584485407065,0.7212808953809543
CID003678-1,0.024187927097260618,0.5946351148154534,0.0806036793273737,0.013272769199468543,0.28410343192107274,0.0031970776393710036,0.9266462906362879,0.8235653418229217
CID003679-1,0.23169033690002322,0.26387740828055045,0.004212833198968328,0.05503906121994582,0.4441274227328024,0.0010529376677097587,0.93394777265745,0.7733504889702592
CID003680-1,0.03745630019002579,0.40621778894502214,0.053610873687601,0.18304400995661127,0.3140837027862318,0.005587324434507927,0.8378106821787414,0.7369526451888995
CID003681-1,0.25661959746959606,0.5801901346932122,0.015662823957293258,0.11801750142427646,0.02796533847529127,0.0015446039803307433,0.9106182795698924,0.8152837715366726
CID003682-1,0.08226004032338204,0.753772744662718,0.0399522112045391,0.014111140992564315,0.07334395225216427,0.036559910564632245,0.9221138761573717,0.7748489737079186
CID003683-1,0.030336278371421888,0.6914439939154718,0.03875274231355049,0.22913265766943777,0.0071000291263293375,0.0032342986037886393,0.9013442431326709,0.8366303684633059
CID004696-1,0.19224938127132468,0.21815056219750736,0.042306111664277585,0.18425446719353777,0.3200868244338617,0.04295265323949087,0.9007776497695851,0.7458881594579617
CID004697-1,0.3350245528863543,0.06634421656010599,0.010270259884213262,0.3104310574545872,0.2540419026407531,0.023888010573986103,0.9178667434715821,0.8142613262575829
CID004698-1,0.26704988277771674,0.1806657181352056,0.09532081393248397,0.20237259219623005,0.23460468766752934,0.01998630529083428,0.9044258832565283,0.7192408384443326
CID004699-1,0.36057599824416814,0.26040785516536996,0.002984661898147158,0.22237548900206333,0.14896662200818095,0.004689373682070434,0.9303695470964157,0.8200571850471721
