,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11300146902903084,0.07654458396704897,0.021054073631807318,0.44100638717303525,0.3193411546356038,0.029052331563473855,0.9457581022890383,0.8067302973726006
CID003353-1,0.09050718270518439,0.7718022177103028,0.016244798614354482,0.02999384018994432,0.06304361842391958,0.02840834235629443,0.9088744588744588,0.7554346752768145
CID003354-1,0.16721160089572523,0.5563944485663357,0.02223839717569678,0.2348057516471556,0.017499922242638404,0.0018498794724482635,0.9200221477129411,0.8844952199657057
CID003355-1,0.2418590929300041,0.2619644777298456,0.053413025683601345,0.02638423548019499,0.41153061938333235,0.004848548793021629,0.8354838709677419,0.7066358721768135
CID003356-1,0.015043312433034925,0.20435698226627366,0.04523533584931671,0.24050497371408497,0.4928654925056748,0.0019939032316149464,0.9130215809221626,0.8226969122859322
CID003357-1,0.24661964954640458,0.28363685716037673,0.0034866132639626186,0.1665854684334875,0.2817811321415971,0.017890279454171418,0.8630102490493817,0.7311080478438411
CID003358-1,0.011933017900990064,0.41045946225506685,0.006761750499789505,0.17537743915676904,0.38156394468771154,0.013904385499672994,0.9307268756344398,0.8093819793149436
CID003359-1,0.2500180679334079,0.3908313095043498,0.03868488292066449,0.2740373766811231,0.024759353649049912,0.021669009311404783,0.8691303139761045,0.8178420515477425
CID003360-1,0.32931142421061266,0.1678238414474238,0.05660060796265326,0.19625560243535123,0.2197243711925502,0.03028415275140887,0.9105862739649903,0.8229017264794701
CID003361-1,0.2500841770110611,0.289650285607859,0.056368334926713656,0.1700789307088885,0.2013749929180654,0.03244327882741224,0.9114099367933318,0.7714337074925915
CID003362-1,0.2107344624691196,0.3968135175893246,0.07904413280037333,0.28338581775707283,0.0026038275146135414,0.027418241869496082,0.8948016593207155,0.8046625496994615
CID003363-1,0.14133481655856014,0.3405246507214094,0.1075328759551629,0.17531373866446187,0.22198796183037872,0.013305956270026939,0.9127193976480069,0.8169372036690835
CID003364-1,0.02470339230056195,0.24412354957826585,0.02140207723548956,0.15570154677986062,0.548668795353425,0.00540063875239696,0.8931369824951375,0.8066808082047018
CID003365-1,0.17609301429751245,0.38455785403641884,0.007584698455088907,0.1678865559542292,0.21700077984600866,0.046877097410741954,0.8595452141723955,0.8359846035623
CID003366-1,0.001851453732360412,0.00010280031317146778,0.4040145193831573,0.37336308379779676,0.21936249644138373,0.0013056463321303492,0.9345412039742841,0.8478302562418939
