,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.09910805426891309,0.0837509118956791,0.017324848960604714,0.44470039466062117,0.3292165872106015,0.025899203003580375,0.9500876680303916,0.7964638578944432
CID003353-1,0.15135152544350222,0.8038467252276132,0.007799980557736591,0.004794274990182616,0.014313660449735314,0.017893833331229982,0.9138042251249798,0.7631953745720004
CID003354-1,0.12042621821254028,0.5206998354568094,0.0567712694410853,0.19743699688641353,0.09423614957508707,0.010429530428064424,0.9214627477785373,0.8904160372790028
CID003355-1,0.1451691382443258,0.2703860010447411,0.03421505102730327,0.05931980142302583,0.4830185982874275,0.007891409973176498,0.8401673382755545,0.7190755244976239
CID003356-1,0.0008484106932135869,0.19672696884928476,0.011836639040091279,0.260406452475586,0.5290168020594211,0.0011647268824032677,0.9112799532437171,0.8160972161202702
CID003357-1,0.2944032418537495,0.22326097378043291,0.013218924319349555,0.11804989470077726,0.33855431422437526,0.01251265112131565,0.8691408533021625,0.7329643696611109
CID003358-1,0.05006879082015197,0.4184582680974138,0.0007464597193667153,0.1500123539441571,0.3701190709065646,0.010595056512345748,0.9315295815295815,0.8155776712105047
CID003359-1,0.13243959954031115,0.36942056811371227,0.030665443122293627,0.2979911459495705,0.11444783746003605,0.055035405814076434,0.8634301270417422,0.8079701484015147
CID003360-1,0.047591943760837474,0.18176778220220005,0.012084086187043165,0.23749844357767008,0.47737623022299913,0.04368151404925012,0.9062094892403422,0.8096315202667675
CID003361-1,0.24914188183199718,0.2888297235539816,0.01757417962072758,0.17611624556104,0.23014035093030064,0.03819761850195289,0.9134424313267094,0.7676149675294465
CID003362-1,0.21382751081202708,0.38149181696754497,0.03570887217389328,0.27204576072216474,0.058543381011391185,0.03838265831297875,0.890981240981241,0.811479291823086
CID003363-1,0.23884456459104295,0.30877137359641327,0.0032726890993672107,0.11687239302507546,0.3018885794556078,0.030350400232493267,0.9182933956750439,0.8058534430370053
CID003364-1,0.03531537727245083,0.22793999161510015,0.015471896194438435,0.14890596892874783,0.5689162967762811,0.0034504692129816994,0.8934448921837029,0.7987761433598346
CID003365-1,0.017189236020874167,0.4060949026314034,0.0877708135540518,0.2348258954632289,0.23289625355619198,0.02122289877424955,0.8484112092036051,0.8575254008058673
CID003366-1,0.038369329031171025,0.0007241982456411569,0.4029783828825119,0.37537136547543903,0.17704205881008128,0.005514665555155668,0.9360254083484573,0.8418163094020494
CID003367-2,0.18198508927992768,0.05000070761279359,0.04785613793900397,0.31955110888942495,0.39743342291356737,0.0031735333652824055,0.947214617490541,0.8361141904049646
CID003368-1,0.23212475805001329,0.2364009867348144,0.022655903995505863,0.13538740463304294,0.37153455997735985,0.0018963866092636757,0.914260666277031,0.8033615311484303
CID003369-1,0.19168348620672457,0.27760044154330565,0.0034934641760235126,0.24557346605370908,0.2545488027812651,0.027100339238972083,0.8544126241963764,0.7591337885792546
