,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.07144952101318766,0.09054777379902916,0.11147575214375817,0.4504055255735628,0.26930884019414186,0.006812587276320392,0.9510812390414961,0.803275553023144
CID003353-1,0.031868335085138595,0.801661772070502,0.09947099129862967,0.011213664287164589,0.018963759405000568,0.036821477853564565,0.9071117561683599,0.7450233188493939
CID003354-1,0.10608774677937938,0.6395982403529782,0.016223542581708703,0.20949810304896324,0.007354104703583235,0.021238262533387203,0.9099794941900206,0.8725397025885768
CID003355-1,0.030662118369076122,0.20365989882844177,0.007606723242413601,0.009817381991128258,0.7450184850368927,0.003235392532047559,0.8445353594389247,0.714681164100055
CID003356-1,0.022414606510903975,0.19882350074234179,0.009483872151241144,0.25387451690343793,0.5118329135583273,0.003570590133747919,0.9135593220338984,0.8409243504689706
CID003357-1,0.18134256132369245,0.2857998485462878,0.03057660314896997,0.18419561786809338,0.28580707098227826,0.03227829813067816,0.8661601402688486,0.7285145509952288
CID003358-1,0.043453692525430306,0.42017942772932854,0.04910005988575696,0.15754121213928418,0.3288309035389475,0.0008947041812526075,0.9196969696969697,0.7865053779391674
CID003359-1,0.3000285114988324,0.385872651075137,0.005074998345628792,0.26113450528124393,0.0007079233821824724,0.0471814104169753,0.8249287010630023,0.7962041510831921
CID003360-1,0.35821050158149237,0.1578390152624563,0.031072904798824474,0.18146519593158295,0.23743470069955966,0.03397768172608426,0.9183610692423637,0.8038489714840399
CID003361-1,0.3442370298868504,0.24410885621008027,0.004238536863611173,0.15496918792024672,0.21213335210309167,0.04031303701611977,0.9203389830508474,0.7482848382109749
CID003362-1,0.22781368795868534,0.42996600547694025,0.010320960948089744,0.3139358996136766,0.017577539138026683,0.00038590686458139794,0.8768398268398269,0.8214201851914926
CID003363-1,0.2457481253751357,0.30996147010966785,0.03936484276628377,0.10557726395115272,0.2885096780371605,0.010838619760599471,0.9212156633547632,0.8244078996088077
CID003364-1,0.08569473495162133,0.29660422752786286,0.061971735885662085,0.19552318447671008,0.3565300357114672,0.0036760814466764396,0.8920914208373066,0.7969364292088147
CID003365-1,0.19458739984566434,0.38676041212095164,0.014571096534816726,0.17883439281436805,0.19733604673217023,0.02791065195202904,0.8325386815958657,0.8370457909098488
CID003366-1,0.20436267780293627,0.009561959086324257,0.24670101958641127,0.3104030325451782,0.1956201588104777,0.03335115216867236,0.9296733212341197,0.8258871574250182
CID003367-2,0.15217556966335835,0.06620854558496393,0.1231789000223988,0.33357031523627245,0.32472350432838387,0.0001431651646226198,0.9434618105755328,0.824516913288724
CID003368-1,0.10189183604844079,0.23911809117415522,0.013473646331132858,0.16108592144283304,0.47598585862394993,0.008444646379488129,0.9060783167738163,0.7957638835908308
CID003369-1,0.0855705630729823,0.3037267543472317,0.1198501742580622,0.26596144477651235,0.22323176624505742,0.001659297300154091,0.8408533021624781,0.7401202605654544
CID003370-1,0.03681770517339609,0.33247307305033597,0.11248413619757715,0.03430336583231774,0.48241231494119013,0.0015094048051828765,0.9252009333679025,0.8211456896142779
