,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.1305644577548628,0.014964334772224842,0.005984409641589963,0.44344559578404213,0.4014192313972484,0.0036219706500318564,0.9480606758832565,0.8020013072182139
CID003353-1,0.030705845438550892,0.8279029821878459,0.0694705014160742,0.0173704759057456,0.049238813903429476,0.005311381148353938,0.9078605604921394,0.7564110539695034
CID003354-1,0.21217061534149317,0.5024924957065476,0.0017379242440212091,0.15895761557952848,0.118860163526626,0.00578118560178352,0.9227352425482174,0.8796618351479004
CID003355-1,0.2222338264866361,0.2561925705681611,0.02458835202226143,0.0379381915050707,0.41023694270661226,0.04881011671125845,0.8365188486817254,0.7063433477740874
CID003356-1,0.05431382187754302,0.2032803074152212,0.015080926707407528,0.24110697740887505,0.4847276663046863,0.0014903002862668934,0.9161386328725039,0.8210372783275668
CID003357-1,0.17228794847934903,0.2557603768171079,0.0912469161661945,0.21145507559450546,0.2662055517280669,0.0030441312147761997,0.8650153609831028,0.7280651704071375
CID003358-1,0.019426597022453498,0.4279510137373143,0.019161029407274172,0.14985535451529575,0.377858776425866,0.005747228891796251,0.9318527177089422,0.8102170617076988
CID003359-1,0.056767453411166804,0.39604177651603195,0.042556108565121153,0.3247283137129669,0.17267920016379468,0.007227147630918551,0.8785298783712322,0.8314144026040469
CID003360-1,0.2806659988861596,0.16327043130483151,0.021701214461241455,0.19238715915663668,0.3024405361853204,0.03953466000581032,0.9148069804336331,0.8184291703186706
CID003361-1,0.29705286631956357,0.25984487019887553,0.07922476857457267,0.19753519757222357,0.11036668972736462,0.05597560760740002,0.9120103686635944,0.7674622022913555
CID003362-1,0.2054022536866645,0.3920969349055579,0.04003815169381783,0.285212216702036,0.05471677215532221,0.022533670856601563,0.8760343289550586,0.8065314328830855
CID003363-1,0.1340733710125745,0.3258345825167867,0.03462473463116708,0.14596186623319105,0.3347249452187033,0.024780500387577398,0.909898233486943,0.809363862429471
CID003364-1,0.08925228922829553,0.24244728977749896,0.005931801501279013,0.14638746903012592,0.5107822640163336,0.005198886446466839,0.9029085140137494,0.8070635711348111
CID003365-1,0.21301193054712933,0.3939647938004261,0.005451004922740496,0.17059319818434482,0.1908601894169064,0.026118883128452747,0.8662839011860693,0.844685077548983
CID003366-1,0.23523556230021944,0.009262226821776182,0.38758924134033335,0.2935464010735381,0.06926518365918188,0.0051013848049509735,0.9330925257015837,0.8443018958258934
CID003367-2,0.3174769815175484,0.011684591485731713,0.003196903925192097,0.27111928123816964,0.3916068578347705,0.004915383998587707,0.9490821183047519,0.8467312931627018
CID003368-1,0.23247071137833378,0.23972799718699297,0.026769126315315396,0.14065046117210672,0.3572201198484318,0.0031615840988193093,0.9289554531490015,0.8176190831002698
CID003369-1,0.24543160773653513,0.2854099537159548,0.0649477579850285,0.2534369262590826,0.1479482420877392,0.002825512215659719,0.8504704301075269,0.7438231993215255
CID003370-1,0.3775895614053759,0.2737440740836547,0.002670772024366078,0.013058621073605049,0.3322435428729457,0.0006934285400525445,0.9437334743521946,0.8358661037922994
CID003371-2,0.2010717888187377,0.22066918186490309,0.1302073574033448,0.17912874433482456,0.2615955327400572,0.007327394838132649,0.9111419838844123,0.7490830281887769
CID003372-1,0.3566150526145869,0.18324277810661557,0.043233397127815536,0.1412008370294637,0.2745850781919657,0.0011228569295525313,0.9120981881940385,0.771414986766499
CID003373-1,0.14954920761766965,0.36093105446611323,0.10454012031138037,0.19204982986257157,0.18148043481919895,0.01144935292306623,0.7892460549386323,0.6257161417063593
CID003374-1,0.06026220197623579,0.9005412632779888,0.010030106018242384,0.018407314104961194,0.007981320007996838,0.0027777946145749913,0.9235854045478583,0.781817513608766
CID003375-1,0.03814170704415852,0.6847874129067058,0.037860206529542556,0.2163894943144307,0.02195495677314295,0.0008662224320195535,0.9225599064874344,0.8440549980459968
CID003376-1,0.22700469636585377,0.4836530013002167,0.0071577982916830405,0.20167773587443621,0.07921356524832678,0.0012932029194834898,0.9188637908891742,0.8832996023541475
CID003377-1,0.10918016571147193,0.1816407801751288,0.25823425174381603,0.02437891686115959,0.33373242550573223,0.09283346000269145,0.8744050766790059,0.7067476586670371
CID003378-1,0.05093951798114731,0.8357431108282847,0.04727097057408965,0.02256763524744906,0.04116037092700231,0.002318394442026985,0.9207604048109754,0.7661679171202845
CID003379-1,0.033126652411829736,0.8113748028330035,0.001370886997597781,0.00903520644732302,0.11833419821339261,0.02675825309685341,0.9484054964998704,0.7497237320755546
CID003380-1,0.03075546953453221,0.39853123937564816,0.02956357406755712,0.14433014320500184,0.39577126817037855,0.001048305646882096,0.940190375462718,0.8581486959358477
CID003381-1,0.0014618019984003426,0.23707659906402018,0.04223403352722944,0.2145437988771572,0.5035268281753978,0.0011569383577949583,0.860695084485407,0.6495096654042329
CID003382-1,0.34539436853536776,0.23834391980426572,0.1294774470548776,0.053165442946036305,0.21744132068850258,0.01617750097095004,0.8720238095238094,0.7751666287423363
CID003383-1,0.16286878207394578,0.3260154998165479,0.013920828386579306,0.21565789818286799,0.24866177151572613,0.032875220024332956,0.9014882526252171,0.8145517169418348
CID003384-1,0.011790611436123132,0.42852923551892064,0.02924094206798663,0.23927597689763255,0.26886446690015864,0.022298767179178395,0.9209224784662405,0.8377270495113414
CID003385-1,0.0845970627000132,0.6360022376564088,0.038623446181533384,0.20031554910180369,0.04006692983763751,0.0003947745226033835,0.9259282044972161,0.8386676011335938
CID003386-1,0.21325790077435477,0.011454929570430405,0.18224950407895726,0.21760822664486862,0.18164357090716785,0.19378586802422107,0.8486801889413725,0.7919912792436326
CID003665-1,0.0017331862515922402,0.6609846575744809,0.062400213991597564,0.000505126097703167,0.27321214165058516,0.001164674434040935,0.8057968824758883,0.712748491693302
CID003666-1,0.00352705535257342,0.7877466956356697,0.0008690798202879344,0.20468525978524638,0.0017601405400846002,0.001411768866138005,0.9346580946814729,0.8360708062860622
CID003667-1,0.17089116032617374,0.010649076024609481,0.350546253142515,0.3034193218745797,0.1641482981387946,0.0003458904933274242,0.909949384301579,0.7931489890344633
CID003669-1,0.069889004571546,0.05095007501622253,0.14834876948195114,0.2974953574962044,0.3082708757434532,0.1250459176906227,0.8952934955050239,0.730975672718493
CID003670-1,0.286193345771916,0.039062429151032134,0.10395976588941867,0.3028644288968408,0.2616227573940875,0.006297272896704873,0.880962453728186,0.7825769035738995
CID003671-1,0.17710919792803576,0.01603093713732743,0.42711275960596673,0.34958081655727224,0.019762357964698725,0.010403930806699121,0.9141195134849285,0.8128568948045398
CID003672-1,0.3407109552724039,0.04366085413036457,0.0017396857932206178,0.27024189167548546,0.33268308857877793,0.010963524549747543,0.9220367152678101,0.7620947585761687
CID003673-1,0.3627087116153138,0.461028564065215,0.03667948399767705,0.12567121214576787,0.010824866903556775,0.0030871612724695037,0.9190148825262522,0.8069307169265414
CID003674-1,0.24162528688859397,0.2060075789469272,0.1417912408482564,0.16243559459193382,0.24091746774996087,0.007222830974327586,0.9154665898617511,0.7956286068307723
CID003675-1,0.3438437362462252,0.3231244583703351,0.007556622360913121,0.20237311570733732,0.11848117315356715,0.004620894161622074,0.8732175265750584,0.7773784867786958
CID003676-2,0.35038805643994886,0.37472547356320157,0.027045670972051232,0.21634135289718695,0.013172465988723491,0.018326980138887877,0.9261712749615975,0.8321451531439253
CID003677-1,0.23209582501820752,0.2712758217462509,0.04497247773166942,0.090899867064889,0.35687793222451536,0.0038780762144677633,0.8434139784946237,0.7086779284329133
CID003678-1,0.08537856413628922,0.5537582238049881,0.005511023793917563,0.006221606065366393,0.34181860869187203,0.0073119735075667285,0.9315365379272019,0.8239112998564921
CID003679-1,0.3444484713856161,0.256920483163305,0.01730869134633195,0.014680184310721047,0.36522921159574967,0.0014129581982763352,0.9303475422427036,0.7671588272039128
CID003680-1,0.019116387711133956,0.42509275212544895,0.0012024758902010007,0.13933064980562765,0.41110355501669965,0.0041541794508887795,0.8292966684294024,0.7265983680550006
CID003681-1,0.3135054362215489,0.6460175142957701,0.016672775544067365,0.0005568968583426056,0.016277892877583966,0.006969484202686954,0.9129224270353301,0.7955600143172814
CID003682-1,0.12161362371830471,0.794626630568305,0.04220452997753073,0.0055805745898039934,0.0330239448356075,0.002950696310448161,0.9219293118828633,0.7850913393279061
