,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.12715825404894288,0.06652257457717929,0.1526505403884379,0.4513288522967179,0.2019853536946543,0.0003544249940678571,0.9458776250972256,0.80253961781795
CID003353-1,0.04315365913676183,0.832812854805766,0.02599584997847712,0.02152459064732352,0.059106273793770196,0.01740677163790142,0.9100452488687784,0.7529987432209707
CID003354-1,0.2410936400948341,0.5175955173043031,0.018936482233353563,0.14802105689995904,0.05758626502258114,0.01676703844496908,0.9196493234229084,0.8831463077017975
CID003355-1,0.24486112997384266,0.27060676239413156,0.06897245278086925,0.03053183371861913,0.38496143321647625,6.638791606117792e-05,0.8470950102529049,0.7121941604360229
CID003356-1,0.0595074239978243,0.1881067608408631,0.0012220439823607263,0.24502540025222322,0.5036406969230169,0.0024976740037116318,0.902968628467721,0.834689878101741
CID003357-1,0.22575583937394422,0.25774860551762413,0.024490990013058,0.16540127780689962,0.31217706418570795,0.01442622310276608,0.8634301270417422,0.7290356790164697
CID003358-1,0.01857345240629434,0.42045671497130643,0.03371764594138944,0.18460294366884725,0.32254326922513576,0.02010597378702693,0.9196903725205613,0.7788915925852583
CID003359-1,0.1620818232480551,0.3849557804148265,0.010701831896047311,0.30849531759185705,0.12236877902097049,0.011396467828243618,0.8655122655122655,0.8315122264223764
CID003360-1,0.2448431573049319,0.18119359574892216,0.12479614536385587,0.213601469635914,0.2219743761409109,0.013591255805465198,0.9031442241968558,0.8082254496461594
CID003361-1,0.28536848039196605,0.2681757538545293,0.01809180365440794,0.18716325333653874,0.1944580384407309,0.04674267032182709,0.9095799844438682,0.7482931515938114
CID003362-1,0.10939236450805014,0.39288903537925035,0.04450229433110658,0.3059830957309651,0.1292988964738209,0.01793431357680694,0.8544589582325431,0.8113063831548024
CID003363-1,0.026687893226246047,0.3582581353973159,0.12048301316159525,0.1889610551047688,0.29948609565004347,0.0061238074600305495,0.8997277676950997,0.8229868351975983
CID003364-1,0.04516225143128624,0.3087156563402053,0.0785087435184696,0.21775998004832792,0.3494094502713585,0.000443918390352503,0.8913192071086808,0.7988371631467698
CID003365-1,0.19133822813180915,0.3898217519208901,0.01818946761324058,0.1894566658977967,0.18757539133622275,0.023618495100040757,0.8619275461380724,0.8463683629480119
CID003366-1,0.2519989895873094,0.0008552166529566425,0.32656869539863,0.2984648918043513,0.10580271321469727,0.016309493342055326,0.9277777777777778,0.8251559325581156
CID003367-2,0.2848432440908886,0.04749077354380752,0.06143870916482589,0.3004192268166666,0.30334154159877297,0.0024665047850383703,0.943814080656186,0.8235427895399076
CID003368-1,0.3245715267665432,0.23273064954714037,0.0033973384332636647,0.09241543031879705,0.32784148921556544,0.019043565718690248,0.921765620948924,0.7934505612550012
CID003369-1,0.25344364428520966,0.28050478031420767,0.06546062482682288,0.24763777239146975,0.1434943070485124,0.009458871133777618,0.8434664246823956,0.7395783666783351
CID003370-1,0.2567175253702214,0.27048644560261526,0.029684898776660668,0.024674694243326988,0.4183931804675962,4.325553957943147e-05,0.9385281385281385,0.8187248562013999
CID003371-2,0.16394185439347164,0.22589397803825745,0.033489529067266335,0.18519531035495806,0.3776822336887928,0.013797094457253746,0.9114718614718614,0.7173024303872108
CID003372-1,0.3618953498956832,0.19280734202269986,0.002407547697833665,0.15645644664072134,0.2525930762080111,0.033840237535050915,0.8911377930245855,0.7400419244089017
CID003373-1,0.15833867432038132,0.3574175508203156,0.07603863033346242,0.19351153807604574,0.20657379207075863,0.008119814379036363,0.781513245664189,0.6007251652796614
CID003374-1,0.10061774320423386,0.787175218560408,0.0338539530637642,0.05229774802603687,0.013044268405309038,0.013011068740248094,0.943001443001443,0.8178604412733365
CID003375-1,0.07887102556229865,0.6502950114124185,0.040481566883163934,0.21653544615832176,0.00013242635917771036,0.013684523624619407,0.9160619254958878,0.8486307787904461
CID003376-1,0.19546793585608216,0.4986166319202894,0.030472113887024924,0.20503295552542097,0.06995340971591739,0.00045695309526517207,0.9079289131920711,0.8926311520633562
CID003377-1,0.036704912751889834,0.13740925760763353,0.26216656885760514,0.0071636223732122915,0.49440396375271367,0.062151674656945516,0.8704716336295283,0.6781575936459344
CID003378-1,0.10448044712290407,0.8140911046930639,0.0025833389033220774,0.02750160222574888,0.02097125430004882,0.030372252754912264,0.9196619141125246,0.7535519167211485
CID003379-1,0.015395449905228287,0.7970215336097354,0.04525622723697526,0.05262057596229551,0.05628457274561814,0.033421640540147395,0.9476923076923077,0.7488400295807972
