,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13235985927142735,0.02914692990087802,0.0036438776019415346,0.4357899427819906,0.39674107868262676,0.0023183117611357295,0.9523085914669783,0.7855003364749168
CID003353-1,0.005549868217331105,0.7404657259085554,0.05904964419821805,0.08089575869778037,0.08662587732250006,0.027413125655614972,0.9075149169488792,0.7631798949273404
CID003354-1,0.16576860396344525,0.5688937673353915,0.06610795442801512,0.1604726062918456,0.037522083147117746,0.001234984834184691,0.9150375939849623,0.8856444997022112
CID003355-1,0.08633030867124754,0.26446284156114236,0.06839881154593619,0.05525928462577453,0.5163555388828244,0.009193214713074946,0.8424436309944938,0.7149612089744519
CID003356-1,0.019276445308189945,0.19759132738327748,0.0016165406368574197,0.24807201868105236,0.5320639003084475,0.0013797676821753065,0.9092928112215078,0.8381974909539531
CID003357-1,0.23090025048578153,0.2567637888031271,0.03760766617104445,0.16483734877609463,0.2946573500361839,0.015233595727768447,0.8666861484511981,0.7297996690058869
CID003358-1,0.13668903485452177,0.4206523154692928,0.018597698741271894,0.13122535691844137,0.28925028677670805,0.003585307239764125,0.91998556998557,0.7880794028372345
CID003359-1,0.270870179279766,0.39022900871614613,0.014323414793311548,0.2659106756992958,0.017998937883581725,0.040667783627898864,0.8496888773658283,0.8042352720176299
CID003360-1,0.23259902003082805,0.1823942280065194,0.11818873611523817,0.21683151629563246,0.23824773614507197,0.01173876340670991,0.9056876557261065,0.8110709914066497
CID003361-1,0.26629054917380063,0.2767887875920497,0.021398954652110794,0.17772852008430015,0.20811869778206582,0.049674490715672905,0.9114552893045004,0.746601787845981
CID003362-1,0.1579233077907249,0.387297616090699,0.019127025451366186,0.3111216511256404,0.11619928494864266,0.00833111459292687,0.8620490620490621,0.8167034048930677
CID003363-1,0.2390333450231594,0.3032664879371927,0.0032400643640587336,0.10313242476614676,0.32849741329446835,0.02283026461497403,0.9082407948568089,0.8159571376626445
CID003364-1,0.06895820917917486,0.3025010609182855,0.05922701412792818,0.2031755500075767,0.36326472813064253,0.0028734376363922696,0.885754714079178,0.7977526546051058
CID003365-1,0.19376604341053447,0.3880837496769259,0.01509212950414011,0.18738317343409036,0.19650560087073585,0.019169303103573305,0.8327232458703744,0.8410136074370651
CID003366-1,0.1871816261297385,0.000650236388906433,0.39456089608589145,0.34022294974233785,0.07173099890446552,0.005653292748660266,0.9339512574539797,0.8320160992967227
CID003367-2,0.3258463218732815,0.03178497641520342,0.008663095620833351,0.2850389441315364,0.3373269814759044,0.011339680483240909,0.9477683103140669,0.8192402497885778
CID003368-1,0.23882691264698502,0.2318359230067785,0.017143308693180752,0.13120939799683418,0.3786314617801472,0.0023529958760743295,0.9126826417299824,0.7973127328380928
CID003369-1,0.1410439935062594,0.28820478691100315,0.06673824967657269,0.26256833967159077,0.22784639073824625,0.013598239496327748,0.8413793103448276,0.7398326776135903
CID003370-1,0.23041120796937156,0.28591760870769645,0.016037176294442373,0.05507445528641425,0.3916564239596512,0.02090312778242416,0.9280528908478092,0.8124010752038416
CID003371-2,0.04485108708011524,0.24558919456194123,0.08873105189005258,0.21717655855156717,0.40344905741414094,0.00020305050218293532,0.9056909515167227,0.7168879679352639
CID003372-1,0.42417321694318066,0.182566868415906,0.015947188295102607,0.1354491904253574,0.24081291539985966,0.0010506205205936437,0.9000683526999317,0.7510483957926201
