,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13083579400708858,0.03198815644317547,0.0022894311339284497,0.418270799568748,0.39108611319125236,0.025529705655807144,0.9485351309307752,0.7725262692345631
CID003353-1,0.008624664952990935,0.7442727231142708,0.01585640131413092,0.03041671933777771,0.15956656425073232,0.04126292703009724,0.9120361990950226,0.7614597104767182
CID003354-1,0.32371169570277475,0.44566655929442034,0.021603340473858066,0.19391443597369257,0.01507714907816358,2.6819477090708196e-05,0.9261292166952545,0.8910050549014608
CID003355-1,0.008305503308951514,0.27309870931340224,0.03996382015910844,0.08653196872128688,0.5788503317469187,0.013249666750332276,0.8425153793574847,0.7067481790723399
CID003356-1,0.012137668928753205,0.20666152741391608,0.004357462385082633,0.24670349403366368,0.5273007094552105,0.002839137783374003,0.9029038112522686,0.8366007527525753
CID003357-1,0.24560631028663532,0.23954596437306197,0.059929501277904106,0.14106586453043127,0.3112087896047475,0.002643569927219803,0.8819678506611355,0.728848641026307
CID003358-1,0.023642431448206474,0.4262277642268316,0.022643600264516398,0.150434543026095,0.3714462008680539,0.005605460166296639,0.9250927269795194,0.788739479434587
CID003359-1,0.1693887451065799,0.39034390988874323,0.007806152594527151,0.29881733159192736,0.11329636132995606,0.020347499488266307,0.8711399711399711,0.8259346241752996
CID003360-1,0.24937454555645203,0.17759875571288994,0.07261718065182204,0.21297267378010165,0.2586273277263024,0.028809516572432015,0.9062884483937116,0.8028283256801224
CID003361-1,0.32522785681120914,0.2956674010713874,0.10436279284969069,0.16641379771853793,0.10807800662227778,0.00025014492689713624,0.9102281565983925,0.7559351437329714
CID003362-1,0.2829551511935598,0.3896762601255292,0.026023379276909567,0.26659332938344277,0.006174564853306619,0.028577315167251906,0.860587002096436,0.7978496372132112
CID003363-1,0.21087449942286185,0.32844250313146545,0.03248603252512342,0.13542104569174876,0.2668421954201724,0.02593372380862811,0.9044594244231267,0.8154531238940941
