,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.12142271294806031,0.04860761293595628,0.021812845331139946,0.42036488687830315,0.3747937108360228,0.012998231070517497,0.9472926267281105,0.8055178681496469
CID003353-1,0.02254725632601404,0.8197052864015347,0.007787333661149846,0.017299791354558107,0.10605339164581767,0.0266069406109256,0.9077922077922077,0.7562221959081769
CID003354-1,0.3005431141237024,0.5150340496298255,0.02996299701612367,0.11292743916040208,0.04143091843957385,0.00010148163037251825,0.9234365867913501,0.8733152835723644
CID003355-1,0.26425300146396236,0.2705036304985846,0.1390817068218598,0.02308430515541401,0.3026856728817959,0.00039168317838333077,0.8350582961899726,0.7062400130002335
CID003356-1,0.03317296131446766,0.19454257658546423,0.029096881587683355,0.2524394659810407,0.48287811760651655,0.007869996924827519,0.9153225806451613,0.8197053667756057
CID003357-1,0.1999605165313498,0.2743418607798478,0.06320878235912765,0.1927778383876973,0.26212152437217795,0.007589477569799533,0.8642953149001535,0.7283949578887371
CID003358-1,0.041427107548230216,0.41886727118647615,0.05246343289235567,0.1563830039460338,0.3258276614897872,0.00503152293711705,0.9309760374050262,0.8073275675495983
CID003359-1,0.1429910488373869,0.3868371144398146,0.03012374461990286,0.3117320855003863,0.119861128917981,0.008454877684528352,0.8804336329984135,0.829478839912715
CID003360-1,0.2800833350513934,0.16603603285906085,0.02836495889344025,0.1964509185874422,0.29148007725107133,0.03758467735759195,0.9148069804336331,0.8195298881389087
CID003361-1,0.3006931076586928,0.27754207175908197,0.009380407407457181,0.1542238214584225,0.21276844917023544,0.04539214254611012,0.9139784946236559,0.7646957363019695
CID003362-1,0.21506966574640293,0.39150034661716193,0.04432393920751429,0.2829594980056527,0.04208987190820836,0.024056678515059812,0.8760343289550586,0.8052710878152021
CID003363-1,0.25619567154146905,0.32405508618742895,0.038061065109439546,0.11424125528539816,0.2606842021479048,0.006762719728359553,0.906874039938556,0.811654003401238
CID003364-1,0.0003598069800213235,0.2276378462131014,0.0036800311340846057,0.15452373238607642,0.6122033949028295,0.0015951883838868116,0.9048122686409307,0.8052387901163363
CID003365-1,0.3026082070542828,0.4049370141071972,0.004429978221963887,0.1477809343090603,0.1286385676022669,0.011605298705228773,0.8652262597265241,0.8461674355136987
