,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11974437586603905,0.07656577747970196,0.00207746121679255,0.4433784957929066,0.32986248102948185,0.02837140861507809,0.9471708090957166,0.8034590387365611
CID003353-1,0.06574733548060013,0.8439239742847064,0.0705021736600966,0.004935273918844189,0.014696208835683055,0.00019503382006951203,0.9079855155326854,0.7579973980656123
CID003354-1,0.26729431468238146,0.5733194476755326,0.006437414975585883,0.1492441857060736,0.003401251959533999,0.0003033850008924779,0.9236453201970443,0.8780321534871448
CID003355-1,0.04063437990892789,0.2996526404409597,0.04396061677604743,0.10746347407156466,0.5080566688819209,0.00023221992057940053,0.8406223951097527,0.7038113743540598
CID003356-1,0.03931104833791335,0.2129261477537346,0.0006177919107515247,0.27432879497924856,0.47010336006522147,0.002712856953130452,0.9151242728714966,0.8230566783991503
CID003357-1,0.22569662039595068,0.25785225564308784,0.03898188088319256,0.1671455119520231,0.30365117885869586,0.00667255226705002,0.865732416710735,0.729806666715018
CID003358-1,0.009515083063792706,0.4287925843234149,0.017410929483596013,0.1797963268474834,0.3473439141447079,0.01714116213700515,0.928636245786881,0.8089041470785951
CID003359-1,0.31276921773397537,0.3803225228722265,0.010247686222033554,0.2514131395047774,0.00799182066063226,0.037255613006354917,0.8783752191700759,0.8109332958779288
CID003360-1,0.10170171000790751,0.18103976430784338,0.013792997219950264,0.23111612697471282,0.42852413946247514,0.04382526202711081,0.9104032729398014,0.817124669300434
CID003361-1,0.2686481943861095,0.27613287050445867,0.04535596543988418,0.19550779992221906,0.17395652589653435,0.040398643850794246,0.9114225277630884,0.7706827026420227
CID003362-1,0.25167535670675867,0.38868085389716533,0.049229160565761786,0.26997954443701017,0.02051295074685402,0.01992213364645007,0.87053998632946,0.8067218414301854
CID003363-1,0.12364274320650302,0.3411779213117827,0.07256521304443572,0.16055619838942436,0.28473511245172395,0.017322811596130094,0.9090428344791116,0.8132074289618786
CID003364-1,0.05195631987247989,0.29711903134050455,0.020981706217382493,0.19784160958805178,0.4085109374559895,0.023590395525591758,0.8943892460549385,0.8095600934124618
CID003365-1,0.016008181808084002,0.41589157000845745,0.06651251145515086,0.24055811043721878,0.235308008499539,0.025721617791549817,0.8661294804112253,0.8522165936219133
CID003366-1,0.16438624650572684,0.0015463821713357362,0.40354752228160584,0.3484120268345238,0.08074226206365176,0.001365560143156178,0.9331262112030515,0.8460500642219944
CID003367-2,0.34008170197505544,0.010957164470490435,0.019936710523611862,0.2703129881909594,0.3551287617336146,0.003582673106268243,0.9455404278966378,0.8462585561171992
CID003368-1,0.226886753918327,0.23898937682759375,0.002861620205549596,0.14921986967676024,0.36729054853392984,0.014751830837839567,0.9261237440507667,0.811992311332965
CID003369-1,0.15774585635367244,0.28734406260323103,0.03881297864217243,0.2597771955010094,0.23631147463722502,0.020008432262689665,0.8553675304071919,0.7462858978173922
CID003370-1,0.009758098998479603,0.36883276644876467,0.05076855407068219,0.001992024968160411,0.5536283240230092,0.015020231490903924,0.9444769140853302,0.834983717436184
CID003371-2,0.17851981237761252,0.22820647191479992,0.060963064277611854,0.1888167408067468,0.3431936812152369,0.0003002294079919665,0.9153465194253899,0.7553486451029044
