,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.11541469836627,0.026089981408520774,0.03550845122933281,0.44179483357098753,0.37796088302706243,0.003231152397826447,0.9475806451612903,0.8060072174836844
CID003353-1,0.12892679383777117,0.80100679296558,0.015126676324328923,0.04360440550735605,0.0004822697641258529,0.01085306160083803,0.9075871496924128,0.7557193355988133
CID003354-1,0.21132591520416594,0.4997571015010192,0.027116820323099373,0.16421770674324473,0.09565100239065841,0.0019314538378123222,0.9227936879018118,0.8799992744066008
CID003355-1,0.24126934417306828,0.26034134650492025,0.18076011860648272,0.04421503481047328,0.27112579327745573,0.0022883626275998223,0.8337991992143234,0.7054038767504475
CID003356-1,0.01776741920915469,0.204224379409767,0.0043466687812554845,0.24479183225671855,0.5246964970032665,0.004173203339837754,0.9169066820276498,0.8197215161520737
CID003357-1,0.23983087437900708,0.24002359332847908,0.06111528914854243,0.14226522092605728,0.3154989275567888,0.0012660946611252547,0.8674635176651304,0.7252481626079088
CID003358-1,0.15939367766266324,0.41843595942889167,0.001835803427220175,0.11416342268064003,0.3037333721728681,0.0024377646277168037,0.9286382232612508,0.8089832318865728
CID003359-1,0.2926594163648573,0.3808993487885145,0.016817681152577063,0.255074652713877,0.01797126665760818,0.03657763432256588,0.881967213114754,0.8102079651419636
CID003360-1,0.24299472940033315,0.17210029361997692,0.09012721707053667,0.20796074907574066,0.2736683190102054,0.013148691823207187,0.9140666314119513,0.8271776794419609
CID003361-1,0.2976215748887528,0.2518776021716382,0.01972463622427495,0.16766470890507,0.22057942317346463,0.04253205463679951,0.9139784946236559,0.7676898961996635
CID003362-1,0.16258516772441278,0.38819000604096154,0.004860951926673171,0.2945137677959192,0.14468882127430396,0.005161285237729319,0.8757882432557138,0.8153472153946444
CID003363-1,0.19330113743301042,0.31320849846043614,1.7417966409749202e-05,0.12829917620535325,0.3320175351215468,0.03315623481324364,0.9097062211981566,0.8050283953350704
CID003364-1,0.08896929745695446,0.24102640533058012,0.015739372260400897,0.15025511636183186,0.501086420375235,0.002923388214997678,0.9029085140137494,0.8074470774411067
CID003365-1,0.15748146917614442,0.3989280097900158,0.08921803557860664,0.18829446306972045,0.152470694776117,0.013607327609395693,0.8627080657752261,0.8468883245543384
CID003366-1,0.24649573917761775,0.006022531112841834,0.32738288736439286,0.299954944651383,0.10702490972353362,0.013118987970230964,0.932647957766046,0.8441950364581701
