,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.07638746864752059,0.026599203315454022,0.02078355295386859,0.4820880037360958,0.3820099346654457,0.01213183668161528,0.9258373205741627,0.7437901340640705
CID003353-1,0.017465240947100464,0.7368787549223047,0.03276054387416348,0.05919221774305541,0.11203168058938123,0.041671561923994696,0.9050627507897208,0.7461375959900478
CID003354-1,0.16540772802109516,0.6168906937379743,0.012374680116695826,0.14066272334045563,0.06419333086774497,0.00047084391603407805,0.883809063054346,0.8455244414977997
CID003355-1,0.0763763776389636,0.2477170247391193,0.0014677207491857682,0.045711216799858144,0.6053841233033342,0.023343536769538927,0.8485569985569986,0.7114220860211288
CID003356-1,0.055166447182821994,0.20086269433588108,0.013702158555232128,0.23962238681916231,0.48944152854826967,0.0012047845586327863,0.894941900205058,0.8066996279517583
CID003357-1,0.24906366590375775,0.24014723450179176,0.03151200693108567,0.14254044834800825,0.3281010903806628,0.008635553934693745,0.8514012303485987,0.7169614625622113
CID003358-1,0.00440366946586873,0.4338901631763961,0.014056877670655844,0.18389501365009508,0.345878655384249,0.017875620652735225,0.9011544011544012,0.782138862193093
CID003359-1,0.17308251177481812,0.39140729724867573,0.04199890190871009,0.29703286729556055,0.08348252406181544,0.012995897710420081,0.8154373927958835,0.7880403367513218
CID003360-1,0.046014336750919,0.1943621422499577,0.08699059558662743,0.2423423398383674,0.4034816529095771,0.026808932664551394,0.8928229665071771,0.7844134153017813
CID003361-1,0.2748199788177756,0.2851910277884137,0.008193345509744434,0.1662525601333985,0.2221607744889699,0.04338231326169782,0.90580997949419,0.7009637777953438
CID003362-1,0.09197117884117714,0.3823635121029414,0.12484956125657004,0.30881406538776174,0.07813734368672447,0.013864338724825195,0.8266408643767135,0.7542003085321796
CID003363-1,0.24382791500736223,0.30236781691566883,0.0039187110200870606,0.10182128785209102,0.32335990819221755,0.024704361012573298,0.8944634313055365,0.7853423658938063
CID003364-1,0.052357953326698826,0.29864200612912417,0.018409667774379457,0.20770455400141388,0.4001935499887467,0.022692268779637065,0.8704906204906205,0.7649569431620957
CID003365-1,0.2835592346393286,0.4003360616929589,0.0012445023172592685,0.15935553823888216,0.15505848466880717,0.00044617844276393395,0.8265892002734109,0.8248628751300654
CID003366-1,0.24347948656423768,0.0003325554793004702,0.3362259845159296,0.2941490936148116,0.12181044220167327,0.004002437624047361,0.9257480465027634,0.8025569704076767
