,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.08334566239020746,0.08697697583319071,0.03595619013325719,0.4473328520344755,0.3252493555467763,0.02113896406209303,0.9469566052227343,0.80897943685941
CID003353-1,0.07927577457994572,0.7577308727814847,0.01434812290907949,0.03952286147392648,0.06761572880311877,0.041506639452444836,0.9077922077922077,0.755249723257662
CID003354-1,0.34705090298270547,0.49799349600953896,4.8294483770018574e-05,0.14203577654243377,0.005429188578141126,0.007442341403410667,0.9235534774985389,0.8750547968465507
CID003355-1,0.23407704623867093,0.2593054252697946,0.05667872027963998,0.0428818291833728,0.3742581855053603,0.03279879352316131,0.8368713958349072,0.706852584300494
CID003356-1,0.03840528945414037,0.1954879890002289,0.005342551025081991,0.2551417389197175,0.5011954752756298,0.004426956325201443,0.91661866359447,0.8202403401649941
CID003357-1,0.1908608852692733,0.2762438320831416,0.10453617753154983,0.19001604638250505,0.2376526174533338,0.0006904412801964128,0.8653033794162827,0.7259545530117836
CID003358-1,0.1350342213431799,0.4180114926377954,0.00010208200981366018,0.12534791974745357,0.310383186297349,0.011121097964408378,0.9288720046756282,0.807415703462635
CID003359-1,0.303778869995299,0.37999034590143227,0.0017568687249641935,0.25302136144833065,0.028416314119432868,0.03303623981054099,0.881967213114754,0.8125242019747081
CID003360-1,0.27096376803888833,0.16772541880341615,0.035800690483970415,0.20027764405133494,0.28801573126658386,0.03721674735580623,0.9148069804336331,0.8201808355085661
CID003361-1,0.2632232830379857,0.28533198660474834,0.04143219629837186,0.16535456705303003,0.20822201092629197,0.03643595607957207,0.9146985407066052,0.7683401097937818
CID003362-1,0.2452785594529787,0.42912299938296355,0.0007728606713455584,0.30879979027388377,0.015931091014289533,9.469920453893543e-05,0.8772647574517826,0.8180487478382172
CID003363-1,0.18159837613114171,0.33425205258269935,0.04675418068188297,0.14234700933142944,0.2734166760292789,0.02163170524356765,0.9100902457757296,0.8107555059143898
CID003364-1,0.06270533183534749,0.2975416716938242,0.04357569297084236,0.20202543759842903,0.38570187964358,0.00844998625797701,0.8969328397673189,0.8134710641060532
CID003365-1,0.2077192512189225,0.3974735929107977,0.0011989642525755762,0.1668080887072342,0.19990423351728176,0.02689586939318821,0.8662839011860693,0.8444303708349271
CID003366-1,0.22962614250631463,0.007560259852332205,0.35922681600524176,0.3129396534906929,0.0834239350609046,0.007223193084514055,0.9327590997499304,0.8450355864370351
CID003367-2,0.29539176411673956,0.04313201046634453,0.03966219089372909,0.3027958535437398,0.31829015274518235,0.0007280282342646966,0.9482259323613105,0.8524633948081274
CID003368-1,0.22821986087799598,0.2431201043180386,0.020396390697236026,0.14441007597429809,0.3563553150473387,0.007498253085092632,0.9288594470046083,0.8165830960461112
CID003369-1,0.26901485246559315,0.2728535841410595,0.018835910008532342,0.24019581849791788,0.19883088873227198,0.00026894615462518044,0.8507584485407065,0.7437755299648205
CID003370-1,0.2522951719879184,0.2871097666425546,0.03671660088310218,0.04354115198380685,0.3787837477839505,0.001553560718667251,0.9446324695928081,0.8401024895590607
CID003371-2,0.21676535145964218,0.214386129489511,0.011785595530072811,0.17230636365009194,0.3830771509062556,0.0016794089644264728,0.9183106418449569,0.7578660353292509
CID003372-1,0.38526845595479126,0.13906712365032378,0.03541050980820815,0.07436064166439918,0.36061299272226427,0.005280276200013313,0.9105786090005844,0.7611224167719058
CID003373-1,0.01863699178216202,0.4049975938516679,0.04987873800092743,0.2553753679999186,0.25624065566569415,0.014870652699629904,0.7894213909994156,0.6331009617485959
CID003374-1,0.040608214534259314,0.8250623957805265,0.044805868692657964,0.029018136559287575,0.048809065675927056,0.011696318757341602,0.9219460602855631,0.7847103472072586
