,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.09761301450397171,0.0565473169712144,0.060195651555696936,0.4646328297780799,0.3134338377407283,0.007577349450308747,0.9484301194776326,0.8053130693500078
CID003353-1,0.0006991171516426966,0.7333559157382535,0.03473864979670727,0.018870111498668556,0.2067620237465104,0.0055741820682175345,0.9101963026491329,0.7679429490377204
CID003354-1,0.1101372465978224,0.6638532058020373,0.009059233846834268,0.18932574263546087,0.025073557929096622,0.0025510131887484795,0.9196266528389939,0.8689603965276338
CID003355-1,0.0041054654589491564,0.28602507873031635,0.00790578909391466,0.10518074941819182,0.5848605399261193,0.011922377372508761,0.8363530099357102,0.697817248394239
CID003356-1,0.0770007800367252,0.1992131320125178,0.0065401139478641155,0.23410661987756462,0.47800083962463813,0.005138514500690118,0.910530702973048,0.8101136347791207
CID003357-1,0.2562715975704181,0.23381103480569296,0.012318196587625762,0.15017869378195756,0.34021663542479963,0.007203841829506068,0.8634620727979992,0.7171560108054513
CID003358-1,0.055601443544049,0.4127903119225524,0.04415803096994842,0.15899644105774055,0.32374418284080625,0.004709589664903399,0.9194121667805879,0.7925034413658003
CID003359-1,0.2471060507812642,0.4303952372893147,0.005389939789861234,0.3090793211171174,0.00780120840188487,0.00022824262055748618,0.8593005013996123,0.8155347644334662
CID003360-1,0.10850067128667118,0.17543997465408503,0.03353243272764525,0.22221563011809445,0.4329541864129834,0.027357104800520737,0.9025500630594604,0.8076357099120276
CID003361-1,0.2806323250535797,0.2863007242447082,0.06907690287859879,0.17344180703750467,0.1832807626985808,0.00726747808702785,0.905696026674076,0.7639974530894265
CID003362-1,0.1642295118592435,0.4167123092835126,0.004818839915344321,0.3210401361763203,0.09213936280271626,0.0010598399628630093,0.872112098427888,0.8141834299187314
CID003363-1,0.175343161539101,0.3534988809609702,0.09747873220580207,0.16351071449437038,0.20846779311432104,0.0017007176854353036,0.9050291747707696,0.8037867341297429
CID003364-1,0.0398557291569231,0.2423075913386658,0.013203401689975336,0.15771407313374675,0.5382593971508474,0.008659807529841643,0.8909409701928696,0.7968610893360376
CID003365-1,0.3336011792454643,0.3996049780166823,0.017254267957496974,0.14894185061924664,0.09746082121574863,0.0031369029453612455,0.846990064289889,0.8335199446092129
CID003366-1,0.21073348685720283,0.0023341387207942853,0.39722953587756665,0.3389971329228861,0.046651126478294655,0.004054579143255496,0.9344796825494478,0.8394297719443793
CID003367-2,0.32810921867777193,0.014806944643332782,0.01769675121181813,0.2767070757184072,0.3618387051990381,0.0008413045496318351,0.9455873758036236,0.8355418948337802
CID003368-1,0.2355400199706446,0.24070937655578487,0.006616640531515117,0.14633129159076674,0.3585582799051794,0.01224439144610934,0.9138093914976382,0.7961818160607314
CID003369-1,0.15491793416184052,0.2988085883283193,0.06619262444915501,0.24668235113011616,0.2288902569068424,0.004508245023726632,0.8400666851903306,0.7425222589394556
CID003370-1,0.022855719229737826,0.3392284453416785,0.08623204801189789,0.029981441641335274,0.5171491303804286,0.004553215394921785,0.9288812328893538,0.8274098908906236
CID003371-2,0.20332343668170655,0.22665492421600097,0.04842715939719239,0.18501704097439975,0.334539266178208,0.0020381725524923665,0.9052372310085558,0.7294290743539081
CID003372-1,0.3833087489638376,0.18473814480333042,0.003739061080424553,0.12349102644666814,0.29799813298428085,0.006724885721458478,0.904442925495557,0.7669597328775339
CID003373-1,0.012201421152365412,0.41542935493035327,0.02406338134245154,0.2592017301433799,0.2885754559385926,0.0005286564928573442,0.765686944634313,0.599097108178057
CID003374-1,0.00025474959524235993,0.874735596002738,0.009505816889717971,0.059774071567839905,0.053353992236206044,0.002375773708255741,0.9272201544187765,0.7909284135838843
CID003375-1,0.014205353041151841,0.7500190408169732,0.008535131307421376,0.18116856446971188,0.042468553000256724,0.003603357364484978,0.9278879015721121,0.813761855464737
CID003376-1,0.287292285807067,0.49221546486167367,0.003082242419535349,0.18154039520935847,0.02688754630235104,0.008982065400014477,0.9190531852717709,0.8655017360357559
CID003377-1,0.003028799413317163,0.17445336240133005,0.31196152857681564,0.0456754386115647,0.3987892048847291,0.06609166611224329,0.8519179304192686,0.6842390498322712
CID003378-1,0.024115736712484737,0.8075250442555777,0.03552795064732623,0.02476208321937943,0.08400479647240314,0.02406438869282878,0.9266955266955267,0.7518986736618407
CID003379-1,0.05041850635114263,0.7755062645976352,0.0261956681759715,0.0062260055397826905,0.07024820562790648,0.07140534970756153,0.9493805984372022,0.7077990647013236
CID003380-1,0.23136513706188225,0.36565613122277363,0.010157787215402211,0.08161824044936117,0.3101585504662571,0.0010441535843236235,0.9342951182749393,0.837571184714322
CID003381-1,0.21019596971928126,0.22142286684522583,0.1217892498347915,0.1745236028082912,0.26512105331758107,0.006947257474829122,0.848291191997777,0.627286268312273
CID003382-1,0.046436379137769816,0.28698386908440765,0.03880809214377358,0.1297064129978496,0.49658989373404333,0.0014753529021559908,0.8611280911364266,0.7621434972974557
CID003383-1,0.1379681151477021,0.3456179597388133,0.0010933353962510317,0.24283911832201852,0.27237038758297144,0.00011108381224359342,0.8760374050263005,0.8075484344379864
CID003384-1,0.3208608116614084,0.4303182817807813,0.008577570258765313,0.16662436555479754,0.06495390124004315,0.008665069504204181,0.9159968887736583,0.8182275453708097
CID003385-1,0.015276974275487465,0.7523071632398114,0.0013730514522939368,0.16706991701009358,0.06338900613317375,0.0005838878891398986,0.932946001367054,0.8096579869547882
CID003386-1,0.12692806100968687,0.0003400765303176671,0.21155069985642072,0.2406487871559916,0.23473432136310704,0.1857980540844762,0.8528407517918115,0.8069547275651874
CID003665-1,0.00807237773762829,0.7562949446065473,0.02693905704909834,0.05173093076053685,0.11762872666636483,0.0393339631798243,0.8178258328462887,0.7011148458810521
CID003666-1,0.00506528913923329,0.7871213754670975,0.005308342568363007,0.20054342171905906,0.001886753162424836,7.481794382230093e-05,0.9323991797676009,0.8381193408286156
CID003667-1,0.1539190293488482,0.006490892223326097,0.19314233147018092,0.3028708972881414,0.27367241112823903,0.06990443854126431,0.896551724137931,0.7608028381111623
CID003669-1,0.046047096774254996,0.00033663776101876367,0.17802943533989848,0.32911288589739174,0.3019935206137312,0.1444804236137048,0.8862468854778677,0.7009311486070793
CID003670-1,0.352740081754799,0.007987667393707975,0.012638562817225434,0.26702240394814836,0.33675268521730833,0.022858598868810892,0.8705589221446368,0.7595290209437336
CID003671-1,0.1757377446565154,0.0006724923069386505,0.3536771540168851,0.3323953302565001,0.10292143828003184,0.034595840483128984,0.9143775569842197,0.8035524307903542
CID003672-1,0.2880417740636616,0.10042450840967528,0.014545790477573295,0.3065315134197267,0.28302998867451634,0.007426424954846824,0.9207481005260083,0.769151591647206
CID003673-1,0.3937361575588966,0.46212911774581833,0.01489095219570543,0.10709605107501259,0.019537364173094367,0.0026103572514726476,0.9217416715371128,0.7989475858624799
CID003674-1,0.25819299650316935,0.21886290703454908,0.027174765736450182,0.17900653036718414,0.30994203681088184,0.006820763547765381,0.9100305640455681,0.7739054799226458
CID003675-1,0.3976388991940708,0.3373716421887731,0.007941591790441052,0.22022176631928395,0.036772875191859025,5.32253155720486e-05,0.8657518582046884,0.7610091096826483
CID003676-2,0.3278879649599529,0.39397359376364044,0.013529097538468662,0.23857792138618716,0.00025749570875393,0.02577392664299687,0.925090302861906,0.8266315427350742
CID003677-1,0.275792186432214,0.25500714455485024,0.004184876403287675,0.053568036814358795,0.4112514777950517,0.00019627800023757887,0.8508474576271186,0.7196136376104817
CID003678-1,0.03211976178198726,0.64414440063436,0.06094015827657858,0.026795045619771533,0.23191532378412164,0.004085309903181084,0.9237749546279491,0.8070045740953219
CID003679-1,0.21982909507724946,0.2577660947913735,0.010117852272892193,0.07076890676141866,0.4388502232507154,0.002667827846350904,0.9313142539594331,0.7671114473614402
CID003680-1,0.03579268400212087,0.4204642508629122,0.0035514167644420808,0.17443876051228688,0.35745619576993287,0.008296692088305085,0.8357993171121844,0.7474588423343845
CID003681-1,0.3375468420759821,0.609188245819304,0.03104350546903051,0.010656549133618961,0.001574057899503145,0.009990799602561337,0.9129202556265629,0.7891143296574582
CID003682-1,0.1061851048490773,0.7906892324653594,0.05248877219780406,0.018142897264637994,0.029646323389664136,0.0028476698334571737,0.923015873015873,0.7910778487653615
CID003683-1,0.046409751160699925,0.6945843149828403,0.02951765326147623,0.20155413852278625,0.017918505864729255,0.010015636207467964,0.9004784688995215,0.8295627311704211
CID004696-1,0.2761451133303367,0.2088074306083401,0.028568140380720083,0.1676160929123552,0.27921786572269175,0.03964535704555617,0.8924145595998887,0.7269129698622291
