,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.09789932347400383,0.05571022284053536,0.022880520824166677,0.44119482543214233,0.3639973229549067,0.018317784474245053,0.9469566052227343,0.8042899604455942
CID003353-1,0.014259278780288853,0.7408755910418606,0.01946184923068078,0.029933465495109356,0.1565777049956171,0.03889211045644324,0.9069036226930963,0.7617480139272444
CID003354-1,0.26262342981945747,0.5790030644432772,0.006273325388485265,0.12689180899611266,0.02284515822514104,0.0023632131275262754,0.9243717124488602,0.8735616599511191
CID003355-1,0.18393105505127053,0.2510446298040384,0.05948882873689312,0.03535511544355825,0.43757748419744374,0.03260288676679607,0.8373246707461408,0.7084282412043993
CID003356-1,0.08772527104838096,0.07089032994631882,0.017546493762336985,0.33936290361142984,0.47579595300222843,0.008679048629305009,0.9102342549923195,0.8061998512345607
CID003357-1,0.20388870478899612,0.23803566574263496,0.008591271729632992,0.16248144408792425,0.36812588495719234,0.01887702869361922,0.86803955453149,0.7269588454807063
CID003358-1,0.015196234625055122,0.42409568129141495,0.021713879676679305,0.17964327222642304,0.3390672963471633,0.020283635833264327,0.9297486849795442,0.8066203762942002
CID003359-1,0.08014200869449284,0.39444186878492815,0.049996369269373654,0.3180159397345922,0.14827776341682858,0.009126050099784554,0.8788471708090957,0.8295093386434254
CID003360-1,0.27648158208267526,0.17067552003641315,0.04822507585528925,0.20049751383700953,0.26989781541083474,0.03422249277777802,0.9149656266525648,0.8212686087237264
CID003361-1,0.5544835745911856,0.2023444489852397,0.0017578162756336315,0.12632092763752076,0.11035218526968912,0.004741047240731224,0.9153705837173579,0.7717396427849764
CID003362-1,0.14965511732274653,0.39496344010555784,0.05362180063985266,0.291333407757866,0.08957758312719391,0.020848651046783084,0.8752960718570243,0.8073962728451469
CID003363-1,0.39290737470741033,0.32350895127964935,0.00867805767938101,0.10380509681371314,0.16705986569680534,0.004040653823040828,0.9054339477726575,0.8083146094929713
CID003364-1,0.04157400344263684,0.31222602615990713,0.0930150986775583,0.2161083946026222,0.33630392995166797,0.0007725471656075008,0.8966155473294554,0.8139684882692351
CID003365-1,0.3289698515231835,0.4017423315225613,0.022866903128683693,0.1506959060686167,0.09188354469878823,0.0038414630581666003,0.8656795346377578,0.8471568803705486
CID003366-1,0.24968058092557285,0.00022481832379881922,0.3140797781720999,0.2977410158364341,0.12271417546577391,0.015559631276320401,0.9328702417338149,0.8441776655869268
CID003367-2,0.30113823674108514,0.043455285388004694,0.05060130011760241,0.2994010663152213,0.3024249578988845,0.0029791535392018945,0.9483266601193624,0.8521920117518438
CID003368-1,0.26949927185272954,0.23621750727601867,0.05515469978037472,0.1309512588329547,0.29244706312986407,0.0157301991280583,0.9278033794162825,0.8151552569066686
CID003369-1,0.23779117474744815,0.27493613881396284,0.006440173375705429,0.24107947059382484,0.19588783471928506,0.04386520774977372,0.8512384792626728,0.7347192608706082
CID003370-1,0.21854958349927983,0.2894896670954387,0.029998655661881323,0.05789447150964008,0.3862785719345485,0.017789050299211528,0.9446853516657853,0.8372950729464796
CID003371-2,0.20403816276615905,0.22250730572025965,0.026962238928027037,0.17536744677109942,0.36577265891378447,0.005352186900670371,0.9159766601833841,0.7564389134646783
CID003372-1,0.310514070750281,0.20436520667307895,0.01681002745224542,0.15354011229107364,0.29283955339872886,0.02193102943459217,0.9128579777907656,0.7656936483146733
CID003373-1,0.0813622810953949,0.39029200792998087,0.14676958881828095,0.2284516943822279,0.14630305234930846,0.006821375424806868,0.7864991233196961,0.6254880979943517
CID003374-1,0.06794467442335593,0.8996467273370984,0.0028687560089788646,0.010971480973456231,0.013934626927929971,0.004633734329180619,0.9235325224748809,0.7811174035186386
CID003375-1,0.09288950990137687,0.6856593511145698,0.02624486664374647,0.18133860755488107,0.005627012357718499,0.008240652427707353,0.9237872589129164,0.8361495536788859
CID003376-1,0.2088655698534382,0.47994315496521406,0.015873993625339786,0.23935462128942042,0.051030793880151665,0.00493186638643576,0.9185112437359925,0.8854182163389329
CID003377-1,0.0320744010303267,0.14319917567152873,0.3243354480444195,0.011530314005464195,0.4444303815841974,0.04443027966406359,0.8782125859333686,0.7181244794288136
CID003378-1,0.055977193386454224,0.831146499189519,0.029016528666964303,0.013032141403849295,0.057951170809223865,0.012876466543989344,0.9207604048109754,0.7608775467785439
