,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13138868097058137,0.009518810287528387,0.003337690202624008,0.4282156709754763,0.4254209176329579,0.002118229930832058,0.947520838054947,0.8037307634738028
CID003353-1,0.037045635868470775,0.7362452617863793,0.014099407205118578,0.025627404503761966,0.1339862033869189,0.05299608724935045,0.9076479076479076,0.7554698010820573
CID003354-1,0.3162843563256225,0.4977314787241065,0.010832377832212518,0.16886355224804753,0.0005266545522706119,0.005761580317740308,0.9231597403795871,0.8781810242374857
CID003355-1,0.34107497629543826,0.25685772262983686,0.0637696044283273,0.0021204873609258395,0.3352995862571029,0.000877623028368887,0.8421998942358541,0.7096319198449909
CID003356-1,0.024269081199968758,0.22201769705897947,0.01897474312946439,0.25508613770892274,0.4741299762353108,0.005522364667353807,0.9143814056558636,0.8233211246678183
CID003357-1,0.31614706995730496,0.20301441865669584,0.004411847557922795,0.08362930573402748,0.38734808707939844,0.005449271014650486,0.8701115559920424,0.7245880824806542
CID003358-1,0.011640845973465258,0.424478551775297,0.0427207570397478,0.18439956988530254,0.3229680764932187,0.013792198832968717,0.9275892829677935,0.8074912326830307
CID003359-1,0.2899385601545601,0.386735801035183,0.0027741733258269162,0.2628678923551599,0.0208051216945444,0.03687845143472578,0.8815782161711585,0.8126904044155967
CID003360-1,0.338770691796748,0.16209986735040324,0.022366467017104267,0.19149025625794133,0.24193980405266555,0.04333291352513761,0.9127535426507363,0.8184896894564655
CID003361-1,0.2536155919595815,0.2528483514934017,0.02574035406492529,0.20063564730707978,0.24042145068417412,0.026738604490837634,0.9089924706000857,0.7750300574058709
CID003362-1,0.24951662349028772,0.4331374335251876,0.0013836576521519602,0.3101898167263339,0.0046166447989341225,0.0011558238071047672,0.8758102151931553,0.8176900632337153
CID003363-1,0.11037553660131301,0.32377540569539776,0.037735918130136374,0.15517235014475117,0.3468892562008188,0.026051533227582892,0.9080859207776183,0.8102815269100834
