,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.10216178740310358,0.06696143771094468,0.018259266292371547,0.5193569866726048,0.2749061393707785,0.018354382550196866,0.9231632653061225,0.8661415412147555
CID003353-1,0.010577277582727085,0.6456120573413441,0.004576590936714016,0.008976855360019688,0.3241564946296848,0.006100724149510246,0.9417206290471786,0.7964369457512497
CID003354-1,0.002285833007103079,0.563105211865634,0.0005873307230875528,0.3045077768334273,0.1283449280300206,0.0011689195407275075,0.9169750231267344,0.8453788442990856
CID003355-1,0.024640214173437345,0.3081281847589112,0.007590660378867768,0.022797280660090177,0.6243475442889941,0.012496115739699469,0.875705601389492,0.6896022556916648
CID003356-1,0.0023447657967791053,0.1927640735314122,0.0032514758111020885,0.31748827510856614,0.4731998991863701,0.010951510565770334,0.9138775510204081,0.8468827470254691
CID003357-1,0.017535756712556777,0.2980377735535609,0.003910408106578287,0.24762903338114425,0.4325802202716675,0.0003068079744922651,0.8643877551020408,0.7433508895961662
CID003358-1,0.019668085449001293,0.5279838092362567,0.010780766493439297,0.16307844176346148,0.27322098166803244,0.005267915389808895,0.9293313069908814,0.7460613790340771
CID003359-1,0.06181612828520209,0.5103494608155438,0.0009949606480670087,0.36079109567470097,0.06270309580998995,0.0033452587664961828,0.8746530989824236,0.7238664626798803
CID003360-1,0.1281277792280942,0.08654833264132632,0.006040155111494616,0.3257304383665704,0.4280240954658736,0.02552919918664088,0.9039795918367346,0.8052162297934733
CID003361-1,0.12436420941774663,0.3029064335624205,0.033816812785564296,0.2131002879368811,0.30229083397586,0.02352142232152754,0.9153061224489796,0.6489855637784084
CID003362-1,0.06084735961654044,0.4568854921809949,0.001464391322352343,0.3890283234175373,0.08221184645204463,0.009562587010530374,0.919452887537994,0.7691288892863622
CID003363-1,0.2244975406654028,0.31983930421566975,0.001288214945942277,0.16549036011032614,0.28805830069336014,0.0008262793692989176,0.9169387755102041,0.7796693922288929
CID003364-1,0.0030069659372305357,0.27004136626953745,0.0014296567377806457,0.28326442095522103,0.44210986611357184,0.0001477239866585366,0.8476530612244898,0.8129498915082604
CID003365-1,0.010636597695709243,0.48847336195026614,0.004676710564253134,0.22526118372383303,0.2615580011054348,0.009394144960503642,0.8292857142857143,0.8149344470776848
CID003366-1,0.003505672434195535,0.0024042761771274493,0.06055181708766974,0.3545915843543109,0.4846943481013826,0.09425230184531377,0.9239036039947894,0.8182614721314031
CID003367-2,0.0008838204488513404,0.0005509436055744189,0.025483842775707262,0.40804942311327386,0.5649889072268963,4.306282969681742e-05,0.9566326530612246,0.8203777553984811
CID003368-1,0.022324997817548146,0.2973151818838139,0.02855770064181033,0.22569235763202003,0.3949670476650517,0.031142714359755894,0.9127551020408162,0.8180574151336354
CID003369-1,0.014131817399965229,0.3513765109237938,0.0012084267990486776,0.3169343069585661,0.3145807143013871,0.0017682236172390333,0.8992857142857144,0.7394965022606489
CID003370-1,0.007247021807916316,0.37471728030420115,0.020268320857813903,0.03086776773131626,0.5616236585521941,0.005275950746558296,0.9185714285714286,0.8740082125506217
CID003371-2,0.05923573026905528,0.24530283543321044,0.0021104932075717516,0.22311380437792722,0.4662529953934662,0.003984141318769138,0.8978571428571429,0.6976507164543871
