,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.4293149319205014,0.0031488684012071434,0.021983934423560232,0.4256035177628349,0.0571821895095636,0.0627665579823326,0.7858617677235976,0.6739906315945097
CID003353-1,0.008156513994795772,0.6211733047318831,0.0023394139015059687,0.007905073376610684,0.24047894222511432,0.11994675177009016,0.808976821300765,0.7338944471607811
CID003354-1,0.07508434442758054,0.49342552924912714,0.010591181579918616,0.33046548062371867,0.03270473032173434,0.05772873379792071,0.8085081910073196,0.737691346483993
CID003355-1,0.3547967740874583,0.2384955778627228,0.03204850975114984,0.023999154399602065,0.29305329536557284,0.0576066885334942,0.6591392581119312,0.6241322757909813
CID003356-1,0.23754335405390362,0.1425737124322253,0.006030217010293032,0.280746861380661,0.26300726609273256,0.07009858903018448,0.7796994023204031,0.7232680390825358
CID003357-1,0.2438142354110399,0.27259144994730233,0.009245890693553345,0.2087180160778372,0.2614896431101005,0.004140764760166771,0.7443635060902795,0.6594967587660857
CID003358-1,0.0024808695687629006,0.4451230341237033,0.008063511035670925,0.25676191626866246,0.23534670024778281,0.052223968755417634,0.8051937488526958,0.7206226319763411
CID003359-1,0.02773260463196059,0.37913419888324434,0.006782262770758727,0.46871218263949915,0.08203868269408844,0.03560006838044874,0.7989056866765845,0.715381930752486
CID003360-1,0.031044150112076636,0.1450691022526664,0.023084260601219743,0.4015879514039146,0.34621530777804554,0.05299922785207696,0.8070665154048245,0.7205087292826658
CID003361-1,0.21305868081514062,0.2738741377085652,0.02249067812913182,0.3492903030283527,0.08201358298554332,0.05927261733326631,0.8043794570968483,0.7285090574760733
CID003362-1,0.0076599248206613065,0.38880319407178315,0.005617927541036267,0.46389914474675215,0.09265788339350448,0.04136192542626268,0.831084001394214,0.7023769350263872
CID003363-1,0.1091288715582229,0.3728250705513304,0.005990890513234651,0.22142637974532955,0.24750332899017574,0.04312545864170655,0.7794034923239188,0.7011567822552788
CID003364-1,0.01628832325063952,0.1895027772645762,0.00039329195300736105,0.32301504672404163,0.4697724184889199,0.0010281423188155186,0.7758721338141165,0.7193816725473476
CID003365-1,0.008584220206884857,0.4563862692025266,0.013782992213586656,0.3155993073018648,0.15339373603899106,0.052253475036145976,0.7895224817009411,0.7214891876079923
CID003366-1,0.20981079710656797,0.005170253639624564,0.10148352045711975,0.4693730084961585,0.14042006160523393,0.07374235869529533,0.7738521597572348,0.7108089583589419
CID003367-2,0.17719660725679956,0.004470444318618398,0.031376579458018514,0.3702616301505516,0.3689442875621948,0.04775045125381711,0.7870880105087175,0.7219144329122098
CID003368-1,0.41000429125972915,0.1238394563295537,0.001544994978065824,0.22803722820869016,0.23470070096079,0.0018733282631711841,0.8017828387393605,0.7245608004542621
CID003369-1,0.263442324841739,0.2751621081329962,0.023033217341879877,0.23228148061497203,0.20544886134545282,0.0006320077229600698,0.7790066006550453,0.6913891121393803
CID003370-1,0.27209834533505906,0.22637813372170248,0.0006260714950950774,0.1521276900747075,0.3468625644548575,0.0019071949185783831,0.794801505839158,0.7555088777236821
CID003371-2,0.20523760151245607,0.11719565352110303,0.009861758293658747,0.33631776106095385,0.32865255267763394,0.002734672934194408,0.7564121168148014,0.7460585629819966
CID003372-1,0.41465376711750723,0.032162278478749806,0.033347786108854756,0.12695719691179866,0.3292400354057507,0.06363893597733886,0.8029867449372093,0.7021387616132423
CID003373-1,0.17918059223266142,0.41720949552187464,0.01642053230623632,0.16423138326925432,0.21825689331295897,0.00470110335701432,0.7456412116814801,0.6495697292405258
CID003374-1,0.00503847716417144,0.6324069663381833,0.00020235525250122483,0.26199717181478044,0.0482760923134494,0.05207893711691424,0.8090519344719415,0.7473313544012989
CID003375-1,0.04976378317012351,0.5163488806018349,0.0012713177560774497,0.3754146336218882,0.009835573824440407,0.0473658110256355,0.8352421771776611,0.7441652053841953
CID003376-1,0.16574776334148048,0.39016632892000674,0.005410168646729087,0.3970087819027122,0.03895394243398161,0.002713014755089697,0.8461259372732404,0.7878429595824075
CID003377-1,0.20976604270401145,0.24708798567419332,0.10285256345140917,0.20144108169225317,0.14016688264434468,0.0986854438337883,0.7282930973866166,0.6332358698652248
CID003378-1,0.014547370272001392,0.6139433492374793,0.0016654168968524231,0.13393257742217377,0.18210570387495384,0.053805582296539346,0.8289138621955958,0.7257162939095365
CID003379-1,0.020543645611996227,0.5683197317532047,0.036420021178949886,0.14064161347791224,0.17684309183380187,0.05723189614413505,0.8233841504066847,0.7481146502708559
CID003380-1,0.18307186475727366,0.4208966453778559,0.007071755887066395,0.12603348686309498,0.26249031125732286,0.00043593585738619403,0.8005077895031482,0.7415331727869449
CID003381-1,0.24622805914465415,0.24296787147168403,0.002642114453839478,0.2141125234242254,0.2937317145130919,0.00031771699250506425,0.7257374014807738,0.6126637758002452
