,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.150852120313143,0.04971397100704707,0.021679649678107316,0.44428958608874963,0.3274200518794792,0.006044621033473779,0.885971685971686,0.8733017854208056
CID003353-1,0.0136783990509759,0.7221100258507669,0.0244525818659724,0.06101535669111128,0.12245831057906185,0.0562853259621117,0.9086325439266616,0.738678221214419
CID003354-1,0.12362359917565341,0.6107543018066156,0.019659738384550724,0.23501713354883436,0.009394824536317735,0.0015504025480281816,0.8798319327731093,0.8467913442108002
CID003355-1,0.0025540113807829296,0.20969577061053016,0.0004330838585342408,0.002585402457308519,0.7843019567743517,0.00042977491849252743,0.87001287001287,0.8604752144045188
CID003356-1,0.06216602417031474,0.08880896990514085,0.01622752050632931,0.34403824433187474,0.47909842025168886,0.00966082083465147,0.9111969111969112,0.8477852608487834
CID003357-1,0.23476004361326555,0.25756238123880343,0.012228806317118944,0.10420072819857927,0.3691392153787195,0.022108825253513303,0.819047619047619,0.7748958632312916
CID003358-1,0.0157765865381518,0.5058142501908188,0.0005179135365966916,0.16510152934008457,0.2978971672730647,0.014892553121283406,0.9117117117117116,0.8249869262186516
CID003359-1,0.20357399171410118,0.4529171780240713,0.023654944304508894,0.3172513013381169,0.00028234016230022573,0.002320244456901496,0.838375350140056,0.8346101424480864
CID003360-1,0.22346677732372872,0.07256232579069735,0.022870556531882486,0.3038910430694999,0.3754487591640193,0.0017605381201720278,0.8651222651222651,0.8614797362616103
CID003361-1,0.2786501730110204,0.2507297467885129,0.00687502527555788,0.1196785452707253,0.34376493267508906,0.00030157697909444307,0.8658944658944658,0.8283205273680841
CID003362-1,0.13511057052258235,0.47727942046374455,0.008943310324352824,0.36196679908067014,0.008199506863708645,0.00850039274494149,0.7903743315508022,0.776935406828706
CID003363-1,0.21931683385153414,0.3400086943791984,0.016519670802613205,0.08497134784281409,0.337985707710204,0.0011977454136361913,0.8707850707850708,0.871606586699097
CID003364-1,0.07478123073223668,0.10963502194398171,0.02354030958921358,0.3328980236754543,0.4459317661411969,0.013213647917916826,0.7621848739495799,0.7696922290522075
CID003365-1,0.07981015553521091,0.5571213024077535,0.00869426305231785,0.13961080737078246,0.20589845779003899,0.008865013843896333,0.7673101673101673,0.8349820466900061
CID003366-1,0.2639449171153015,0.001272235109001392,0.14116829766317246,0.3266796297614645,0.2577936819850697,0.009141238365990437,0.9317889317889317,0.8388457263226816
