,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.01676947725113887,0.08490883592386063,0.15456752295736922,0.46592355330512425,0.16282366149384667,0.11500694906866035,0.7994337870200834,0.7290157947497516
CID003353-1,0.032908797353624474,0.37414625173471855,0.0016989244797081856,0.05156782662348034,0.14455019345339268,0.3951280063550758,0.9193781112473848,0.7807537082394029
CID003354-1,0.04045728039256067,0.41609573175049475,0.030664008110218622,0.28725178225337583,0.19179455135570597,0.033736646137644176,0.9119644371926149,0.7819018176182705
CID003355-1,0.15826341865205126,0.21921711690462226,0.0007765558851550354,0.02521990900520637,0.25984324303568246,0.3366797565172826,0.7608177909393775,0.5996286255289536
CID003356-1,0.06922760214799899,0.1367434229913529,0.017591291426886122,0.23378897863885909,0.22954333556190984,0.31310536923299304,0.8676027657408165,0.7354577943257592
CID003357-1,0.23467332159517842,0.20534585290006444,0.009475843987662531,0.12308807790152004,0.19098774517934058,0.23642915843623397,0.7359516345723242,0.53503513950285
CID003358-1,0.0024434759088766684,0.26771242242039467,0.01888286084507779,0.12086821406278064,0.14185004653883293,0.4482429802240373,0.9012828800159117,0.7466583832135404
CID003359-1,0.005259866215769366,0.1813649017197052,0.06309891823737826,0.22701254203885682,0.1312217847475895,0.39204198704070076,0.8965123232173401,0.7790524372624912
CID003360-1,0.2160564644878635,0.056081590901950765,0.011040549337648364,0.2711349881179606,0.14320635796027312,0.3024800491943036,0.8194161473898561,0.6612199756794239
CID003361-1,0.2629691886279926,0.19072599817459224,0.005128119631920149,0.2122636589997639,0.0560258877518848,0.2728871468138463,0.8555146186573667,0.6922635106554308
CID003362-1,0.09959428382419766,0.2618696149276064,0.025050874563652913,0.274703124042864,0.06846409635069625,0.2703180062909828,0.9153459632598003,0.7477117280069592
CID003363-1,0.2908643942281649,0.33822966261466075,0.013902291615704119,0.14821964168651047,0.11748863418298679,0.09129537567197304,0.807553972403525,0.699507044799493
CID003364-1,0.07337173995817062,0.15033509782177387,0.012984098602961687,0.23423825510848675,0.22244968594018708,0.3066211225684199,0.8063790446841294,0.7110828408739026
CID003365-1,0.11344483536037862,0.274539825071835,0.012392857428546983,0.18761432568105768,0.0903565476175241,0.3216516088406575,0.8607732726233964,0.7618382380363838
CID003366-1,0.0013061624198724686,0.0006434754569912409,0.1542881778154408,0.3138075699970151,0.19867145324672333,0.33128316106395705,0.7685149154644914,0.6699591877276375
CID003367-2,0.1772115438359994,3.193651524011434e-05,0.04699505789384072,0.24076307746465547,0.23150855776425946,0.3034898265260048,0.8526709198247954,0.677717118161412
CID003368-1,0.2631908326200962,0.1897966107870851,0.058077223872458665,0.19277648348759305,0.26487602394660825,0.031282825286158826,0.8416383892245634,0.6929272875949412
CID003369-1,0.12149539240742654,0.30370577225998957,0.09676522605033433,0.27235422518367014,0.16133961871263441,0.04433976538594504,0.7357510179674821,0.5174697641781258
CID003370-1,0.2731323128947564,0.2650317159080386,0.00020116071760959203,0.11198304293637493,0.33091752196794916,0.018734245575271213,0.8769189431258397,0.7299881786395302
CID003371-2,0.3015935667443755,0.05473683616248063,0.0035902315761548267,0.1787377987015952,0.19958971304251133,0.2617518537728825,0.8664935064935064,0.7016947832798326
CID003372-1,0.12236529343967445,0.1340309774371961,0.09288130890836521,0.20612748468428402,0.3565979941759057,0.08799694135457446,0.8510527065121444,0.6590348670610502
CID003373-1,0.012590455369568203,0.37751128184795285,0.05154718380273577,0.24687388776943164,0.2456714564246466,0.06580573478566497,0.7446426336502404,0.5502354788154545
CID003374-1,0.004732202219676965,0.6947523785331092,0.01940572638902013,0.23696627594878436,0.03939400243753789,0.0047494144718714226,0.9443659001256194,0.7996130703593618
CID003375-1,0.042568754888438205,0.49577784775802963,0.03586475122270315,0.3533609499659332,0.03602167639334129,0.03640601977155451,0.9494937266123707,0.7778602138798487
CID003376-1,0.01713774266695029,0.39513941779086553,0.062483220538541676,0.41776447412710316,0.10092129024511776,0.006553854631421585,0.9101254677525864,0.7337449931401491
CID003377-1,0.0003675853480792694,0.27025342235694677,0.2846362719000101,0.18737086968639993,0.17382977736892816,0.08354207333963566,0.7236721898790864,0.47334978858170995
CID003378-1,0.027222591265735598,0.466680026556963,0.02777507338250946,0.13686228537426362,0.09810357254025441,0.2433564508802739,0.9279637802898717,0.7659634665911846
CID003379-1,0.00041985602512995375,0.3993271292727696,0.0027044761837310013,0.1377808901142035,0.14885971376611945,0.3109079346380465,0.9395096283027318,0.8100972134374885
CID003380-1,0.004370684764220368,0.3550269181571402,0.07359576188038666,0.15614680925749563,0.24855122870100205,0.16230859723975508,0.8802673949550736,0.6915218281925669
CID003381-1,0.0023007164430958304,0.1937304914470021,0.04249747252523871,0.17238549976406647,0.2949706922962764,0.29411512752432045,0.6888658560892965,0.5304518409648429
CID003382-1,0.07518930146934304,0.34268006392512806,0.03207703113024603,0.13613272048260527,0.3123808780974052,0.10154000489527232,0.7059434566576064,0.49809771262308333
CID003383-1,0.13816057008238436,0.3253418708175593,0.0353902788239148,0.394009349699018,0.09647727359250133,0.010620656984622123,0.8598415144177856,0.6977868555567581
CID003384-1,0.04273391337697417,0.39552580724067227,0.06656387713671759,0.2780824427681767,0.1212640478351284,0.09582991164233093,0.9397335423197491,0.8011139415096077
CID003385-1,0.03199602040480312,0.5079400349253727,0.0008182979093003796,0.3663110639408669,0.0916351815288935,0.0012994012907634337,0.9259432216179277,0.7974601878498033
CID003386-1,0.0018064955901902625,4.772147920790621e-05,0.2353413760073282,0.2575887546418403,0.2397224842079628,0.2654931680734705,0.548926100295556,0.5285428836860171
CID003665-1,0.008746775207302685,0.37269410140047043,0.016930388164009016,0.07190381997496456,0.17156547617717183,0.35815943907608144,0.7666448361285914,0.6398118119761679
CID003666-1,0.0004980079254635873,0.5915186205030438,0.0013580510961494223,0.31735527319165285,0.0014923793330294114,0.08777766795066093,0.9301141832056722,0.829975258821512
CID003667-1,0.0003273884741503792,3.519001918990925e-05,0.0684440329258944,0.31071026271081215,0.19647478092991702,0.42400834494003614,0.7411229029968318,0.6159319400029262
CID003669-1,0.02308967834201761,0.0006611254795629768,0.14756211674849282,0.3152784240320643,0.19055652735923023,0.3228521280386321,0.6875317178212397,0.5883649395141282
CID003670-1,0.019135648629002296,1.2044463249321477e-06,0.032121626609627744,0.34909301098567697,0.2534104666823646,0.3462380426470035,0.6817425404786517,0.5322864747673942
CID003671-1,0.0006952668704432049,1.532968909391474e-05,0.2360463479881375,0.3485897915300401,0.22575113342614453,0.18890213049614085,0.7280653828929692,0.5804086537857862
CID003672-1,0.14902247566434035,0.018469205277083386,0.02673452800077778,0.21531957482968886,0.3013386143012705,0.2891156019268391,0.8355124006947806,0.7135866037125276
