,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.023731211890760745,0.002083196674897412,0.016718359127132335,0.5057951791530181,0.44922103133948144,0.0024510218147100185,0.9225837453685555,0.7840257134127069
CID003353-1,0.0030458015052687803,0.6589669401629313,0.0014540070751854599,0.002592893379381789,0.33384581092245597,9.454695477661892e-05,0.922824618946556,0.8170741394343787
CID003354-1,0.0793523927003948,0.6463334564328755,5.279549520079178e-05,0.2435277700124045,0.025030476422751982,0.0057031089363724224,0.9009672830725461,0.8473309965534059
CID003355-1,0.0606908388966033,0.28628961414276405,0.0008604123826751963,0.012217789935805228,0.6366585972984358,0.0032827473437164116,0.8719617224880383,0.7389690922186376
CID003356-1,0.013369845310672047,0.1327872223311804,0.0028838560984113335,0.34718248012115904,0.4993013871566007,0.004475208981976483,0.8959774402812377,0.8116782293627175
CID003357-1,0.1835852075718902,0.24264134757424755,0.004732785345860755,0.1692464915485879,0.39967871876108807,0.00011544919832555398,0.8563714766246412,0.7376617376382708
CID003358-1,0.09765664404952355,0.527744978003642,0.015273803036221887,0.07880459999350467,0.2743365017318674,0.006183473185240504,0.9089818585708996,0.7979794929814825
CID003359-1,0.17307624678315273,0.4103377724904019,0.01083779457310276,0.3416519582752877,0.06404395991675756,5.226796129729013e-05,0.8677511961722488,0.8178101406294824
CID003360-1,0.17676226547660204,0.057802690500785056,0.003266421205779229,0.30409152156967884,0.4566528216889699,0.0014242795581848868,0.8802734107997267,0.8169852202349014
CID003361-1,0.22899712167314254,0.28255820620733796,0.0019436528768298801,0.17309239732140383,0.2704548847402991,0.042953737180986634,0.8976213659757963,0.7618854814199223
CID003362-1,0.2010034532411972,0.44821960313766274,0.002884891866249871,0.3356515949832176,0.012199754212192299,4.0702559480239526e-05,0.8955349870418363,0.8074416420474874
CID003363-1,0.1283192451883072,0.3365284436954185,0.00029797412038881735,0.16178378729629522,0.3664155316066928,0.006655018092897462,0.8795381833356516,0.8103945011833383
CID003364-1,0.03806898146238074,0.2599073534731582,0.001784905806267226,0.17125809064687933,0.5178026891616601,0.011177979449654435,0.8585099111414901,0.8022551537818989
CID003365-1,0.15014233559558152,0.43952230289073235,0.000266610904947798,0.21340632722425884,0.1859116925093041,0.01075073087517538,0.848809085651191,0.852871502379036
CID003366-1,0.0706132564697155,0.006291538260262934,0.08261377700710117,0.3053678767311134,0.45054565361695553,0.08456789791485148,0.9417908407382092,0.8171814759535451
CID003367-2,0.0749165549999488,0.006681623838536173,0.005175109187143898,0.38700966004423665,0.5107585226575914,0.015458529272543178,0.9531258215468742,0.8272574281075001
CID003368-1,0.16294979091901207,0.2582811736777744,0.018718812455365823,0.1784812288325773,0.37583853576775,0.005730458347520476,0.9122902414041655,0.8093667889060089
CID003369-1,0.19594376650039974,0.28145172152988235,0.006231289838330473,0.2539460998462925,0.25853487633233313,0.0038922459527617305,0.833331225736289,0.7133951576696249
CID003370-1,0.004812547484463404,0.3522158484640358,0.00019710774859509766,0.017994541113830267,0.6176208653873838,0.007159089801691652,0.9277101845522898,0.8345735969872534
CID003371-2,0.05170160267966149,0.1925356355832722,0.006876096535400512,0.20248431834790218,0.5452972985399214,0.001105048313842287,0.9095305832147936,0.7475500988485115
CID003372-1,0.2747949647286222,0.11868961410465705,0.010451913645900788,0.07119673908563273,0.5176147748458828,0.007251993589304462,0.876312476860422,0.7468209472413697
CID003373-1,0.01625653332935595,0.4056535296471384,0.003836654873411396,0.24845574766193976,0.32515483026598363,0.0006427042221708501,0.7461125509070714,0.629239834942332
CID003374-1,0.011148158903437821,0.8568818058848388,0.0008593663276731851,0.08393460921665837,0.03689709479820271,0.010278964869189175,0.9263431305536568,0.7819550819985855
CID003375-1,0.006228317837025515,0.6854915276255372,0.00822794394935515,0.2673379209620046,0.030566716032455,0.002147573593622499,0.9294187338022954,0.8230053116287795
CID003376-1,0.15152366075860468,0.4876699299068329,0.02553131750413069,0.2867918739152117,0.04771909497017599,0.0007641229450441386,0.9084862505915138,0.868121489202963
CID003377-1,0.12774989202918197,0.2436879819038857,0.19942837568238458,0.13353486311698382,0.20603161602343797,0.08956727124412599,0.8563226247436774,0.6088141839528007
CID003378-1,0.015945851624336937,0.738396454084935,0.0005296607769045751,0.01812673234793319,0.21482764619131972,0.012173654974570493,0.9220041959767987,0.7685925979251583
CID003379-1,0.043346494824026395,0.78392749985642,0.010307365050404898,0.007177897005905513,0.15345524437427954,0.0017854988889636472,0.9469097691169849,0.7494997481554124
CID003380-1,0.002097348205851342,0.48462034496739803,0.001439844564572156,0.0005209794184681846,0.5093835038754682,0.001937978968242122,0.923362952836637,0.8423448035902574
CID003381-1,0.02512244359432715,0.20870398507862067,0.0146790634569782,0.17373421419106222,0.5750653857286872,0.0026949079503246548,0.8762027446237973,0.6702685363393897
CID003382-1,0.2633198513182683,0.2572050895197913,0.032159563303068954,0.12778735732828167,0.31260983221987343,0.006918306310716436,0.8565485147763628,0.7020100725487822
CID003383-1,0.17537360836940738,0.3501503701728377,0.00623030189653643,0.2381694063177467,0.22087901280864666,0.009197300434825181,0.873862979126137,0.811266409028524
CID003384-1,0.21293345275216366,0.4729999125413306,0.009535137724944721,0.17701071555326034,0.12599142583745426,0.0015293555908464011,0.9122901849217638,0.8204671006370311
CID003385-1,0.007134535803276858,0.676630794203453,0.010054278012032385,0.22347625730794418,0.08103602010928121,0.0016681145640124635,0.9091891891891891,0.8116651622688192
CID003386-1,0.053856103275249013,0.0044792301862059385,0.15827528431787363,0.21268320746868363,0.3752913256405251,0.19541484911146267,0.8746799431009957,0.7735275548451882
CID003665-1,0.0027469978416149957,0.5553689552829554,0.015120273494684547,0.00998160226708329,0.4131795980067875,0.0036025731068742867,0.8177874756822126,0.7237351795179127
CID003666-1,0.002953427634539505,0.7573406864374161,0.0024503576052680312,0.23399176771741817,0.00116643196568112,0.0020973286396770148,0.9436653091447612,0.8625113715086244
CID003667-1,0.06403270507386684,0.002688100351480111,0.03601785582601504,0.35087814299397063,0.4508559233254292,0.09552727242923822,0.9085651190914349,0.7470708890008655
CID003669-1,0.0364724195117658,0.0040938449741794135,0.09550706105350765,0.3385274705803082,0.3977116063662937,0.12768759751394523,0.8897607655502393,0.7089406764345353
CID003670-1,0.136138032313653,0.0017613012831003607,0.022042566961896697,0.3715576401859335,0.44298818874770324,0.025512270507713253,0.8901982228298018,0.7838131770694156
CID003671-1,0.06290304085421014,0.00016927589567698476,0.09676976750805748,0.32005095882014345,0.4038742510377632,0.11623270588414873,0.9242073715757927,0.7366390970730569
CID003672-1,0.1601157058192475,0.07697843446105142,0.007351047855146788,0.3053597483065426,0.4486114440964893,0.0015836194615224738,0.9074872495925128,0.7714053210748544
CID003673-1,0.2563750348213825,0.4490826202011017,0.002571638266305083,0.1692609180595295,0.12236565671887735,0.0003441319328038906,0.891398075608602,0.8118427450600673
CID003674-1,0.14042018838623008,0.21056613734520044,0.0021166826472046813,0.26431822320731124,0.382515315857079,6.345255697454105e-05,0.9099634542672518,0.7981687720489576
CID003675-1,0.41832412151214726,0.3963168778611106,0.00033464199698653646,0.165683478662279,0.015121335996043999,0.00421954397143252,0.8283490899736317,0.7438463375976317
CID003676-2,0.25233072203379936,0.42457270816811127,0.0016778767440876348,0.3038193704205617,0.01710066091012233,0.0004986617233176915,0.9249105325054692,0.837055199743849
CID003677-1,0.22122838123934857,0.2643266480500697,0.010379371070176691,0.04734573612901846,0.4551649362642169,0.0015549272471695587,0.8668962616331037,0.7484058607197722
CID003678-1,8.624865331667415e-05,0.5800636127173675,0.0010769074419118467,0.004531504290792913,0.41380865525394767,0.000433071642663424,0.9118634423897581,0.8166822330485604
CID003679-1,0.057734074536308244,0.30900483371048015,0.024723136414650567,0.043561578382896614,0.5632444207072086,0.001731956248455813,0.9170196891715878,0.7805985206983697
CID003680-1,0.18145502890715953,0.44001879907113994,0.0013962308786881678,0.06147026017376539,0.3108232209085906,0.004836460060656276,0.8511522048364154,0.7642339167740295
CID003681-1,0.1280443079302597,0.737515149205717,0.0011523998083449952,0.07734824435101632,0.05057937081593815,0.0053605278887237815,0.9082942374081614,0.7636874391294184
CID003682-1,0.11600114508534734,0.7885072147504029,0.0047357931898204435,0.036802960059984006,0.0314670210112202,0.02248586590322517,0.9245341231642601,0.7653400212243134
CID003683-1,0.006809007218069379,0.7506176740904029,0.00043084840039696315,0.23248921729859584,0.00771094014934194,0.0019423128431929149,0.9201777119585339,0.8360143120343672
CID004696-1,0.005180860532074565,0.23964927640215994,0.02556293615284356,0.2613717594401398,0.41457002819008304,0.05366513928269908,0.8871508238596846,0.7307168830824956
CID004697-1,0.05908871782735243,0.08764156465349135,0.007249309106524506,0.34579346676286127,0.4832937889608416,0.01693315268892897,0.9047787655382592,0.7947424187067887
CID004698-1,0.021235205238989554,0.1639794350921954,0.001020473594208449,0.28734463570926444,0.4543146139606878,0.0721056364046544,0.8874543178340647,0.6907401692762866
CID004699-1,0.284046085121991,0.2878577700508687,0.0011719983723488454,0.25291379488435217,0.1735678625928699,0.000442488977569389,0.9143669985775249,0.8126565356813135
CID004700-1,0.07775283415938444,0.39300105062054,0.01477395042999132,0.2985105429324624,0.20742996876136763,0.008531653096254204,0.8816709606183291,0.8309316116752112
CID004701-1,0.1513646732122691,0.14830383484591958,0.0036798922566255526,0.5136399999964764,0.18294148676278413,7.011292592532777e-05,0.9060224608169813,0.8325704969379247
CID004702-1,0.015973386904565942,0.5179721437160086,0.006733934625226605,0.4563757648667294,0.0024439782733305417,0.0005007916141388354,0.8551351351351351,0.8599618014876094
CID004703-1,0.05867149309480163,0.04914097627131045,0.00618863452421743,0.380873413097672,0.5009792143956614,0.00414626861633716,0.9121132032524438,0.8194262159361614
CID004704-1,0.0965756516038489,0.17740400284934643,0.005642417786139077,0.478653219161302,0.2299333997145497,0.011791308884813868,0.8024606971975393,0.7789385084321658
CID004705-1,0.01529740483279504,0.2833309690932302,0.0004621496802556833,0.21114959071736128,0.4880900607302098,0.0016698249461480205,0.8918918918918919,0.7678047310991113
CID004706-1,0.20841428521668795,0.30344017959994035,0.012846463718678388,0.18537522207098425,0.28914786999746867,0.0007759793962403771,0.9009345085294452,0.7844226865406696
CID004707-1,0.24658631854293644,0.2686771133230741,0.003532593793283151,0.15906118633958796,0.30090066245224817,0.02124212554887023,0.8561312371838687,0.7569051129210295
CID004708-1,0.0035711613383595997,0.3540567981911994,0.007217666337042172,0.0054409811586614044,0.6216476491332212,0.008065743841516152,0.8298291182501709,0.7304033080250356
CID004709-1,0.10174760590005673,0.0637415809529649,0.054445759015945616,0.35426673616016324,0.42492752461175454,0.0008707933591151911,0.9155318365844681,0.8029052648507892
CID004710-1,0.06426619813567457,0.09824425855398501,0.0041079454212529735,0.3611085635458495,0.4721837479635039,8.928637973409024e-05,0.8681824504609315,0.8157154894308517
CID004711-1,0.24808826581150153,0.26233518142884793,0.005819994885556809,0.23354543139180742,0.20580554220158637,0.04440558428069994,0.8223548603295439,0.7761658580497109
CID004712-1,0.0012268302845284975,0.29108252989085737,0.012207207235888317,0.06229643556215288,0.6264837114416244,0.006703285584948597,0.8473368736526631,0.6489523808634972
CID004713-1,0.25295848673355037,0.3125186210648824,0.0007619377393400322,0.29136309656818604,0.13736800211672037,0.005029855777320738,0.9121531100478468,0.8108437496858373
CID004714-1,0.13932983783744832,0.48222443186459996,0.00019149422624444015,0.2883385828810971,0.07576851954224913,0.014147133648361081,0.8950163760290343,0.8671082039830209
