,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.021036021835367437,0.021039722102883216,0.04445577159644818,0.49076857344350416,0.4057632808956956,0.016936630126101387,0.9388001935171747,0.8222444761711193
CID003353-1,0.004722479547993873,0.7301060814635602,0.003882650605220017,0.004769748934889677,0.25048037129345996,0.006038668154876309,0.9113565426170468,0.7641106981109641
CID003354-1,0.0637439460357029,0.4460368450938836,0.006399622294695205,0.28225805751108635,0.19186018053476298,0.009701348529869001,0.8533253649790831,0.8634218388605829
CID003355-1,0.017630481925877833,0.20297489322127155,0.024692822516747575,0.022513934879462988,0.7314767839474546,0.0007110835091854603,0.8155895159224793,0.6430432504169761
CID003356-1,0.014245772891826484,0.06639254105960923,0.004586997442651069,0.35470282600011893,0.5578974941286441,0.002174368477150126,0.9394452507660055,0.8172558130672846
CID003357-1,0.015050679730177867,0.27112972045540307,0.00038548909695567394,0.25062491276703025,0.46176794750142375,0.0010412504490093853,0.8593775197548783,0.7212105475109724
CID003358-1,0.04172517999414351,0.4708439489023743,0.01531142589001306,0.1260926237873821,0.3367322161191244,0.009294605306962621,0.8779591836734695,0.7591441207125357
CID003359-1,0.047107156159825636,0.44393116397704835,0.00425532535558693,0.3907859932502672,0.11114468484041407,0.002775676416857914,0.8122598821821907,0.7757234766455573
CID003360-1,0.13876642767257905,0.045479248071592884,0.04296622773124231,0.32841043706226597,0.4437584167139884,0.0006192427483313286,0.9226244343891403,0.8241941158814657
CID003361-1,0.26226532036839745,0.2585048676583524,0.025115563879843594,0.20635620343200162,0.23947189226037854,0.008286152401026438,0.9241251411062732,0.7587329977283424
CID003362-1,0.18399422490334605,0.39685023291120325,0.00018416513132634105,0.3064059635832506,0.08334958724117858,0.029215826229695162,0.9085631349782294,0.8361687862712375
CID003363-1,0.28909807532412535,0.27239076078213875,0.011211010103579984,0.12686307745473657,0.2281532823798572,0.07228379395556214,0.9229962909208191,0.77475674676745
CID003364-1,0.07053668258071405,0.17059934393924078,0.003649627764456467,0.290076693095514,0.4513106761749716,0.013826976445103088,0.8741332043218835,0.8139821501381775
CID003365-1,0.11564505784046808,0.3956005384657261,0.004881940763704322,0.23107005571145878,0.22159259754086622,0.031209809677776503,0.8306155553658328,0.8442891553250212
CID003366-1,6.124811981252663e-05,0.0009061802355626976,0.10385921564235864,0.33464207835618737,0.43497009739089293,0.12556118025518584,0.9390420899854862,0.846091539378807
CID003367-2,0.0016459488959043296,0.0006655745994636877,0.002137690304947176,0.4070819342933949,0.5845105583740199,0.003958293532270024,0.9532333494597646,0.8310281294528845
CID003368-1,0.005567290636625908,0.2835860090115153,0.03240996069930463,0.2454876183958391,0.4024395864463922,0.030509534810322807,0.8718755039509757,0.8171672295570105
CID003369-1,0.04992424701470739,0.30594042890061335,0.024983243178418168,0.2922752309823507,0.32057718384034856,0.006299666083561841,0.8317206902112563,0.6864923122579449
CID003370-1,0.026065834081338043,0.34855013929099654,0.020429427203559652,0.020402481692894624,0.5708966648939849,0.013655452837226157,0.9109536412533082,0.869373291143653
CID003371-2,0.0929158996038215,0.13378262407492955,0.03319773789852594,0.173439800189659,0.5625806405708333,0.004083297662230674,0.8266063348416289,0.6394350389358937
CID003372-1,0.15159063898876737,0.13930963352919087,0.0058517567660653705,0.11972240976714117,0.5605494957705294,0.022976065178305877,0.941859472381115,0.8319698902249544
CID003373-1,0.024991150772010487,0.34645028140784834,0.004464799001223182,0.23834901212784035,0.37956251852175266,0.006182238169324966,0.7339735894357743,0.48515433435550326
CID003374-1,0.017361655735489177,0.7542909538936317,0.0010502707340380023,0.13006990502269752,0.09647808083497303,0.0007491337791706519,0.9266063348416289,0.7565838993705105
CID003375-1,0.006719304608280421,0.605164328873278,0.00952688668271785,0.3759626955897512,0.0014468941144918878,0.0011798901314806283,0.9114658925979682,0.847489960577139
