,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.17307890560739334,0.0024805679826230328,0.052419831752750036,0.45461467055060706,0.3147490557778885,0.0026569683287379826,0.8648605063699403,0.7963929625259643
CID003353-1,0.011751775687134031,0.8195346691964746,0.008627783367875714,0.0032845475986822185,0.15535924091440798,0.0014419832354255467,0.8987755102040816,0.7203780174369695
CID003354-1,0.006665725770611291,0.7697949583503209,0.0034282085815630107,0.18409126492007774,0.0347244315542627,0.001295410823164441,0.8026410564225691,0.7460290619008492
CID003355-1,0.11659001116596213,0.19103019626308596,0.023519938026621515,0.06715539735275987,0.5938589364381406,0.007845520753429931,0.8827798172970204,0.7669254272214403
CID003356-1,0.015776918974602434,0.09358447140901671,9.585234747344817e-05,0.338482085138622,0.5495709964683465,0.002489675661938852,0.8757458474439607,0.8523129898370613
CID003357-1,0.13813391968779942,0.24722970366199987,0.00595436762184185,0.17619860748772245,0.43206757340690266,0.000415828133733734,0.8708272859216256,0.7832981157540098
CID003358-1,0.028389032812138167,0.7562844662536375,0.000695173901475434,0.027895755644337016,0.1850075877179109,0.001727983670500958,0.8292495517800734,0.705910589653511
CID003359-1,0.13835166842748256,0.5120103444663249,0.01126635679855504,0.3161512970194107,0.0214292883941235,0.0007910448941033095,0.7407239819004525,0.7917039062289909
CID003360-1,0.37610041006487926,0.07800808050469922,0.007533236098562905,0.20313844542767928,0.3338389578901191,0.0013808700140603206,0.9146911788421223,0.8506126863089273
CID003361-1,0.39147452453857967,0.21451259075307355,0.0011651701990255216,0.15485385522096015,0.22965373470184428,0.008340124586516843,0.9171101435252379,0.7705158994590671
CID003362-1,0.2430494528588185,0.42370479666718713,0.010504644243279175,0.3107693612772025,0.004170709106693158,0.00780103584681955,0.8686194477791116,0.8121151759079742
CID003363-1,0.2636794772687213,0.3158462925125939,0.004188567294303269,0.15326363534127557,0.2544141943989741,0.008607833184131835,0.8871149814546041,0.8386644962873971
CID003364-1,0.09705896218573126,0.19437254632777812,0.002549398507947039,0.15141403939950399,0.5462820330709239,0.008323020508115685,0.8640826432169385,0.8150436242539023
CID003365-1,0.17532652202442664,0.43722587902208676,0.000602626788465555,0.21419674135510997,0.17123476212650948,0.0014134686834015647,0.8638929204966941,0.8714876131766431
CID003366-1,0.013288925887131995,0.0010363306245219053,0.20543488554285755,0.3234039173391735,0.4329745064788116,0.023861434127503488,0.929502262443439,0.857514640714109
CID003367-2,0.036834608649985244,0.003665573584549514,0.004367442532354278,0.37065851174326936,0.5807887201033136,0.003685143386528021,0.9345172031076582,0.8276805553274738
CID003368-1,0.08144030008536403,0.24503662882029,0.0009737783666382352,0.1666624886913915,0.49281481365473595,0.01307199038158031,0.8900177390743429,0.8150351214845143
CID003369-1,0.2668668857558195,0.26865859705123984,0.0065278595310470176,0.2396733086052181,0.20284694432875625,0.015426404727919405,0.8331720690211256,0.7909936697761321
CID003370-1,0.0805775864209937,0.2555476452029484,0.014129458339865498,0.08442721346999141,0.5607997389327831,0.004518357633417864,0.9375907111756168,0.8391574105827019
CID003371-2,0.07644020989615843,0.2097847040564971,0.015618540303608557,0.16370088168973884,0.5314394527885944,0.0030162112654026937,0.9166737812686758,0.7473841797442494
CID003372-1,0.01957052988256533,0.1578008656661279,0.030237248915474215,0.13587662295492955,0.6558100384148239,0.0007046941660791146,0.8546938775510204,0.6853199371521546
CID003373-1,0.33222185894350426,0.32692666627395645,0.004494830213979373,0.20332913288671947,0.11319675122442054,0.019830760457419893,0.7807239819004526,0.6659068710899033
CID003374-1,0.01918979746788444,0.896076329880494,0.012756959701234175,0.0007158255386349206,0.06931778995802318,0.001943297453729234,0.8784067085953878,0.7383890409289892
CID003375-1,0.0005995529473877608,0.7882715554185838,0.00417270465331621,0.19656192530123037,0.0037556599269942892,0.006638601752487535,0.8534453781512604,0.7196176839951781
CID003376-1,0.003065286797721551,0.7862691842751196,0.004737395265044325,0.18983837767683193,0.010858085384601215,0.005231670600681425,0.8329206864168018,0.7399845909282995
CID003377-1,0.43893203123217744,0.15621358430991983,0.2089981718885435,0.019137884871814045,0.12964562758326667,0.04707270011427851,0.8705711602492956,0.6664684997377814
CID003378-1,0.01353989695026124,0.8244239173032357,0.003260190825764468,0.00011002165267888728,0.15798421006941143,0.0006817631986482875,0.8977190876350539,0.7606176759822223
CID003379-1,0.01604556697453795,0.8327606765514528,0.008546174790495336,0.011109346571917639,0.13111408349729892,0.0004241516142972961,0.9077290490664351,0.6812816730806022
CID003380-1,0.012062556922367296,0.47333669927666217,0.010545989326629075,0.004929104204544391,0.4846841446901793,0.01444150557961775,0.9013062409288825,0.8462129056336558
CID003381-1,0.19784003582574974,0.18089798615146127,0.028375103175531324,0.1666291419467746,0.4124742520433469,0.013783480857136108,0.8859861312691502,0.67154734518931
CID003382-1,0.28766228656014087,0.2475324514726388,0.009656292716479642,0.11942182992038557,0.3334912640638843,0.0022358752664708046,0.8834059022738268,0.8002327326325352
CID003383-1,0.2648983233562551,0.3701878679824157,0.0015384960039908533,0.20719389288099196,0.14163987059861494,0.014541549177731379,0.8079057457525826,0.8042077357870602
CID003384-1,0.14701786456185126,0.5333720568466256,0.026110632374250906,0.2505605342672135,0.04115840313248619,0.0017805088175725738,0.8311312217194571,0.7823625744342834
CID003385-1,0.004284058018874558,0.7665912191666702,0.002839237108898031,0.18525644497443675,0.04013398683543615,0.0008950538956844,0.8400068300179288,0.7805662796806764
CID003386-1,0.003049682827902842,0.0026769606753426368,0.302511706505208,0.24943275273923698,0.33935346199635325,0.10297543525595622,0.8608383847007599,0.8196097483635534
CID003665-1,0.08095169302194274,0.4054258914912889,0.008822616367681729,0.2075120117741676,0.29700498857458973,0.0002827987703292953,0.8480321010842654,0.8249844557992428
CID003666-1,0.003026578563333419,0.6469877032054788,0.004297528436208172,0.3429048561908478,0.0011802683610227123,0.001603065243109006,0.9238415366146457,0.8858551410177599
CID003667-1,0.025925123497671936,0.002920710914356465,0.15992553714014693,0.3931797576124001,0.41285360122143516,0.005195269613989435,0.9166263505886147,0.7877211046122933
CID003669-1,0.0010809934846197668,0.0017022436238250107,0.15089232355548238,0.287405112018583,0.47924592735923827,0.07967339995825158,0.8914691178842122,0.7727812797205101
CID003670-1,0.12762216326747425,0.000451909927720769,0.030594765062648452,0.37006667884271616,0.44346734036493596,0.027797142534504406,0.8902928370186972,0.8170149718432235
CID003671-1,0.07639562477054211,0.002506544258650135,0.2007501587301253,0.30373307323539683,0.35218425911038015,0.06443033989490546,0.9346879535558781,0.8113027792204625
CID003672-1,0.044221983892728786,0.09591880604041021,0.015574371046992306,0.32681097556004457,0.51702581779504,0.0004480456647841928,0.8725347904038249,0.7418879396603821
CID003673-1,0.02415056013943659,0.6399778815687094,0.014104825452190344,0.15907485010115507,0.16253061312280379,0.00016126961570477597,0.8342866900025613,0.7378449857552157
CID003674-1,0.2495448000133768,0.1526800682218488,0.04563577276492823,0.24648113548159253,0.28968102901081305,0.01597719450744064,0.8854217061764232,0.8204824575540769
CID003675-1,0.3485020280995496,0.4310087459683054,0.004313592370636309,0.18800306312618395,0.021693431375550125,0.006479139059774475,0.7648719062092922,0.6886471854692126
CID003676-2,0.008899592811612055,0.7893770212535373,0.0029014129459266707,0.1920659207016016,0.004161169652805058,0.002594882634517304,0.8299467827769715,0.7093226970456704
CID003677-1,0.2882262117674776,0.205470267501147,0.0066812067706949274,0.07191587380544252,0.42749838499428866,0.00020805516094931395,0.8801806160296726,0.7575553639384214
CID003678-1,0.0008911772322201125,0.7521937434051695,0.010286352306750124,0.004557608554942852,0.2231877715325973,0.008883346968320008,0.8850185453959039,0.7778990330278553
CID003679-1,0.06205396492471149,0.2583614610296458,0.0003215037568650351,0.06950420689674307,0.6091713147361101,0.0005875486559244701,0.9113046282857603,0.7870457435384368
CID003680-1,0.003591322766889921,0.42025626822000023,0.024653696761922677,0.15714517606454126,0.3943260157993527,2.7520387293186956e-05,0.8585520361990951,0.7871725853016346
CID003681-1,0.07928137662082535,0.8619020152205504,0.01927989176353548,0.017765409596598426,0.020831306802064214,0.0009399999964260964,0.8482502822125464,0.6932111786913872
CID003682-1,0.00018305596962929176,0.7847772133081077,0.0013733506098593984,0.0025454461441299847,0.2086186611467316,0.002502272821542045,0.895204081632653,0.7360173262237744
CID003683-1,0.0052600281820142465,0.6418506685067149,0.0025594290590427687,0.34457326651816655,0.002709259712627833,0.0030473480214336227,0.8623769507803122,0.8221228805740822
CID004696-1,0.21851199766166648,0.17023412958040338,0.0004030599773943446,0.21286171296392548,0.3597722559294463,0.038216843887164134,0.8839703273665538,0.7334438070241668
CID004697-1,0.26996858810767727,0.061979340349474894,0.0035837379583208828,0.29869046752266387,0.35472070481919404,0.011057161242669061,0.897677793904209,0.8004203594899587
CID004698-1,0.34594978748338284,0.0906277455069651,0.011455210297117357,0.20969955059114403,0.3401373400656723,0.002130366055718346,0.8966295758748588,0.6997985385356351
CID004699-1,0.2864902691062857,0.28097657475738363,0.010892176803190809,0.25090918039719223,0.16966133860526908,0.0010704603306786861,0.8201144028003073,0.8249946407625235
CID004700-1,0.15683680988954804,0.4908049299591996,3.3936064072441216e-05,0.29461924875054135,0.05403191901245871,0.0036731563241798903,0.7659865107145907,0.8011592885972437
CID004701-1,0.4017185992157734,0.035653349137463826,0.005026345837786913,0.49174814077043666,0.06524878131879867,0.0006047837197405283,0.8766866746698679,0.7932965348378327
CID004702-1,0.027292112941774797,0.4880990864537681,0.0035849131261428795,0.4753322366394263,0.0027803962048866897,0.002911254634001207,0.8793648083326219,0.8747661086329627
CID004703-1,0.21774879006352815,0.00014136910585329162,0.0009367918043687484,0.3451339568836657,0.43300328012656825,0.0030358120160157496,0.8675213675213675,0.8390087249714343
CID004704-1,0.121140616581888,0.17058542753237899,0.00018819209831560943,0.5141785089703921,0.1899139841372985,0.003993270679726861,0.781610176726714,0.8121999939476315
CID004705-1,0.03317386465604248,0.2737792282070534,0.004573767025007973,0.1288686037667191,0.5480921274385158,0.011512408906661248,0.8717887154861945,0.7217785717918117
CID004706-1,0.3973622967750587,0.2448056929285218,0.0029777947405782283,0.097104580900121,0.256398219696788,0.001351414958932307,0.8509111433639736,0.8113320227496998
CID004707-1,0.3216695659657964,0.23891003293690644,0.001092628427456112,0.1334637530943861,0.29997637081998996,0.004887648755465041,0.8793742944686341,0.8056395730356177
CID004708-1,0.3765246220103626,0.2265631059653763,0.04387829487251234,0.08411529042183886,0.26870034281130245,0.0002183439186074051,0.8686929053188766,0.777231934125765
CID004709-1,0.20828455761143336,0.021069790704684243,0.00947319612033045,0.3443300857486353,0.41386801683219926,0.002974352982717437,0.9102564102564102,0.8203466549077124
CID004710-1,0.1951161413249605,0.07795054748231339,0.0019032063461052893,0.31800099148289174,0.377690342085323,0.029338771278406124,0.839058216416707,0.8514888036788154
CID004711-1,0.28636178799311995,0.284161036229122,0.015052711423570394,0.2464122830512757,0.1629959683189972,0.0050162129839147855,0.8532494758909853,0.8118010001786478
CID004712-1,0.05409456240149218,0.2836877013193102,0.022380428383012105,0.02959944849409,0.606599908601269,0.003637950800826451,0.8915497500403161,0.7681370044097791
CID004713-1,0.461950568455181,0.27803577364511733,0.002141672147177212,0.23130220607207608,0.02554392760708437,0.001025852073363835,0.792965081533339,0.8541434206529153
CID004714-1,0.0015308384464788045,0.7888519210841908,0.001051309255929058,0.18734659229220083,0.013594254366630027,0.007625084554570544,0.8302693114013869,0.740358384931423
CID004715-1,0.00023223735840724889,0.5655668505100623,0.0016370591131117712,0.4296196708850455,0.0021945544972855387,0.000749627636087676,0.8587711680416849,0.7228151818689053
CID004716-1,0.047888853846247526,0.4680656520605593,0.0005591832435795778,0.4071344931819156,0.06593973196516141,0.010412085702536655,0.9130785357200452,0.8241108122858625
CID004717-1,0.0011191951754201484,0.4397834487055825,0.010207129470098933,0.19044333620882278,0.3552650308028188,0.0031818596372568467,0.8851703235720993,0.8250722963852447
CID004718-1,0.026078122288745256,0.9071887717923243,4.890840007429983e-05,0.002619212746911646,0.06368392732859551,0.0003810574433490694,0.8591116446578632,0.7270331856248938
CID004719-1,0.06883013298471258,0.539329918831876,0.019837418193484096,0.3672950642335332,0.004544275293055593,0.0001631904633385398,0.7990045248868779,0.7998215397737813
CID004720-2,0.3978822308903606,0.13855342466034304,0.004868616543638898,0.3592568962018375,0.0928621347109338,0.006576696992886265,0.85397516529592,0.8075084975878902
CID004721-1,0.043182753421065284,0.21099264206427756,0.3036176934296223,0.10383275749547553,0.33825385047430123,0.00012030311525797048,0.8626028059990324,0.7517167530073393
CID004722-1,0.017647871810082573,0.7643611104419132,0.0027805591585371645,0.17015269823622167,0.04266232477973975,0.0023954355735055868,0.8410859728506789,0.7070053997117293
CID004723-1,0.00048464972377935457,0.7899650073922212,0.00889411588770365,0.1945341862005204,0.001999311083118409,0.004122729712657012,0.8790233074361821,0.7291461475820367
CID004724-1,0.004006403559128107,0.5880386766926191,0.0010348319375202742,0.4011627795999328,0.004771116276674906,0.0009861919341248053,0.8145701357466064,0.7704375121719718
CID004725-1,0.26991668795941354,0.24103743362331684,0.014799768738049068,0.09637975087857399,0.3745632900833845,0.00330306871726204,0.92364134816965,0.8190762101489426
CID004726-1,0.26038221138703366,0.30335977308306733,0.021765776283267868,0.1944287911174975,0.1985234227036518,0.021540025425481852,0.8807450411223996,0.8155355146406931
